,label,ht_in,wt,arm_in,wing_in,c_reps,c_10y,c_40y,c_vj_in,c_bj_in,c_3c,c_ss20,est_40y,underclassman,athleticism_score,production_score,final_score,imp_grade,conf_Group of 5,conf_Power 5
0,ARI_Monti Ossenfort,74.1907894736842,241.8421052631579,32.50657894736842,78.42105263157895,11.473684210526315,1.2689473684210526,3.6836842105263155,27.289473684210527,101.26315789473684,2.34,1.8715789473684212,4.7105263157894735,0.05263157894736842,77.99947368421053,71.67894736842106,74.67842105263158,6.036315789473684,0.0,1.0
1,ARI_Rod Graves,74.56923076923077,255.01538461538462,32.66346153846154,16.753846153846155,15.830769230769231,1.3296923076923077,3.8181538461538462,26.053846153846155,88.3076923076923,4.625692307692308,2.9866153846153844,0.1456923076923077,0.0,67.05553846153846,67.24815384615385,69.9416923076923,6.045076923076923,0.09230769230769231,0.7384615384615385
2,ARI_Steve Keim,73.77715384615385,242.96923076923076,32.32115384615385,77.43661538461538,12.276923076923078,1.1918461538461538,3.451692307692308,22.43076923076923,80.53846153846153,3.9418461538461544,2.387846153846154,1.463846153846154,0.0,71.60261538461539,71.37046153846154,72.57476923076922,6.035846153846154,0.09230769230769231,0.7692307692307693
3,ATL_Dan Reeves,72.28125,233.75,31.0,0.0,17.0,1.2675,3.585,16.5,86.5,3.775,2.2225,0.0,0.0,43.44,47.885,46.8625,5.925000000000001,0.0,1.0
4,ATL_Rich McKay,73.67241379310344,240.68965517241378,32.72844827586207,0.0,12.862068965517242,1.3144827586206895,3.7586206896551726,26.948275862068964,91.37931034482759,5.809655172413793,3.4727586206896555,0.16551724137931034,0.0,70.72793103448276,64.47862068965517,69.28,6.00103448275862,0.10344827586206896,0.6896551724137931
5,ATL_Terry Fontenot,74.36607142857143,250.25,31.540178571428573,75.77678571428571,6.785714285714286,0.7032142857142858,2.0335714285714284,14.964285714285714,50.107142857142854,0.8028571428571428,0.8278571428571428,4.748214285714285,0.07142857142857142,73.105,71.71214285714287,73.38857142857144,6.093928571428571,0.07142857142857142,0.8928571428571429
6,ATL_Thomas Dimitroff,73.63948717948718,242.62820512820514,32.461666666666666,55.920064102564105,16.58974358974359,1.3816666666666666,3.9248717948717946,27.30128205128205,94.01282051282051,4.637948717948718,2.93525641025641,0.3698717948717949,0.0,65.94769230769231,68.24461538461539,69.22461538461539,6.053076923076923,0.11538461538461539,0.7692307692307693
7,BAL_Eric DeCosta,74.11057692307692,243.71153846153845,32.20192307692308,74.42788461538461,7.788461538461538,0.8309615384615385,2.4098076923076923,17.653846153846153,55.23076923076923,1.683846153846154,1.298846153846154,4.078653846153847,0.07692307692307693,72.01634615384616,71.96153846153847,72.69,6.0725,0.11538461538461539,0.8846153846153846
8,BAL_Ozzie Newsome,74.35991869918699,250.21951219512195,32.64028455284553,41.435121951219514,14.34959349593496,1.3802439024390245,3.9713821138211385,27.235772357723576,96.91056910569105,5.432113821138211,3.3601626016260164,0.11056910569105692,0.0,69.00463414634146,67.00008130081301,69.62471544715447,5.998536585365854,0.11382113821138211,0.7398373983739838
9,BUF_Brandon Beane,73.9409649122807,240.50877192982455,32.122894736842106,77.36868421052633,8.789473684210526,1.1973684210526316,3.492280701754386,23.75438596491228,81.01754385964912,2.68140350877193,2.1178947368421053,3.0715789473684207,0.07017543859649122,69.1001754385965,69.21,70.25087719298246,6.025263157894737,0.17543859649122806,0.7192982456140351
10,BUF_Buddy Nix,73.7890625,248.75,32.515625,77.40625,19.6875,1.4725,3.894375,30.5625,99.8125,5.8925,3.82375,0.0,0.0,69.340625,66.2025,70.1675,6.03125,0.0,0.875
11,BUF_Doug Whaley,73.96,239.96,32.555,78.38,12.44,1.5284,4.3564,28.82,101.88,4.7244,3.3656,0.0,0.0,68.6948,66.9152,69.38600000000001,6.0451999999999995,0.04,0.88
12,BUF_Marv Levy,73.99107142857143,244.92857142857142,32.330357142857146,0.0,18.285714285714285,1.4164285714285714,4.067142857142857,27.928571428571427,92.57142857142857,5.105714285714286,3.0914285714285716,0.0,0.0,72.29642857142856,66.23928571428571,70.66571428571429,5.994285714285715,0.2857142857142857,0.6428571428571429
13,BUF_Russ Brandon,74.42045454545455,250.22727272727272,33.19318181818182,0.0,18.0,1.6077272727272727,4.410454545454545,25.386363636363637,91.45454545454545,4.958636363636364,3.4477272727272723,0.0,0.0,68.35045454545455,70.21818181818182,71.62454545454545,6.01409090909091,0.13636363636363635,0.6818181818181818
14,BUF_Tom Donahoe,73.74375,246.85,31.6625,0.0,12.4,1.331,3.839,24.75,78.65,3.6855,2.1734999999999998,0.2225,0.0,70.8445,66.8215,70.237,5.971,0.05,0.7
15,CAR_Dave Gettelman,73.66875,249.5,32.93125,79.08125,14.65,1.421,4.054,28.35,98.6,4.622,2.862,0.0,0.0,68.5525,72.7405,73.5645,6.0655,0.05,0.75
