,0
ARI_Monti Ossenfort,ARI_Monti Ossenfort
ARI_Rod Graves,ARI_Rod Graves
ARI_Steve Keim,ARI_Steve Keim
ATL_Dan Reeves,ATL_Dan Reeves
ATL_Rich McKay,ATL_Rich McKay
ATL_Terry Fontenot,ATL_Terry Fontenot
ATL_Thomas Dimitroff,ATL_Thomas Dimitroff
BAL_Eric DeCosta,BAL_Eric DeCosta
BAL_Ozzie Newsome,BAL_Ozzie Newsome
BUF_Brandon Beane,BUF_Brandon Beane
BUF_Buddy Nix,BUF_Buddy Nix
BUF_Doug Whaley,BUF_Doug Whaley
BUF_Marv Levy,BUF_Marv Levy
BUF_Russ Brandon,BUF_Russ Brandon
BUF_Tom Donahoe,BUF_Tom Donahoe
CAR_Dave Gettelman,CAR_Dave Gettelman
CAR_Marty Hurney,CAR_Marty Hurney
CAR_Scott Fitterer,CAR_Scott Fitterer
CHI_Jerry Angelo,CHI_Jerry Angelo
CHI_Phil Emery,CHI_Phil Emery
CHI_Ryan Pace,CHI_Ryan Pace
CHI_Ryan Poles,CHI_Ryan Poles
CIN_Mike Brown,CIN_Mike Brown
CLE_Andrew Berry,CLE_Andrew Berry
CLE_Butch Davis,CLE_Butch Davis
CLE_George Kokinis,CLE_George Kokinis
CLE_John Dorsey,CLE_John Dorsey
CLE_Mickael Lombardi,CLE_Mickael Lombardi
CLE_Phil Savage,CLE_Phil Savage
CLE_Ray Farmer,CLE_Ray Farmer
CLE_Sashi Brown,CLE_Sashi Brown
CLE_Tom Heckert,CLE_Tom Heckert
DAL_Jerry Jones,DAL_Jerry Jones
DEN_Brian Xanders,DEN_Brian Xanders
DEN_George Paton,DEN_George Paton
DEN_Jim Goodman,DEN_Jim Goodman
DEN_John Elway,DEN_John Elway
DEN_Ted Sundquist,DEN_Ted Sundquist
DET_Bob Quinn,DET_Bob Quinn
DET_Brad Holmes,DET_Brad Holmes
DET_Martin Mayhew,DET_Martin Mayhew
DET_Matt Millen,DET_Matt Millen
GB_Brian Gutekunst,GB_Brian Gutekunst
GB_Mike Sherman,GB_Mike Sherman
GB_Ted Thompson,GB_Ted Thompson
HOU_Bill O'Brien,HOU_Bill O'Brien
HOU_Brian Gaine,HOU_Brian Gaine
HOU_Charlie Casserly,HOU_Charlie Casserly
HOU_Nick Caserio,HOU_Nick Caserio
