player_name,nic_year,pro_pos,school,top1_class,top1_prob,top2_class,top2_prob,top3_class,top3_prob,top4_class,top4_prob,top5_class,top5_prob
Armand Membou,2025,T,Missouri,PIT_Omar Khan,23.16,CIN_Mike Brown,5.28,KC_Brett Veach,4.16,CHI_Ryan Poles,2.13,SEA_John Schneider,1.88
Corey Kiner,2025,RB,Cincinnati,LA_Les Snead,22.73,SF_John Lynch,6.72,SEA_John Schneider,3.05,JAX_Trent Baalke,2.68,BUF_Brandon Beane,2.46
Marques Sigle,2025,S,Kansas State,GB_Brian Gutekunst,22.51,JAX_Trent Baalke,4.68,NYG_Joe Schoen,3.8,DAL_Jerry Jones,2.85,NO_Mickey Loomis,1.82
Zeek Biggers,2025,DT,Georgia Tech,JAX_Trent Baalke,21.93,NE_Eliot Wolf,9.15,PHI_Howie Roseman,4.33,LA_Les Snead,2.71,GB_Brian Gutekunst,2.45
Tahj Brooks,2025,RB,Texas Tech,GB_Brian Gutekunst,21.31,TB_Jason Licht,4.73,SF_John Lynch,4.34,BUF_Brandon Beane,3.11,SEA_John Schneider,1.67
R.J. Mickens,2025,S,Clemson,NYG_Joe Schoen,20.85,NO_Mickey Loomis,3.24,CLE_Andrew Berry,2.99,GB_Brian Gutekunst,2.55,CIN_Mike Brown,2.35
Jalen Royals,2025,WR,Utah State,SEA_John Schneider,19.07,GB_Brian Gutekunst,5.9,PHI_Howie Roseman,3.91,BAL_Eric DeCosta,3.28,CIN_Mike Brown,2.44
Myles Hinton,2025,T,Michigan,BAL_Eric DeCosta,17.38,LA_Les Snead,5.58,JAX_Trent Baalke,3.59,HOU_Nick Caserio,3.46,CLE_Andrew Berry,2.64
Sebastian Castro,2025,S,Iowa,LA_Les Snead,16.23,GB_Brian Gutekunst,5.88,BUF_Brandon Beane,3.69,TEN_Ran Carthon,3.47,SF_John Lynch,2.42
Antwaun Powell-Ryland,2025,ED,Virginia Tech,BUF_Brandon Beane,16.02,NE_Eliot Wolf,5.57,TB_Jason Licht,4.88,LA_Les Snead,4.05,GB_Brian Gutekunst,3.21
Devin Neal,2025,RB,Kansas,BUF_Brandon Beane,15.67,TB_Jason Licht,8.91,NE_Eliot Wolf,4.65,DET_Brad Holmes,4.38,NYG_Joe Schoen,4.29
Warren Brinson,2025,DT,Georgia,PHI_Howie Roseman,15.5,CLE_Andrew Berry,5.14,NO_Mickey Loomis,4.77,CIN_Mike Brown,3.33,GB_Brian Gutekunst,2.57
Ethan Downs,2025,ED,Oklahoma,LA_Les Snead,15.4,GB_Brian Gutekunst,3.66,NO_Mickey Loomis,3.62,ATL_Terry Fontenot,2.58,ARI_Monti Ossenfort,2.52
Raheim Sanders,2025,RB,South Carolina,NYG_Joe Schoen,15.25,TB_Jason Licht,7.51,NO_Mickey Loomis,3.81,SEA_John Schneider,2.99,GB_Brian Gutekunst,2.87
Jaylin Lane,2025,WR,Virginia Tech,NYG_Joe Schoen,13.94,IND_Chris Ballard,4.37,PHI_Howie Roseman,3.89,DAL_Jerry Jones,3.28,TB_Jason Licht,2.98
Beaux Collins,2025,WR,Notre Dame,LA_Les Snead,13.55,GB_Brian Gutekunst,3.93,JAX_Trent Baalke,3.65,NYJ_Joe Douglas,3.55,BAL_Eric DeCosta,2.59
Ozzy Trapilo,2025,T,Boston College,ARI_Monti Ossenfort,13.5,MIA_Chris Grier,4.45,BAL_Eric DeCosta,3.72,NO_Mickey Loomis,2.87,TB_Jason Licht,2.51
Robert Longerbeam,2025,CB,Rutgers,NYG_Joe Schoen,13.31,JAX_Trent Baalke,8.25,MIN_Kwesi Adofo-Mensah,4.79,ARI_Monti Ossenfort,2.41,BAL_Eric DeCosta,2.4
Will Campbell,2025,T,LSU,PIT_Omar Khan,12.71,CIN_Mike Brown,6.18,DET_Brad Holmes,4.52,CHI_Ryan Poles,2.49,GB_Brian Gutekunst,2.33
Hayden Conner,2025,G,Texas,MIN_Kwesi Adofo-Mensah,12.65,BAL_Eric DeCosta,12.43,HOU_Nick Caserio,3.02,NE_Eliot Wolf,2.68,GB_Brian Gutekunst,2.29
Jaydon Blue,2025,RB,Texas,TB_Jason Licht,12.34,SF_John Lynch,8.86,GB_Brian Gutekunst,8.18,SEA_John Schneider,3.87,LA_Les Snead,2.96
Cobee Bryant,2025,CB,Kansas,SEA_John Schneider,12.07,CAR_Scott Fitterer,4.11,KC_Brett Veach,3.74,BAL_Eric DeCosta,3.25,TB_Jason Licht,2.81
James Burnip,2025,P,Alabama,CHI_Ryan Poles,11.83,SF_John Lynch,6.35,BAL_Eric DeCosta,3.81,DAL_Jerry Jones,2.33,MIA_Chris Grier,2.08
Shemar Stewart,2025,ED,Texas A&M,JAX_Trent Baalke,11.8,PHI_Howie Roseman,8.39,IND_Chris Ballard,8.03,BUF_Brandon Beane,3.66,NYJ_Joe Douglas,3.12
Bryson Nesbit,2025,TE,North Carolina,SF_John Lynch,11.8,CAR_Scott Fitterer,5.22,BUF_Brandon Beane,4.22,TEN_Ran Carthon,3.04,ATL_Terry Fontenot,2.52
Chris Paul Jr.,2025,LB,Ole Miss,GB_Brian Gutekunst,11.77,BUF_Brandon Beane,5.83,CLE_Andrew Berry,3.74,NO_Mickey Loomis,3.27,ATL_Terry Fontenot,2.87
Shemar Turner,2025,DT,Texas A&M,ATL_Terry Fontenot,11.74,CLE_Andrew Berry,6.52,HOU_Nick Caserio,3.67,KC_Brett Veach,2.7,GB_Brian Gutekunst,2.4
Tate Ratledge,2025,G,Georgia,PIT_Omar Khan,11.72,KC_Brett Veach,6.34,DET_Brad Holmes,5.43,GB_Brian Gutekunst,3.87,TB_Jason Licht,3.66
Collin Oliver,2025,ED,Oklahoma State,BUF_Brandon Beane,11.55,GB_Brian Gutekunst,3.37,CLE_Andrew Berry,3.1,NO_Mickey Loomis,3.05,ATL_Terry Fontenot,3.01
DJ Giddens,2025,RB,Kansas State,GB_Brian Gutekunst,11.44,IND_Chris Ballard,3.6,SF_John Lynch,3.15,MIA_Chris Grier,2.81,TB_Jason Licht,2.69
Darien Porter,2025,CB,Iowa State,IND_Chris Ballard,11.43,PHI_Howie Roseman,9.25,CIN_Mike Brown,3.26,KC_Brett Veach,2.57,JAX_Trent Baalke,2.24
Seth McLaughlin,2025,C,Ohio State,GB_Brian Gutekunst,11.38,BAL_Eric DeCosta,3.83,TB_Jason Licht,3.21,CLE_Andrew Berry,3.12,SF_John Lynch,2.15
Nick Emmanwori,2025,S,South Carolina,KC_Brett Veach,11.2,IND_Chris Ballard,7.49,MIA_Chris Grier,3.38,PHI_Howie Roseman,3.19,BAL_Eric DeCosta,2.79
Karene Reid,2025,LB,Utah,JAX_Trent Baalke,11.09,SF_John Lynch,5.06,MIN_Kwesi Adofo-Mensah,4.73,BAL_Eric DeCosta,4.7,ATL_Terry Fontenot,3.9
Connor Colby,2025,G,Iowa,PHI_Howie Roseman,11.03,GB_Brian Gutekunst,6.99,LA_Les Snead,4.44,BAL_Eric DeCosta,4.38,SF_John Lynch,2.5
Jaxson Dart,2025,QB,Ole Miss,DEN_George Paton,10.94,GB_Brian Gutekunst,4.71,HOU_Nick Caserio,3.89,ATL_Terry Fontenot,2.75,CAR_Scott Fitterer,2.46
Theo Wease Jr.,2025,WR,Missouri,SF_John Lynch,10.89,BUF_Brandon Beane,6.53,LA_Les Snead,3.39,GB_Brian Gutekunst,3.23,CAR_Scott Fitterer,3.08
