Column1,Name,Nic_year,Position,Strengths,Weaknesses,player_x,join_slug,player_id,player_y,position,WAR,strengths_processed,weaknesses_processed,combined_text,strengths_sentiment,weaknesses_sentiment,combined_sentiment,strengths_neg,strengths_neu,strengths_pos,strengths_compound,weaknesses_neg,weaknesses_neu,weaknesses_pos,weaknesses_compound,combined_neg,combined_neu,combined_pos,combined_compound
,GARRETT BRADBURY,2019,C,"Fluid snap and step action and immediately finds his balanceflies out of his stance to reach the defensive tackle and cut off gap penetratorsagile
footed and easily advances to the second level to remove linebackers from the playquick to turn and seal run lanesnice job replacing his large hands to tie up
interior rushersthree time Academic All ACC honoree and that intelligence translates to the field  displaying excellent field vision and anticipationcalled a student
of the game by his coachesadded 50 plus pounds since high school and known as a relentless worker in the weight roomvoted a senior captaingraduated with a
degree in operations management  December 2017 starting experience at guard and notched 900 plus snaps each of the last two seasons at center ","Doesnt have ideal length and will be caught grabbinglacks ideal sand in his pants and power momentum will bully him backward on his heelsnot a
road grader in the run game and might not fit every schememissed 2015 spring due to shoulder surgery ",garrett bradbury,garrett bradbury-C,46013.0,garrett bradbury,C,-0.03132924460568308,fluid snap step action immediately find balanceflies stance reach defensive tackle cut gap penetratorsagile footed easily advance second level remove linebacker playquick turn seal run lanesnice job replacing large hand tie interior rushersthree time academic acc honoree intelligence translates field displaying excellent field vision anticipationcalled student game coachesadded plus pound since high school known relentless worker weight roomvoted senior captaingraduated degree operation management december starting experience guard notched plus snap last two season center,doesnt ideal length caught grabbinglacks ideal sand pant power momentum bully backward heelsnot road grader run game might fit every schememissed spring due shoulder surgery,fluid snap step action immediately find balanceflies stance reach defensive tackle cut gap penetratorsagile footed easily advance second level remove linebacker playquick turn seal run lanesnice job replacing large hand tie interior rushersthree time academic acc honoree intelligence translates field displaying excellent field vision anticipationcalled student game coachesadded plus pound since high school known relentless worker weight roomvoted senior captaingraduated degree operation management december starting experience guard notched plus snap last two season center doesnt ideal length caught grabbinglacks ideal sand pant power momentum bully backward heelsnot road grader run game might fit every schememissed spring due shoulder surgery,"{'neg': 0.016, 'neu': 0.849, 'pos': 0.135, 'compound': 0.9118}","{'neg': 0.222, 'neu': 0.778, 'pos': 0.0, 'compound': -0.8709}","{'neg': 0.091, 'neu': 0.713, 'pos': 0.196, 'compound': 0.8607}",0.016,0.849,0.135,0.9118,0.222,0.778,0.0,-0.8709,0.091,0.713,0.196,0.8607
,ERIK MCCOY,2019,C,"Quick out of his stance to cover up defendersmobility as an outside puller to cut off pursuit anglesstays balanced mid shuffle with a relaxed
punchdisplays the technical savvy to tie up his targetsinks his hips to neutralize powervigilant blocker with developed instinctscompetes with a quiet intensity
and win at all cost demeanorputs in the time off the field and his coaches praise his work habitsvoted a 2018 team captaingraduated with his bachelors degree
 December 2018 started every game the past three seasons with experience at center and guard","Doesnt play explosivehas some lower body stiffness  which hurts his reset abilitystruggles to slow cross face rushersdoesnt have a heavy punch
to create knock back at contactonly 33 inch arms and long armed defenders can get into his frameerratic hand placementoverextends himself at the second
levelimproved snap accuracy  but his inaccurate snaps came when nose to nose with a defensive tackle",erik mccoy,erik mccoy-C,37347.0,erik mccoy,C,0.058905701429679394,quick stance cover defendersmobility outside puller cut pursuit anglesstays balanced mid shuffle relaxed punchdisplays technical savvy tie targetsinks hip neutralize powervigilant blocker developed instinctscompetes quiet intensity win cost demeanorputs time field coach praise work habitsvoted team captaingraduated bachelor degree december started every game past three season experience center guard,doesnt play explosivehas lower body stiffness hurt reset abilitystruggles slow cross face rushersdoesnt heavy punch create knock back contactonly inch arm long armed defender get frameerratic hand placementoverextends second levelimproved snap accuracy inaccurate snap came nose nose defensive tackle,quick stance cover defendersmobility outside puller cut pursuit anglesstays balanced mid shuffle relaxed punchdisplays technical savvy tie targetsinks hip neutralize powervigilant blocker developed instinctscompetes quiet intensity win cost demeanorputs time field coach praise work habitsvoted team captaingraduated bachelor degree december started every game past three season experience center guard doesnt play explosivehas lower body stiffness hurt reset abilitystruggles slow cross face rushersdoesnt heavy punch create knock back contactonly inch arm long armed defender get frameerratic hand placementoverextends second levelimproved snap accuracy inaccurate snap came nose nose defensive tackle,"{'neg': 0.022, 'neu': 0.864, 'pos': 0.113, 'compound': 0.8591}","{'neg': 0.082, 'neu': 0.824, 'pos': 0.094, 'compound': -0.0562}","{'neg': 0.072, 'neu': 0.735, 'pos': 0.194, 'compound': 0.8946}",0.022,0.864,0.113,0.8591,0.082,0.824,0.094,-0.0562,0.072,0.735,0.194,0.8946
125.0,ELGTON JENKINS,2019,C,"Anchors at shallow depth and stands his ground vs  power naturally stout at the point of attack strong hands to lock down defenders once he
connects big bodied blocker with well proportioned thickness and bubble quick to redirect  gain positioning and wall off run lanes able to replace his hands once
jolted impressive spatial awareness quick minded player and understands protections graduated with a degree in Industrial Technology  December 2018  offers
functional versatility with starting experience at four of the five offensive line spots ","Sporadic hand placement inconsistent punch timing and allows defenders to attack his frame overly patient and needs to be more assertive instead
of allowing rushers to come to him pads rise as the play progresses has some balance issues at the second level character isn t considered a concern  but he was
arrested  February 2015  on an assault charge related to an on campus snowball fight  did not participate in the assault  but was present  ",elgton jenkins,elgton jenkins-C,,,,-0.05,anchor shallow depth stand ground power naturally stout point attack strong hand lock defender connects big bodied blocker well proportioned thickness bubble quick redirect gain positioning wall run lane able replace hand jolted impressive spatial awareness quick minded player understands protection graduated degree industrial technology december offer functional versatility starting experience four five offensive line spot,sporadic hand placement inconsistent punch timing allows defender attack frame overly patient need assertive instead allowing rusher come pad rise play progress balance issue second level character considered concern arrested february assault charge related campus snowball fight participate assault present,anchor shallow depth stand ground power naturally stout point attack strong hand lock defender connects big bodied blocker well proportioned thickness bubble quick redirect gain positioning wall run lane able replace hand jolted impressive spatial awareness quick minded player understands protection graduated degree industrial technology december offer functional versatility starting experience four five offensive line spot sporadic hand placement inconsistent punch timing allows defender attack frame overly patient need assertive instead allowing rusher come pad rise play progress balance issue second level character considered concern arrested february assault charge related campus snowball fight participate assault present,"{'neg': 0.063, 'neu': 0.78, 'pos': 0.157, 'compound': 0.7906}","{'neg': 0.222, 'neu': 0.723, 'pos': 0.055, 'compound': -0.9587}","{'neg': 0.172, 'neu': 0.588, 'pos': 0.24, 'compound': 0.7096}",0.063,0.78,0.157,0.7906,0.222,0.723,0.055,-0.9587,0.172,0.588,0.24,0.7096
126.0,CONNOR MCGOVERN,2019,C,"Well constructed frame for the NFL level not a stiff mover  playing loose and balanced displays the reaction quickness to respond to various
pressures swings his hips in the hole to pin defenders leverages his body and uses a powerful grip to latch and drive uses precision and placement to win the hand
battle smart and calculated with terrific field vision lauded for his competitive toughness and work ethic durable and started 34 straight games to finish his PSU
career double digit starts at both center and guard ","Play strength and anchor need continued development doesn t play with length  hurting his ability to defend his frame bad habit of forgetting his
feet in pass pro vs  gap speed often caught waist bending average play range with inconsistent results when pulling climbing technique breaks down in motion ",connor mcgovern,connor mcgovern-C,,,,-0.05,well constructed frame nfl level stiff mover playing loose balanced display reaction quickness respond various pressure swing hip hole pin defender leverage body us powerful grip latch drive us precision placement win hand battle smart calculated terrific field vision lauded competitive toughness work ethic durable started straight game finish psu career double digit start center guard,play strength anchor need continued development play length hurting ability defend frame bad habit forgetting foot pas pro gap speed often caught waist bending average play range inconsistent result pulling climbing technique break motion,well constructed frame nfl level stiff mover playing loose balanced display reaction quickness respond various pressure swing hip hole pin defender leverage body us powerful grip latch drive us precision placement win hand battle smart calculated terrific field vision lauded competitive toughness work ethic durable started straight game finish psu career double digit start center guard play strength anchor need continued development play length hurting ability defend frame bad habit forgetting foot pas pro gap speed often caught waist bending average play range inconsistent result pulling climbing technique break motion,"{'neg': 0.095, 'neu': 0.672, 'pos': 0.233, 'compound': 0.9275}","{'neg': 0.104, 'neu': 0.684, 'pos': 0.212, 'compound': 0.6705}","{'neg': 0.119, 'neu': 0.559, 'pos': 0.322, 'compound': 0.967}",0.095,0.672,0.233,0.9275,0.104,0.684,0.212,0.6705,0.119,0.559,0.322,0.967
127.0,LAMONT GAILLARD,2019,C,"Functional snap quickness works his hips to maneuver through tight spaces upper body strength to turn nose tackles from the run lane looks to
engage and toss on movement blocks rarely see him get overpowered eyes are always up and alert well versed at the position and makes accurate IDs presnap dogged competitor and takes pride in his finish team captain graduated with his bachelor s degree  December 2018  starting experience at center and guard
and didn t miss a game the last three seasons ","Lacks ideal size measurements inconsistent knee bend and finds himself too upright in his sets moving targets give him trouble and shine light on
some body stiffness doesn t display much twitch in his reset average lateral agility will be tougher to mask vs  NFL level disruptive linemen late on combinations
when climbing and tends to get sloppy in space ",lamont gaillard,lamont gaillard-C,46618.0,lamont gaillard,C,-0.003655224131507198,functional snap quickness work hip maneuver tight space upper body strength turn nose tackle run lane look engage toss movement block rarely see get overpowered eye always alert well versed position make accurate id presnap dogged competitor take pride finish team captain graduated bachelor degree december starting experience center guard miss game last three season,lack ideal size measurement inconsistent knee bend find upright set moving target give trouble shine light body stiffness display much twitch reset average lateral agility tougher mask nfl level disruptive linemen late combination climbing tends get sloppy space,functional snap quickness work hip maneuver tight space upper body strength turn nose tackle run lane look engage toss movement block rarely see get overpowered eye always alert well versed position make accurate id presnap dogged competitor take pride finish team captain graduated bachelor degree december starting experience center guard miss game last three season lack ideal size measurement inconsistent knee bend find upright set moving target give trouble shine light body stiffness display much twitch reset average lateral agility tougher mask nfl level disruptive linemen late combination climbing tends get sloppy space,"{'neg': 0.039, 'neu': 0.826, 'pos': 0.135, 'compound': 0.8316}","{'neg': 0.077, 'neu': 0.845, 'pos': 0.078, 'compound': 0.0258}","{'neg': 0.107, 'neu': 0.735, 'pos': 0.158, 'compound': 0.6808}",0.039,0.826,0.135,0.8316,0.077,0.845,0.078,0.0258,0.107,0.735,0.158,0.6808
128.0,ROSS PIERSCHBACHER,2019,C,"Efficient snap to step action  quickly extending into rushers flashes a powerful punch comfortable on his feet and aggressively climbs to the linebacker
level skilled with combination blocks and stays busy through the whistle perceptive and quickly sorts through movements  finding correct blocking angles voted a
2018 team captain by his teammates graduated with his bachelor s degree in three years and recently earned his master s  December 2018  started multiple games
at all three interior offensive line positions  finishing his career with 57 career starts ","Barrel chested and lacks ideal bulk as a guard shorter arms and struggles to control long levered defenders average body twitch and slow to react to
counters tightness through his core leads to elevated pad level  losing his balance vs  power eager blocker but his hand timing and recoil are inconsistent can get
tossed when his technique isn t perfect missed two starts as a junior  November 2017  due to a high ankle sprain ",ross pierschbacher,ross pierschbacher-C,46815.0,ross pierschbacher,C,0.010436985696147693,efficient snap step action quickly extending rusher flash powerful punch comfortable foot aggressively climb linebacker level skilled combination block stay busy whistle perceptive quickly sort movement finding correct blocking angle voted team captain teammate graduated bachelor degree three year recently earned master december started multiple game three interior offensive line position finishing career career start,barrel chested lack ideal bulk guard shorter arm struggle control long levered defender average body twitch slow react counter tightness core lead elevated pad level losing balance power eager blocker hand timing recoil inconsistent get tossed technique perfect missed two start junior november due high ankle sprain,efficient snap step action quickly extending rusher flash powerful punch comfortable foot aggressively climb linebacker level skilled combination block stay busy whistle perceptive quickly sort movement finding correct blocking angle voted team captain teammate graduated bachelor degree three year recently earned master december started multiple game three interior offensive line position finishing career career start barrel chested lack ideal bulk guard shorter arm struggle control long levered defender average body twitch slow react counter tightness core lead elevated pad level losing balance power eager blocker hand timing recoil inconsistent get tossed technique perfect missed two start junior november due high ankle sprain,"{'neg': 0.105, 'neu': 0.8, 'pos': 0.095, 'compound': 0.0258}","{'neg': 0.077, 'neu': 0.749, 'pos': 0.175, 'compound': 0.8442}","{'neg': 0.156, 'neu': 0.665, 'pos': 0.179, 'compound': 0.5994}",0.105,0.8,0.095,0.0258,0.077,0.749,0.175,0.8442,0.156,0.665,0.179,0.5994
129.0,RYAN BATES,2019,C,"Moves well on his feet to mirror and pull controls his footwork to slide and shuffle in space  using pace vs  edge speed thrusts his hips on the move to
seal lanes shorter arms but owns eager hands and a forceful six inch punch drives his lower body to create movement on face up run blocks alert blocker and sees
things quickly graduated with a degree in labor   employment relations  December 2018  versatile starting experience at both tackle spots and inside at guard ","Lacks the body type or length desired on the edges not a natural knee bender and struggles to anchor vs  power functional strength is average at
best inconsistent pad level and hip roll at contact  struggling to stay underneath blocks hands tend to wander  ending with his hands full of cloth leans and tends
to be late bringing his feet with him quick initial punch  but his recoil reset needs improved missed three games as a sophomore with a left leg injury  Oct  2017  ",ryan bates,ryan bates-C,,,,-0.05,move well foot mirror pull control footwork slide shuffle space using pace edge speed thrust hip move seal lane shorter arm owns eager hand forceful six inch punch drive lower body create movement face run block alert blocker see thing quickly graduated degree labor employment relation december versatile starting experience tackle spot inside guard,lack body type length desired edge natural knee bender struggle anchor power functional strength average best inconsistent pad level hip roll contact struggling stay underneath block hand tend wander ending hand full cloth lean tends late bringing foot quick initial punch recoil reset need improved missed three game sophomore left leg injury oct,move well foot mirror pull control footwork slide shuffle space using pace edge speed thrust hip move seal lane shorter arm owns eager hand forceful six inch punch drive lower body create movement face run block alert blocker see thing quickly graduated degree labor employment relation december versatile starting experience tackle spot inside guard lack body type length desired edge natural knee bender struggle anchor power functional strength average best inconsistent pad level hip roll contact struggling stay underneath block hand tend wander ending hand full cloth lean tends late bringing foot quick initial punch recoil reset need improved missed three game sophomore left leg injury oct,"{'neg': 0.057, 'neu': 0.83, 'pos': 0.113, 'compound': 0.6249}","{'neg': 0.139, 'neu': 0.751, 'pos': 0.11, 'compound': -0.1913}","{'neg': 0.145, 'neu': 0.617, 'pos': 0.238, 'compound': 0.9217}",0.057,0.83,0.113,0.6249,0.139,0.751,0.11,-0.1913,0.145,0.617,0.238,0.9217
129.0,LLOYD CUSHENBERRY III,2020,C,"Smooth mover and keeps his feet underneath him easy body flexibility to close space  sitting in his stance and reacting to whatever is thrown at
him sinks to anchor on the move eager second level blocker and often found downfield making plays uses his quickness to reach defenders in the run game thick
legs  torso and upper body with long arms very intelligent and picks things up quickly alert to twists and stunts durable and rarely leaves the field  leading the
team in total snaps  1 040  in 2019 quiet by nature  but very well liked in the locker room because he always puts his head down and works  voted a team
captain  has taken practice reps at guard and has guard center starting potential in the NFL ","Caught leaning into blocks and contact balance was occasionally an issue in college must speed up his punch to cut off speed angles and prevent
rushers from crossing his face arm length will cause him to be late in his reset body angles are a work in progress didn t see him bury a lot on tape and want to see
more of a killer instinct in his finishing technique ",lloyd cushenberry,lloyd cushenberry-C,41924.0,lloyd cushenberry,C,0.03158765417121494,smooth mover keep foot underneath easy body flexibility close space sitting stance reacting whatever thrown sink anchor move eager second level blocker often found downfield making play us quickness reach defender run game thick leg torso upper body long arm intelligent pick thing quickly alert twist stunt durable rarely leaf field leading team total snap quiet nature well liked locker room always put head work voted team captain taken practice rep guard guard center starting potential nfl,caught leaning block contact balance occasionally issue college must speed punch cut speed angle prevent rusher crossing face arm length cause late reset body angle work progress see bury lot tape want see killer instinct finishing technique,smooth mover keep foot underneath easy body flexibility close space sitting stance reacting whatever thrown sink anchor move eager second level blocker often found downfield making play us quickness reach defender run game thick leg torso upper body long arm intelligent pick thing quickly alert twist stunt durable rarely leaf field leading team total snap quiet nature well liked locker room always put head work voted team captain taken practice rep guard guard center starting potential nfl caught leaning block contact balance occasionally issue college must speed punch cut speed angle prevent rusher crossing face arm length cause late reset body angle work progress see bury lot tape want see killer instinct finishing technique,"{'neg': 0.0, 'neu': 0.853, 'pos': 0.147, 'compound': 0.9332}","{'neg': 0.116, 'neu': 0.813, 'pos': 0.07, 'compound': -0.6573}","{'neg': 0.069, 'neu': 0.724, 'pos': 0.207, 'compound': 0.9136}",0.0,0.853,0.147,0.9332,0.116,0.813,0.07,-0.6573,0.069,0.724,0.207,0.9136
130.0,CESAR RUIZ,2020,C,"Thick  compact build in his upper and lower halves keeps his hands relaxed and his knees bent at contact re leverages his hands to anchor vs 
power efficient mobility fluid out of his stance as a puller with the body control to swing his hips through the hole stretches front side to hook on outside zone
runs makes split second reads to adjust on the fly combos well from line of scrimmage to linebacker well timed from point of attack to second level described as
 enthusiastic  and the  ideal teammate   according to staffers behind the scenes at Michigan experienced at center and guard durable and finished his college
career with 31 straight starts ","Not a technically sound player from snap to snap inconsistent pad level and caught lunging  which leads to balance issues on the ground more than
necessary mobile  but not a rangy or explosive mover flat steps cause his feet to get a little heavy late to redirect vs  inside moves responsible for six penalties in
2019 and needs to improve his discipline killer instinct seems to come and go in the run game ",cesar ruiz,cesar ruiz-C,,,,-0.05,thick compact build upper lower half keep hand relaxed knee bent contact leverage hand anchor power efficient mobility fluid stance puller body control swing hip hole stretch front side hook outside zone run make split second read adjust fly combo well line scrimmage linebacker well timed point attack second level described enthusiastic ideal teammate according staffer behind scene michigan experienced center guard durable finished college career straight start,technically sound player snap snap inconsistent pad level caught lunging lead balance issue ground necessary mobile rangy explosive mover flat step cause foot get little heavy late redirect inside move responsible six penalty need improve discipline killer instinct seems come run game,thick compact build upper lower half keep hand relaxed knee bent contact leverage hand anchor power efficient mobility fluid stance puller body control swing hip hole stretch front side hook outside zone run make split second read adjust fly combo well line scrimmage linebacker well timed point attack second level described enthusiastic ideal teammate according staffer behind scene michigan experienced center guard durable finished college career straight start technically sound player snap snap inconsistent pad level caught lunging lead balance issue ground necessary mobile rangy explosive mover flat step cause foot get little heavy late redirect inside move responsible six penalty need improve discipline killer instinct seems come run game,"{'neg': 0.042, 'neu': 0.811, 'pos': 0.147, 'compound': 0.9081}","{'neg': 0.075, 'neu': 0.84, 'pos': 0.085, 'compound': -0.0387}","{'neg': 0.091, 'neu': 0.689, 'pos': 0.22, 'compound': 0.9403}",0.042,0.811,0.147,0.9081,0.075,0.84,0.085,-0.0387,0.091,0.689,0.22,0.9403
131.0,MATT HENNESSY,2020,C,"Efficient athlete for his size outstanding foot quickness and body control to be effective on reach blocks slides his feet well to work laterally works his
hands into his target while positioning his feet to seal as a run blocker comfortable pulling or working up to the second level high IQ player and effectively
locates communicates pre snap reads keeps his knees bent and his hips centered in his pass sets introverted personality  but named a captain and boasts elite
intangibles with a genuine love for football his coaches say he is the hardest worker on the team and lives in the football facility  working out or watching film  head
coach Rod Carey   He is never satisfied and is continuing to try and get better    started double digit games each of the last three seasons ","Won t overwhelm defenders with power doesn t generate a great push in short yardage leaner than ideal and needs to continue and add beef to his
frame below average arm length by NFL standards bull rushers can knock him on his heels if he doesn t win early inconsistent on combinations  especially vs 
quicker linebackers will occasionally allow his pads to rise in pass pro  negating his base strength only minor injuries on his resume  but did miss at least one game
each of the last three years played tackle in high school and saw reps at guard during his redshirt year  but might be a center only in the NFL 

 120 ",matt hennessy,matt hennessy-C,41141.0,matt hennessy,C,-0.004426731437338318,efficient athlete size outstanding foot quickness body control effective reach block slide foot well work laterally work hand target positioning foot seal run blocker comfortable pulling working second level high player effectively locates communicates pre snap read keep knee bent hip centered pas set introverted personality named captain boast elite intangible genuine love football coach say hardest worker team life football facility working watching film head coach rod carey never satisfied continuing try get better started double digit game last three season,overwhelm defender power generate great push short yardage leaner ideal need continue add beef frame average arm length nfl standard bull rusher knock heel win early inconsistent combination especially quicker linebacker occasionally allow pad rise pas pro negating base strength minor injury resume miss least one game last three year played tackle high school saw rep guard redshirt year might center nfl,efficient athlete size outstanding foot quickness body control effective reach block slide foot well work laterally work hand target positioning foot seal run blocker comfortable pulling working second level high player effectively locates communicates pre snap read keep knee bent hip centered pas set introverted personality named captain boast elite intangible genuine love football coach say hardest worker team life football facility working watching film head coach rod carey never satisfied continuing try get better started double digit game last three season overwhelm defender power generate great push short yardage leaner ideal need continue add beef frame average arm length nfl standard bull rusher knock heel win early inconsistent combination especially quicker linebacker occasionally allow pad rise pas pro negating base strength minor injury resume miss least one game last three year played tackle high school saw rep guard redshirt year might center nfl,"{'neg': 0.03, 'neu': 0.816, 'pos': 0.154, 'compound': 0.9464}","{'neg': 0.027, 'neu': 0.828, 'pos': 0.145, 'compound': 0.898}","{'neg': 0.062, 'neu': 0.667, 'pos': 0.271, 'compound': 0.9892}",0.03,0.816,0.154,0.9464,0.027,0.828,0.145,0.898,0.062,0.667,0.271,0.9892
