Column1,Name,Nic_year,Position,Strengths,Weaknesses,player_x,join_slug,player_id,player_y,position,WAR,strengths_processed,weaknesses_processed,combined_text,strengths_sentiment,weaknesses_sentiment,combined_sentiment,strengths_neg,strengths_neu,strengths_pos,strengths_compound,weaknesses_neg,weaknesses_neu,weaknesses_pos,weaknesses_compound,combined_neg,combined_neu,combined_pos,combined_compound,similar_1_name,similar_2_name,similar_3_name,similar_4_name,similar_5_name,similar_1_score,similar_2_score,similar_3_score,similar_4_score,similar_5_score,join_slug_1,WAR_1,join_slug_2,WAR_2,join_slug_3,WAR_3,join_slug_4,WAR_4,join_slug_5,WAR_5,max_similarity,prediction
204.0,BYRON MURPHY,2019,CB,"Excellent space athlete flips his hips without gearing down  staying balanced mid transition shows the foot speed to match receivers vertically or jump
routes with closing burst above average read react processor and situational awareness understands route concepts  peeling off his man to make plays elite ball
skills with 27 passes defended and seven interceptions in 20 collegiate games averaged 13 6 yards per interception return with one score  7 95 1  times his hits to
separate man from ball physical in run support and quick to trigger downhill outstanding mental and physical toughness  also a gunner on punt coverage  ","Slender frame and undersized by NFL standards not a long armed player doesn t play sudden with only average recovery speed not a bully in
coverage and needs to better disrupt routes resorts to grabbing vs  speedy receivers and will attract holding penalties only 20 career games played missed seven
games as a redshirt freshman after fracturing the fifth metatarsal in his foot during practice  September 2017   requiring surgery and a three inch screw ",byron murphy,byron murphy-CB,44027.0,byron murphy,CB,-0.008261658806156327,excellent space athlete flip hip without gearing staying balanced mid transition show foot speed match receiver vertically jump route closing burst average read react processor situational awareness understands route concept peeling man make play elite ball skill pass defended seven interception collegiate game averaged yard per interception return one score time hit separate man ball physical run support quick trigger downhill outstanding mental physical toughness also gunner punt coverage,slender frame undersized nfl standard long armed player play sudden average recovery speed bully coverage need better disrupt route resort grabbing speedy receiver attract holding penalty career game played missed seven game redshirt freshman fracturing fifth metatarsal foot practice september requiring surgery three inch screw,excellent space athlete flip hip without gearing staying balanced mid transition show foot speed match receiver vertically jump route closing burst average read react processor situational awareness understands route concept peeling man make play elite ball skill pass defended seven interception collegiate game averaged yard per interception return one score time hit separate man ball physical run support quick trigger downhill outstanding mental physical toughness also gunner punt coverage slender frame undersized nfl standard long armed player play sudden average recovery speed bully coverage need better disrupt route resort grabbing speedy receiver attract holding penalty career game played missed seven game redshirt freshman fracturing fifth metatarsal foot practice september requiring surgery three inch screw,"{'neg': 0.011, 'neu': 0.87, 'pos': 0.119, 'compound': 0.9042}","{'neg': 0.046, 'neu': 0.791, 'pos': 0.164, 'compound': 0.8492}","{'neg': 0.081, 'neu': 0.748, 'pos': 0.17, 'compound': 0.9186}",0.011,0.87,0.119,0.9042,0.046,0.791,0.164,0.8492,0.081,0.748,0.17,0.9186,shakur brown-CB,blace brown-CB,jaquan mcmillian-CB,mj devonshire-CB,derek stingley-CB,0.666,0.5887,0.5147,0.5131,0.4979,shakur brown-CB,-0.05,blace brown-CB,-0.05,jaquan mcmillian-CB,0.007024330171456293,mj devonshire-CB,-0.05,derek stingley-CB,0.061229453068047536,2.7804,-0.019525403747004236
205.0,GREEDY WILLIAMS,2019,CB,"Tall  long athlete balanced lower body to stay on the same plane vertically excellent long speed  backpedal and transition skills to stay on top of
routes above average judgement and ball skills downfield  28 passes defended and eight interceptions in 25 starts  keeps an eye in the backfield with quick clickand close skills natural reading in and out breaking routes rarely bites on double moves or ball fakes physical in press and uses the sideline well always mixing it
up and takes pride in frustrating receivers active hands to create route leverage displays the confidence and mental toughness required for the position only
missed one game the last two seasons  choosing to sit out of the 2018 Fiesta Bowl to avoid injury ","Skinny frame with wiry muscle tone lack of play strength shows vs  physical receivers and in the run game not an eager tackler and often resorts to
throwing his shoulder will bounce off ballcarriers mid tackle too easily occupied by blockers and doesn t power through bodies in the screen game hands on in
coverage and still learning what he can and can t get away with downfield has some lazy tendencies with his spacing and receivers can lull him to sleep late at times
turning to find the football will leave some production on the field unproven playmaker with the ball in his hands  averaging 6 5 yards per interception return
 8 52 0  lack of body armor leads to durability concerns ",greedy williams,greedy williams-CB,43254.0,greedy williams,CB,-0.008230118487125617,tall long athlete balanced lower body stay plane vertically excellent long speed backpedal transition skill stay top route average judgement ball skill downfield pass defended eight interception start keep eye backfield quick clickand close skill natural reading breaking route rarely bite double move ball fake physical press us sideline well always mixing take pride frustrating receiver active hand create route leverage display confidence mental toughness required position missed one game last two season choosing sit fiesta bowl avoid injury,skinny frame wiry muscle tone lack play strength show physical receiver run game eager tackler often resort throwing shoulder bounce ballcarriers mid tackle easily occupied blocker power body screen game hand coverage still learning get away downfield lazy tendency spacing receiver lull sleep late time turning find football leave production field unproven playmaker ball hand averaging yard per interception return lack body armor lead durability concern,tall long athlete balanced lower body stay plane vertically excellent long speed backpedal transition skill stay top route average judgement ball skill downfield pass defended eight interception start keep eye backfield quick clickand close skill natural reading breaking route rarely bite double move ball fake physical press us sideline well always mixing take pride frustrating receiver active hand create route leverage display confidence mental toughness required position missed one game last two season choosing sit fiesta bowl avoid injury skinny frame wiry muscle tone lack play strength show physical receiver run game eager tackler often resort throwing shoulder bounce ballcarriers mid tackle easily occupied blocker power body screen game hand coverage still learning get away downfield lazy tendency spacing receiver lull sleep late time turning find football leave production field unproven playmaker ball hand averaging yard per interception return lack body armor lead durability concern,"{'neg': 0.112, 'neu': 0.726, 'pos': 0.162, 'compound': 0.8126}","{'neg': 0.082, 'neu': 0.856, 'pos': 0.063, 'compound': -0.1053}","{'neg': 0.133, 'neu': 0.632, 'pos': 0.235, 'compound': 0.9633}",0.112,0.726,0.162,0.8126,0.082,0.856,0.063,-0.1053,0.133,0.632,0.235,0.9633,greg newsome-CB,amari henderson-CB,javaris davis-CB,cj henderson-CB,parnell motley-CB,0.6225,0.6024,0.5836,0.5274,0.449,greg newsome-CB,-0.0028555493613673585,amari henderson-CB,-0.05,javaris davis-CB,0.0003629389117270159,cj henderson-CB,-0.038494338919561555,parnell motley-CB,-0.0045654356902374085,2.7849,-0.01940377151770644
206.0,ROCK YASIN,2019,CB,"Rocked up  muscular frame coordinated body control to quickly find his balance when changing directions quiet  agile feet to stay square and on top
of routes patient in press with the speed to turn and match strides vertically above average eye discipline and quick to read route combinations excellent body
positioning downfield  getting his head turned and finding the football excellent ball skills  locating and using his length to disrupt the catch point strong offhand active in the run game with a closing burst downhill excellent work and preparation habits  which come from his wrestling background productive starting
experience ","Only average long speed for the position short stepper physical nature downfield will draw flags inconsistent jam technique and timing in pressman needs to better finish interceptions when the opportunity is there eager tackler and drops his pads  but wrap up technique is inconsistent  allowing runners
out of his grasp only one season of experience at the FBS level and didn t put on his first football helmet until his junior year of high school in 2013 ",rock yasin,rock yasin-CB,49564.0,rock yasin,CB,-0.003433689532558179,rocked muscular frame coordinated body control quickly find balance changing direction quiet agile foot stay square top route patient press speed turn match stride vertically average eye discipline quick read route combination excellent body positioning downfield getting head turned finding football excellent ball skill locating using length disrupt catch point strong offhand active run game closing burst downhill excellent work preparation habit come wrestling background productive starting experience,average long speed position short stepper physical nature downfield draw flag inconsistent jam technique timing pressman need better finish interception opportunity eager tackler drop pad wrap technique inconsistent allowing runner grasp one season experience fbs level put first football helmet junior year high school,rocked muscular frame coordinated body control quickly find balance changing direction quiet agile foot stay square top route patient press speed turn match stride vertically average eye discipline quick read route combination excellent body positioning downfield getting head turned finding football excellent ball skill locating using length disrupt catch point strong offhand active run game closing burst downhill excellent work preparation habit come wrestling background productive starting experience average long speed position short stepper physical nature downfield draw flag inconsistent jam technique timing pressman need better finish interception opportunity eager tackler drop pad wrap technique inconsistent allowing runner grasp one season experience fbs level put first football helmet junior year high school,"{'neg': 0.0, 'neu': 0.83, 'pos': 0.17, 'compound': 0.9578}","{'neg': 0.0, 'neu': 0.929, 'pos': 0.071, 'compound': 0.5574}","{'neg': 0.016, 'neu': 0.777, 'pos': 0.207, 'compound': 0.975}",0.0,0.83,0.17,0.9578,0.0,0.929,0.071,0.5574,0.016,0.777,0.207,0.975,martin emerson-CB,michael ojemudia-CB,tariq castrofields-CB,derion kendrick-CB,kaiir elam-CB,0.6144,0.5852,0.558,0.5383,0.5248,martin emerson-CB,-0.021813489468306514,michael ojemudia-CB,-0.011795892620335924,tariq castrofields-CB,-0.0011709273626077953,derion kendrick-CB,-0.01017056793254104,kaiir elam-CB,0.0059811207225889075,2.8207,-0.008258399093117113
,SEAN MURPHYBUNTING,2019,CB,"Agile footed athlete with swivel hips and balanced start stop quicknesslong speed to recover and carry receivers verticallyabove average
height length for the positionmatches up well vs  size on the outsidecompetes at the catch point and does receiver like things in coveragealways ball
searchinganticipates route breaks and recognizes play indicatorsgets physical early in the down and takes pride in playing chippyserviceable run defenderhis
coaches say he embraces leadership roles ","Skinny limbs and lacks ideal body massmarginal play strength and spends too much time hung up on blocksimpatient feet in press  allowing
receivers to immediately gain a stepwasnt asked to backpedal in CMUs schemeflexible body type  but tends to play upright in off coverage instead of using his
sink to driveplays the man downfield  but can be late to find the ballhands on mentality will lead to flags ",sean murphybunting,sean murphybunting-CB,25891.0,sean murphybunting,CB,-0.0016171351219463996,agile footed athlete swivel hip balanced start stop quicknesslong speed recover carry receiver verticallyabove average height length positionmatches well size outsidecompetes catch point receiver like thing coveragealways ball searchinganticipates route break recognizes play indicatorsgets physical early take pride playing chippyserviceable run defenderhis coach say embrace leadership role,skinny limb lack ideal body massmarginal play strength spends much time hung blocksimpatient foot press allowing receiver immediately gain stepwasnt asked backpedal cmus schemeflexible body type tends play upright coverage instead using sink driveplays man downfield late find ballhands mentality lead flag,agile footed athlete swivel hip balanced start stop quicknesslong speed recover carry receiver verticallyabove average height length positionmatches well size outsidecompetes catch point receiver like thing coveragealways ball searchinganticipates route break recognizes play indicatorsgets physical early take pride playing chippyserviceable run defenderhis coach say embrace leadership role skinny limb lack ideal body massmarginal play strength spends much time hung blocksimpatient foot press allowing receiver immediately gain stepwasnt asked backpedal cmus schemeflexible body type tends play upright coverage instead using sink driveplays man downfield late find ballhands mentality lead flag,"{'neg': 0.029, 'neu': 0.825, 'pos': 0.147, 'compound': 0.7906}","{'neg': 0.0, 'neu': 0.846, 'pos': 0.154, 'compound': 0.8519}","{'neg': 0.041, 'neu': 0.699, 'pos': 0.26, 'compound': 0.9674}",0.029,0.825,0.147,0.7906,0.0,0.846,0.154,0.8519,0.041,0.699,0.26,0.9674,joshua williams-CB,vincent gray-CB,cj henderson-CB,greedy williams-CB,harrison hand-CB,0.4515,0.4499,0.428,0.4089,0.3968,joshua williams-CB,0.02496891571383558,vincent gray-CB,0.0017148116774685044,cj henderson-CB,-0.038494338919561555,greedy williams-CB,-0.008230118487125617,harrison hand-CB,-0.00021569448309191594,2.1351,-0.003691396590023436
207.0,DEANDRE BAKER,2019,CB,"Coordinated movement skills at the snap and downfield stays a step ahead due to his above average instincts and route recognition sits on patterns
and stays dialed in to click and close or carry receivers vertically aggressively uses the sideline and gets physical in coverage uses his length to work around
receivers and fight through their hands coaches will love what he brings in run support  arriving with thump and competing with terrific finish doesn t allow himself
to be bullied by blockers quiet and introverted by nature  but plays confident and grew as a leader in college  former Georgia DC Mel Tucker   He works really hard
in practice  he s developed in the meeting room  he s emerged as a leader for us   ","Only average long speed for the position  lacking secondary jets to easily recover desire to bait can lead to spacing issues will attract attention from
officials for his grabbing downfield has a few personal foul penalties on his tape for late hits tackling technique comes and goes  occasionally using his shoulder or
attempting to hug and throw prematurely opens his hips  giving up inside position too easily lacks much jam experience doesn t have extensive experience as an
inside cornerback perceived lax demeanor will be a turn off for some coaches ",deandre baker,deandre baker-CB,33356.0,deandre baker,CB,-0.0207248754252411,coordinated movement skill snap downfield stay step ahead due average instinct route recognition sits pattern stay dialed click close carry receiver vertically aggressively us sideline get physical coverage us length work around receiver fight hand coach love brings run support arriving thump competing terrific finish allow bullied blocker quiet introverted nature play confident grew leader college former georgia mel tucker work really hard practice developed meeting room emerged leader,average long speed position lacking secondary jet easily recover desire bait lead spacing issue attract attention official grabbing downfield personal foul penalty tape late hit tackling technique come go occasionally using shoulder attempting hug throw prematurely open hip giving inside position easily lack much jam experience extensive experience inside cornerback perceived lax demeanor turn coach,coordinated movement skill snap downfield stay step ahead due average instinct route recognition sits pattern stay dialed click close carry receiver vertically aggressively us sideline get physical coverage us length work around receiver fight hand coach love brings run support arriving thump competing terrific finish allow bullied blocker quiet introverted nature play confident grew leader college former georgia mel tucker work really hard practice developed meeting room emerged leader average long speed position lacking secondary jet easily recover desire bait lead spacing issue attract attention official grabbing downfield personal foul penalty tape late hit tackling technique come go occasionally using shoulder attempting hug throw prematurely open hip giving inside position easily lack much jam experience extensive experience inside cornerback perceived lax demeanor turn coach,"{'neg': 0.061, 'neu': 0.826, 'pos': 0.113, 'compound': 0.7724}","{'neg': 0.0, 'neu': 0.841, 'pos': 0.159, 'compound': 0.926}","{'neg': 0.102, 'neu': 0.668, 'pos': 0.23, 'compound': 0.9596}",0.061,0.826,0.113,0.7724,0.0,0.841,0.159,0.926,0.102,0.668,0.23,0.9596,amani oruwariye-CB,cj henderson-CB,thakarius keyes-CB,derion kendrick-CB,david long-CB,0.3735,0.3652,0.3439,0.3308,0.2988,amani oruwariye-CB,-0.04221586978556677,cj henderson-CB,-0.038494338919561555,thakarius keyes-CB,-0.05,derion kendrick-CB,-0.01017056793254104,david long-CB,-0.00964394348130389,1.7122,-0.031110147250689897
208.0,JUSTIN LAYNE,2019,CB,"Tall  long frame accelerates to his top speed to stay on top of routes or quickly recover maintains his balance out of his transition to mirror different
types of receivers natural timing and ball skills and reacts to the ball like a former wide receiver fearless jumping routes better feel for getting his head turned to
 180 
track the football improved instincts as a junior with a better understanding of route concepts extends well in press competitive tackler and gets his man on the
ground tied for the most passes defended  16  in the Big Ten in 2018 ","Leggy gait tends to play on his heels  causing him to be a tick late driving on in breaking or underneath routes not at the point of his development
where he fully trusts his technique has some man cover limitations as sudden route runners will be able to create separation questionable play strength and
spends too much time attached to blockers ",justin layne,justin layne-CB,40160.0,justin layne,CB,-0.0045504017138310775,tall long frame accelerates top speed stay top route quickly recover maintains balance transition mirror different type receiver natural timing ball skill reacts ball like former wide receiver fearless jumping route better feel getting head turned track football improved instinct junior better understanding route concept extends well press competitive tackler get man ground tied pass defended big ten,leggy gait tends play heel causing tick late driving breaking underneath route point development fully trust technique man cover limitation sudden route runner able create separation questionable play strength spends much time attached blocker,tall long frame accelerates top speed stay top route quickly recover maintains balance transition mirror different type receiver natural timing ball skill reacts ball like former wide receiver fearless jumping route better feel getting head turned track football improved instinct junior better understanding route concept extends well press competitive tackler get man ground tied pass defended big ten leggy gait tends play heel causing tick late driving breaking underneath route point development fully trust technique man cover limitation sudden route runner able create separation questionable play strength spends much time attached blocker,"{'neg': 0.0, 'neu': 0.766, 'pos': 0.234, 'compound': 0.967}","{'neg': 0.032, 'neu': 0.775, 'pos': 0.194, 'compound': 0.8832}","{'neg': 0.037, 'neu': 0.628, 'pos': 0.334, 'compound': 0.9834}",0.0,0.766,0.234,0.967,0.032,0.775,0.194,0.8832,0.037,0.628,0.334,0.9834,brandin echols-CB,marcellas dial-CB,benjamin stjuste-CB,chris wilcox-CB,nahshon wright-CB,0.517,0.4492,0.4468,0.3945,0.3916,brandin echols-CB,-0.01356015500778706,marcellas dial-CB,-0.001956391275781247,benjamin stjuste-CB,-0.04480422404609154,chris wilcox-CB,-0.05,nahshon wright-CB,-0.0066198911544853856,2.1991,-0.022839019498884557
209.0,JULIAN LOVE,2019,CB,"Outstanding agility coordinated pedal to smoothly transition and stay on the same plane vertically quick to diagnose routes and sort out what he
sees unlocks his hips to drive on throws instinctively tracks the ball downfield trustworthy to compete when the ball is in the air outstanding ball production with
44 passes defended in 34 career starts accurately reads the eyes movements of receivers to make plays with his back to the ball doesn t lack for toughness as a run
defender offensive background shows with the ball in his hands  averaging 31 8 yards per interception return  5 159 2  his extensive film study and detailed
preparation are clear on game day low key personality and allows his play to do the talking ","Questionable long speed for the position  struggling to close the gap once receivers gain a step lacks burst in his movements  struggling to easily
recover after a misstep undersized by NFL standards and his lack of inches are obvious vs  bigger receivers  see 2018 Stanford tape  inexperienced jamming or
disrupting routes too easily moved by blockers and removed from the run game too many shoe string tackle attempts on his film missed most of the Cotton Bowl
after failing the concussion protocol  December 2018  ",julian love,julian love-CB,,,,-0.05,outstanding agility coordinated pedal smoothly transition stay plane vertically quick diagnose route sort see unlocks hip drive throw instinctively track ball downfield trustworthy compete ball air outstanding ball production pass defended career start accurately read eye movement receiver make play back ball lack toughness run defender offensive background show ball hand averaging yard per interception return extensive film study detailed preparation clear game day low key personality allows play talking,questionable long speed position struggling close gap receiver gain step lack burst movement struggling easily recover misstep undersized nfl standard lack inch obvious bigger receiver see stanford tape inexperienced jamming disrupting route easily moved blocker removed run game many shoe string tackle attempt film missed cotton bowl failing concussion protocol december,outstanding agility coordinated pedal smoothly transition stay plane vertically quick diagnose route sort see unlocks hip drive throw instinctively track ball downfield trustworthy compete ball air outstanding ball production pass defended career start accurately read eye movement receiver make play back ball lack toughness run defender offensive background show ball hand averaging yard per interception return extensive film study detailed preparation clear game day low key personality allows play talking questionable long speed position struggling close gap receiver gain step lack burst movement struggling easily recover misstep undersized nfl standard lack inch obvious bigger receiver see stanford tape inexperienced jamming disrupting route easily moved blocker removed run game many shoe string tackle attempt film missed cotton bowl failing concussion protocol december,"{'neg': 0.063, 'neu': 0.791, 'pos': 0.146, 'compound': 0.9081}","{'neg': 0.161, 'neu': 0.754, 'pos': 0.085, 'compound': -0.7506}","{'neg': 0.168, 'neu': 0.629, 'pos': 0.202, 'compound': 0.8074}",0.063,0.791,0.146,0.9081,0.161,0.754,0.085,-0.7506,0.168,0.629,0.202,0.8074,asante samuel-CB,jaquan mcmillian-CB,trent mcduffie-CB,shemar jeancharles-CB,byron murphy-CB,0.5758,0.5446,0.5142,0.4195,0.4159,asante samuel-CB,0.04382970980452125,jaquan mcmillian-CB,0.007024330171456293,trent mcduffie-CB,0.11961154224313193,shemar jeancharles-CB,-0.05,byron murphy-CB,-0.008261658806156327,2.47,0.02678373612986091
210.0,JOEJUAN WILLIAMS,2019,CB,"Giant sized for the position with outstanding height and length quick footed and flexible smoothly opens his gait to stay attached to receivers in his
transition stays busy as a run defender  understanding field leverage and flashing a closing burst to drive and finish hard nosed  hug tackler uses his physicality to
pin receivers  post up and clobber at the catch point uses his length to crowd targets  leading the SEC in passes defended  18  in 2018 started every game the last
two seasons ","Only average speed and will lose foot races on vertical routes messy mechanics and savvy route runners force his hips the wrong way impatient in
press  giving up inside position with hard outside sets driven off the top of routes due to his sidesaddle technique  opening up stop comeback patterns plays noseto nose in press  but shows inconsistent jam skills and doesn t use enough contact to disrupt the infancy of routes inconsistent ball awareness with his back turned
to the football too many  almost  tackles on his resume ",joejuan williams,joejuan williams-CB,29113.0,joejuan williams,CB,-0.010210592126833413,giant sized position outstanding height length quick footed flexible smoothly open gait stay attached receiver transition stay busy run defender understanding field leverage flashing closing burst drive finish hard nosed hug tackler us physicality pin receiver post clobber catch point us length crowd target leading sec pass defended started every game last two season,average speed lose foot race vertical route messy mechanic savvy route runner force hip wrong way impatient press giving inside position hard outside set driven top route due sidesaddle technique opening stop comeback pattern play noseto nose press show inconsistent jam skill use enough contact disrupt infancy route inconsistent ball awareness back turned football many almost tackle resume,giant sized position outstanding height length quick footed flexible smoothly open gait stay attached receiver transition stay busy run defender understanding field leverage flashing closing burst drive finish hard nosed hug tackler us physicality pin receiver post clobber catch point us length crowd target leading sec pass defended started every game last two season average speed lose foot race vertical route messy mechanic savvy route runner force hip wrong way impatient press giving inside position hard outside set driven top route due sidesaddle technique opening stop comeback pattern play noseto nose press show inconsistent jam skill use enough contact disrupt infancy route inconsistent ball awareness back turned football many almost tackle resume,"{'neg': 0.016, 'neu': 0.867, 'pos': 0.117, 'compound': 0.8402}","{'neg': 0.107, 'neu': 0.844, 'pos': 0.049, 'compound': -0.5346}","{'neg': 0.119, 'neu': 0.751, 'pos': 0.13, 'compound': 0.3612}",0.016,0.867,0.117,0.8402,0.107,0.844,0.049,-0.5346,0.119,0.751,0.13,0.3612,brandon stephens-CB,chris westry-CB,keith taylor-CB,cameron mitchell-CB,derrek thomas-CB,0.5693,0.4353,0.3942,0.3934,0.384,brandon stephens-CB,-0.05,chris westry-CB,-0.007744382432507376,keith taylor-CB,-0.017514416851603546,cameron mitchell-CB,-0.018685009877081535,derrek thomas-CB,-0.05,2.1762,-0.030002295598481964
211.0,DAVID LONG,2019,CB,"Balanced athlete to press and mirror off the line swivel hips and sudden footwork to stay in the pocket of receivers heady player with a natural feel in
coverage  suffocating the catch point his pattern recognition improved each of the last three seasons aggressive long arm to dictate the path of routes keeps one
eye in the backfield to release his man and make plays leverages the field well as a run defender tough  competitive and treats every rep with the same
intensity experienced on special teams posted an impressive workout at the NFL combine  including an elite three cone time  6 45  ","Shorter than ideal with below average arm length handsy at the top of routes and his physicality draws attention from officials peeking in the
backfield gets him in trouble  losing his route leverage needs to quicken his trigger from off coverage to drive on throws intermittent run defender and needs to
clean up his break down and finish technique inexperienced as a nickel corner  over 88 percent of his college snaps were at outside cornerback  unimpressive
resume with lackluster tackle and interception production ",david long,david long-CB,27377.0,david long,CB,-0.00964394348130389,balanced athlete press mirror line swivel hip sudden footwork stay pocket receiver heady player natural feel coverage suffocating catch point pattern recognition improved last three season aggressive long arm dictate path route keep one eye backfield release man make play leverage field well run defender tough competitive treat every rep intensity experienced special team posted impressive workout nfl combine including elite three cone time,shorter ideal average arm length handsy top route physicality draw attention official peeking backfield get trouble losing route leverage need quicken trigger coverage drive throw intermittent run defender need clean break finish technique inexperienced nickel corner percent college snap outside cornerback unimpressive resume lackluster tackle interception production,balanced athlete press mirror line swivel hip sudden footwork stay pocket receiver heady player natural feel coverage suffocating catch point pattern recognition improved last three season aggressive long arm dictate path route keep one eye backfield release man make play leverage field well run defender tough competitive treat every rep intensity experienced special team posted impressive workout nfl combine including elite three cone time shorter ideal average arm length handsy top route physicality draw attention official peeking backfield get trouble losing route leverage need quicken trigger coverage drive throw intermittent run defender need clean break finish technique inexperienced nickel corner percent college snap outside cornerback unimpressive resume lackluster tackle interception production,"{'neg': 0.028, 'neu': 0.804, 'pos': 0.168, 'compound': 0.9287}","{'neg': 0.084, 'neu': 0.815, 'pos': 0.101, 'compound': 0.1531}","{'neg': 0.08, 'neu': 0.689, 'pos': 0.231, 'compound': 0.9545}",0.028,0.804,0.168,0.9287,0.084,0.815,0.101,0.1531,0.08,0.689,0.231,0.9545,joey porter-CB,brandon stephens-CB,arquon bush-CB,christian rolandwallace-CB,deonte banks-CB,0.5346,0.5279,0.5267,0.5105,0.4928,joey porter-CB,-0.03733651749527214,brandon stephens-CB,-0.05,arquon bush-CB,-0.05,christian rolandwallace-CB,0.0015260383900376944,deonte banks-CB,-0.05455991010111805,2.5925,-0.03810923176574319
212.0,JAMEL DEAN,2019,CB,"Impressively built for the position with outstanding length accelerates well and finds his top speed quickly maintains his speed vertically and won t
lose any foot races patient feet in press and looks smooth in reverse stays attached at the top of routes alertly uses the sideline to pin receivers and crowd passing
windows soft hands to take advantage of passes thrown in his direction physical hitter in the run game  bringing his hips graduated with a degree in liberal arts
 May 2018  made SEC Academic Honor Roll the past two years made plays as a gunner on special teams coverages ","Speedy  but doesn t play explosive looks to press  but too soft with his punch and receivers can shake him before he connects owns an impulsive
reaction to grab downfield and will attract yellow laundry doesn t play as powerful as he looks and too easily removed by blockers needs to be more aggressive
downhill  often waiting for blockers to get to him on screens needs to play with better  want to  and urgency durability is a strong concern with three major knee
injuries  suffered a torn ACL and meniscus  December 2013  as a junior in high school  tore the same meniscus as a senior in high school in the season finale
 November 2014   suffered an injury to the opposite knee  August 2015  and required surgery  missed one game as a junior at Auburn with a shoulder injury  October
2018  ",jamel dean,jamel dean-CB,34918.0,jamel dean,CB,0.07147730232997068,impressively built position outstanding length accelerates well find top speed quickly maintains speed vertically lose foot race patient foot press look smooth reverse stay attached top route alertly us sideline pin receiver crowd passing window soft hand take advantage pass thrown direction physical hitter run game bringing hip graduated degree liberal art may made sec academic honor roll past two year made play gunner special team coverage,speedy play explosive look press soft punch receiver shake connects owns impulsive reaction grab downfield attract yellow laundry play powerful look easily removed blocker need aggressive downhill often waiting blocker get screen need play better want urgency durability strong concern three major knee injury suffered torn acl meniscus december junior high school tore meniscus senior high school season finale november suffered injury opposite knee august required surgery missed one game junior auburn shoulder injury october,impressively built position outstanding length accelerates well find top speed quickly maintains speed vertically lose foot race patient foot press look smooth reverse stay attached top route alertly us sideline pin receiver crowd passing window soft hand take advantage pass thrown direction physical hitter run game bringing hip graduated degree liberal art may made sec academic honor roll past two year made play gunner special team coverage speedy play explosive look press soft punch receiver shake connects owns impulsive reaction grab downfield attract yellow laundry play powerful look easily removed blocker need aggressive downhill often waiting blocker get screen need play better want urgency durability strong concern three major knee injury suffered torn acl meniscus december junior high school tore meniscus senior high school season finale november suffered injury opposite knee august required surgery missed one game junior auburn shoulder injury october,"{'neg': 0.023, 'neu': 0.75, 'pos': 0.227, 'compound': 0.9666}","{'neg': 0.151, 'neu': 0.677, 'pos': 0.171, 'compound': 0.5284}","{'neg': 0.134, 'neu': 0.606, 'pos': 0.26, 'compound': 0.9666}",0.023,0.75,0.227,0.9666,0.151,0.677,0.171,0.5284,0.134,0.606,0.26,0.9666,marco wilson-CB,mark gilbert-CB,starling thomas-CB,cam taylorbritt-CB,jaylon johnson-CB,0.6361,0.623,0.5739,0.5109,0.4939,marco wilson-CB,-0.03919425212442337,mark gilbert-CB,0.0018827537364569996,starling thomas-CB,-0.01683596447085696,cam taylorbritt-CB,0.019272305765185876,jaylon johnson-CB,0.03274471686159688,2.8378,-0.0026082992229831707
