index,Column1,Name,Nic_year,Position,Strengths,Weaknesses,player_x,join_slug,player_id,player_y,position,WAR,strengths_processed,weaknesses_processed,combined_text,top_bigrams,similar_1_name,similar_1_score,similar_2_name,similar_2_score,similar_3_name,similar_3_score,similar_4_name,similar_4_score,similar_5_name,similar_5_score,join_slug_1,WAR_1,join_slug_2,WAR_2,join_slug_3,WAR_3,join_slug_4,WAR_4,join_slug_5,WAR_5,max_similarity,prediction
156,156.0,QUINNEN WILLIAMS,2019,DT,"Explosive get off to immediately reset the line of scrimmage controlled  cat like quickness to win off the snap  redirect or close in short areas lateral
agility and clean weight transfer as a pass rusher uses a variety of swipes  rips and club moves to break the rhythm of blockers naturally powerful and creates surge
with his upper body produces knockback and steers blockers where he wants uniquely skilled at keeping blockers off him  using hand tactics and length holds the
point of attack and doesn t get moved understands gap leverage and how to exploit it comfortable two gapping and handling double teams above average ball
awareness sees through blocks and reacts to the ball  not the blocking scheme accountable and  exemplifies all the things I talk about  on and off the field 
according to Alabama head coach Nick Saban works his tail off and owns a genuine love for the game All American 2018 season 
 135 ","Doughy body type and would benefit from added bulk only average arm length occasionally finds himself out of control mid rush  leading to missed
tackles only one season of production at the college level ",quinnen williams,quinnen williams-DT,44216.0,quinnen williams,DT,0.02796430807327108,explosive get immediately reset line scrimmage controlled cat like quickness win snap redirect close short area lateral agility clean weight transfer pas rusher us variety swipe rip club move break rhythm blocker naturally powerful creates surge upper body produce knockback steer blocker want uniquely skilled keeping blocker using hand tactic length hold point attack get moved understands gap leverage exploit comfortable two gapping handling double team average ball awareness see block reacts ball blocking scheme accountable exemplifies thing talk field according alabama head coach nick saban work tail owns genuine love game american season,doughy body type would benefit added bulk average arm length occasionally find control mid rush leading missed tackle one season production college level,explosive get immediately reset line scrimmage controlled cat like quickness win snap redirect close short area lateral agility clean weight transfer pas rusher us variety swipe rip club move break rhythm blocker naturally powerful creates surge upper body produce knockback steer blocker want uniquely skilled keeping blocker using hand tactic length hold point attack get moved understands gap leverage exploit comfortable two gapping handling double team average ball awareness see block reacts ball blocking scheme accountable exemplifies thing talk field according alabama head coach nick saban work tail owns genuine love game american season doughy body type would benefit added bulk average arm length occasionally find control mid rush leading missed tackle one season production college level,"['arm length', 'average arm', 'ball awareness', 'blocker want', 'blocking scheme', 'body type', 'club move', 'coach nick', 'college level', 'double team']",leki fotu-DT,0.5812,neville gallimore-DT,0.5394,tyler shelvin-DT,0.532,travis jones-DT,0.5165,siaki ika-DT,0.5018,leki fotu-DT,-0.02338441445333421,neville gallimore-DT,-0.014784700426130608,tyler shelvin-DT,-0.003240446187600088,travis jones-DT,0.006439483593393305,siaki ika-DT,-0.006215118477110455,2.6709000000000005,-0.00864224030767244
157,157.0,ED OLIVER,2019,DT,"Fluid body control to wriggle off blocks excellent foot quickness and change of direction skills shot out of a cannon with his first step forces holding
penalties due to his gap quickness creates knockback with his speed to power skills ball awareness to track through blocks uses natural leverage to stay
underneath the pads of blockers better than expected play strength as a run defender highly aggressive motor and effort never wanes  chasing down plays near the
sidelines dominated from the moment he stepped onto campus and leaves as a three time All American  collecting 54 0 tackles for loss over 33 career starts ","Lacks desired frame and length needs to continue and develop his body and stay in the 280 285 pound range  weighed 274 for most of his final
season at Houston  relied more on motor than brute power to overwhelm blockers in college not a bull rusher undeveloped approach with his hands belowaverage counter measures once locked up faced inferior competition in the AAC several immature moments in college  including an on field altercation with head
coach Major Applewhite regarding a coat issue on the sideline   Oliver has a  young attitude  and has  growing up to do   according to an NFL scout missed five
games as a junior with a right knee bruise  November 2018  and was limited at the combine with a strained hamstring  February 2019  ",ed oliver,ed oliver-DT,42200.0,ed oliver,DT,0.009273393532866627,fluid body control wriggle block excellent foot quickness change direction skill shot cannon first step force holding penalty due gap quickness creates knockback speed power skill ball awareness track block us natural leverage stay underneath pad blocker better expected play strength run defender highly aggressive motor effort never wane chasing play near sideline dominated moment stepped onto campus leaf three time american collecting tackle loss career start,lack desired frame length need continue develop body stay pound range weighed final season houston relied motor brute power overwhelm blocker college bull rusher undeveloped approach hand belowaverage counter measure locked faced inferior competition aac several immature moment college including field altercation head coach major applewhite regarding coat issue sideline oliver young attitude growing according nfl scout missed five game junior right knee bruise november limited combine strained hamstring february,fluid body control wriggle block excellent foot quickness change direction skill shot cannon first step force holding penalty due gap quickness creates knockback speed power skill ball awareness track block us natural leverage stay underneath pad blocker better expected play strength run defender highly aggressive motor effort never wane chasing play near sideline dominated moment stepped onto campus leaf three time american collecting tackle loss career start lack desired frame length need continue develop body stay pound range weighed final season houston relied motor brute power overwhelm blocker college bull rusher undeveloped approach hand belowaverage counter measure locked faced inferior competition aac several immature moment college including field altercation head coach major applewhite regarding coat issue sideline oliver young attitude growing according nfl scout missed five game junior right knee bruise november limited combine strained hamstring february,"['ball awareness', 'better expected', 'body control', 'body stay', 'bull rusher', 'career start', 'change direction', 'chasing play', 'counter measure', 'creates knockback']",armon watts-DT,0.5018,demarvin leal-DT,0.5015,bobby brown-DT,0.4814,calijah kancey-DT,0.4625,forrest merrill-DT,0.3716,armon watts-DT,-0.00901081798552639,demarvin leal-DT,-0.05,bobby brown-DT,-0.0038501885767739615,calijah kancey-DT,-0.005207659092429815,forrest merrill-DT,-0.003095016634078651,2.3188,-0.015097791856765803
158,158.0,CHRISTIAN WILKINS,2019,DT,"Initial quickness to live in the opponent s backfield flexible hips and joints  contorting his good sized frame and staying balanced through gaps fluid
redirection in pursuit with the chase speed to track down ballcarriers plays underneath blocks and keeps his lower body working to grind out movement gap
quickness helps clog things up in the run game recognition skills reflect his experience well versed on special teams coverages scored three touchdowns  two
rushing  one receiving  on offense two time team captain with the type of work ethic and intangibles that are  up there with Deshaun  Watson  since we ve been
here   according to a Clemson assistant coach graduated with a degree in communications  December 2017   becoming the first scholarship player in school history
to graduate in two and a half years his 59 career games played is tied for the most in school history ","Lacks ideal length and point of attack power inconsistent shed technique and timing can be bullied in the run game inconsistent base strength and
can be displaced by blockers  especially when his pads rise doesn t always replace his hands on his get off  stalling his pass rush always looking for an edge  but
developed a reputation for being a borderline dirty player due to questionable hits older prospect and will turn 24 during his NFL rookie season ",christian wilkins,christian wilkins-DT,50293.0,christian wilkins,DT,0.017053419626370664,initial quickness live opponent backfield flexible hip joint contorting good sized frame staying balanced gap fluid redirection pursuit chase speed track ballcarriers play underneath block keep lower body working grind movement gap quickness help clog thing run game recognition skill reflect experience well versed special team coverage scored three touchdown two rushing one receiving offense two time team captain type work ethic intangible deshaun watson since according clemson assistant coach graduated degree communication december becoming first scholarship player school history graduate two half year career game played tied school history,lack ideal length point attack power inconsistent shed technique timing bullied run game inconsistent base strength displaced blocker especially pad rise always replace hand get stalling pas rush always looking edge developed reputation borderline dirty player due questionable hit older prospect turn nfl rookie season,initial quickness live opponent backfield flexible hip joint contorting good sized frame staying balanced gap fluid redirection pursuit chase speed track ballcarriers play underneath block keep lower body working grind movement gap quickness help clog thing run game recognition skill reflect experience well versed special team coverage scored three touchdown two rushing one receiving offense two time team captain type work ethic intangible deshaun watson since according clemson assistant coach graduated degree communication december becoming first scholarship player school history graduate two half year career game played tied school history lack ideal length point attack power inconsistent shed technique timing bullied run game inconsistent base strength displaced blocker especially pad rise always replace hand get stalling pas rush always looking edge developed reputation borderline dirty player due questionable hit older prospect turn nfl rookie season,"['run game', 'school history', 'always looking', 'base strength', 'career game', 'dirty player', 'game played', 'chase speed', 'coach graduated', 'graduated degree']",dremont jones-DT,0.4674,eyioma uwazurike-DT,0.3741,karl brooks-DT,0.3542,matthew butler-DT,0.3347,byron murphy-DT,0.3218,dremont jones-DT,0.010779742054032175,eyioma uwazurike-DT,-0.002063148001031866,karl brooks-DT,-0.0030717992100878716,matthew butler-DT,-0.0031260471063502084,byron murphy-DT,-0.0054663926997396035,1.8521999999999998,0.00020150272723457193
159,159.0,JERRY TILLERY,2019,DT,"Long  athletic frame moves well for a big man with lateral quickness  hip snap and flexibility to redirect in a blink active on stunts and quick to close 
eating up grass with his long strides uses his length to detach from blocks strong hands to swat  slap and pry his way through gaps creates immediate movement
with his initial surge and forward lean into blockers long legs allow him to spring laterally between gaps huge wingspan to corral inside runners flashes impressive
effort to chase down ballcarriers 30 yards downfield two blocked kicks in 2018 graduated with a degree in economics  May 2018  ","Tall center of gravity  allowing shifty runners to shake him in the hole upright rusher and strikes too high with his arm moves aimless pass rusher and
finds himself upfield behind the quarterback balance issues when his base narrows large target and easily moved on down blocks attracted the  dirty player  label
as an underclassman  see 2016 USC tape  NFL scouts question where football shows up on his priority list and how his makeup will mesh in the NFL suspended for
the 2015 bowl game for a violation of team rules missed time during 2018 spring practice with a concussion  suffered a left elbow sprain  October 2015   played
through a torn right labrum  September 2018  as a senior  requiring off season surgery  March 2019  ",jerry tillery,jerry tillery-DT,49949.0,jerry tillery,DT,-0.03243443615946702,long athletic frame move well big man lateral quickness hip snap flexibility redirect blink active stunt quick close eating grass long stride us length detach block strong hand swat slap pry way gap creates immediate movement initial surge forward lean blocker long leg allow spring laterally gap huge wingspan corral inside runner flash impressive effort chase ballcarriers yard downfield two blocked kick graduated degree economics may,tall center gravity allowing shifty runner shake hole upright rusher strike high arm move aimless pas rusher find upfield behind quarterback balance issue base narrow large target easily moved block attracted dirty player label underclassman see usc tape nfl scout question football show priority list makeup mesh nfl suspended bowl game violation team rule missed time spring practice concussion suffered left elbow sprain october played torn right labrum september senior requiring season surgery march,long athletic frame move well big man lateral quickness hip snap flexibility redirect blink active stunt quick close eating grass long stride us length detach block strong hand swat slap pry way gap creates immediate movement initial surge forward lean blocker long leg allow spring laterally gap huge wingspan corral inside runner flash impressive effort chase ballcarriers yard downfield two blocked kick graduated degree economics may tall center gravity allowing shifty runner shake hole upright rusher strike high arm move aimless pas rusher find upfield behind quarterback balance issue base narrow large target easily moved block attracted dirty player label underclassman see usc tape nfl scout question football show priority list makeup mesh nfl suspended bowl game violation team rule missed time spring practice concussion suffered left elbow sprain october played torn right labrum september senior requiring season surgery march,"['arm move', 'athletic frame', 'base narrow', 'big man', 'blocked kick', 'bowl game', 'center gravity', 'detach block', 'dirty player', 'easily moved']",benito jones-DT,0.4883,marlon tuipulotu-DT,0.4854,marquan mccall-DT,0.4435,tvondre sweat-DT,0.4366,khyiris tonga-DT,0.3913,benito jones-DT,-0.014778539471399298,marlon tuipulotu-DT,-0.008536017226227311,marquan mccall-DT,-0.007925509828241067,tvondre sweat-DT,0.00980153476009828,khyiris tonga-DT,0.0005138275963833365,2.2451,-0.004629769889802779
160,160.0,DEXTER LAWRENCE,2019,DT,"Broad shouldered  filled out frame smoothly carries his proportionate weight and doesn t look or move overweight outstanding raw power to anchor 
absorb and stay off the ground controls the point of attack to create 12 car pile ups on inside run plays naturally balanced to work off contact controls his
momentum well to redirect  break down and finish flashes the flexible hips to work tight spaces can move blockers when he has a step of momentum hits like a
bulldozer plays through injuries and started double digit games each of his three seasons ","Undeveloped pass rusher doesn t consistently use bully tactics and his bark is worse than his bite allows his pads to rise at contact and would benefit
from better roll and leverage in his straight line rush attempts prefers to rip instead of push  but doesn t routinely displace or toss single blockers below average
backfield vision wears down easily and leans on blocks secondary measures are absent once his initial move is halted his best production came during his true
freshman season underwent toe surgery during the 2017 offseason  which caused a  nerve block  and lost feeling in his leg  forcing him to play  about 45 50  
during the 2017 season suspended for the 2018 Cotton Bowl and the national title game after he tested positive for ostarine  a banned performance enhancing
drug ",dexter lawrence,dexter lawrence-DT,25991.0,dexter lawrence,DT,0.04764088288938845,broad shouldered filled frame smoothly carry proportionate weight look move overweight outstanding raw power anchor absorb stay ground control point attack create car pile ups inside run play naturally balanced work contact control momentum well redirect break finish flash flexible hip work tight space move blocker step momentum hit like bulldozer play injury started double digit game three season,undeveloped pas rusher consistently use bully tactic bark worse bite allows pad rise contact would benefit better roll leverage straight line rush attempt prefers rip instead push routinely displace toss single blocker average backfield vision wear easily lean block secondary measure absent initial move halted best production came true freshman season underwent toe surgery offseason caused nerve block lost feeling leg forcing play season suspended cotton bowl national title game tested positive ostarine banned performance enhancing drug,broad shouldered filled frame smoothly carry proportionate weight look move overweight outstanding raw power anchor absorb stay ground control point attack create car pile ups inside run play naturally balanced work contact control momentum well redirect break finish flash flexible hip work tight space move blocker step momentum hit like bulldozer play injury started double digit game three season undeveloped pas rusher consistently use bully tactic bark worse bite allows pad rise contact would benefit better roll leverage straight line rush attempt prefers rip instead push routinely displace toss single blocker average backfield vision wear easily lean block secondary measure absent initial move halted best production came true freshman season underwent toe surgery offseason caused nerve block lost feeling leg forcing play season suspended cotton bowl national title game tested positive ostarine banned performance enhancing drug,"['average backfield', 'backfield vision', 'best production', 'control point', 'digit game', 'double digit', 'filled frame', 'game three', 'initial move', 'move halted']",tyler shelvin-DT,0.469,raequan williams-DT,0.4139,neil farrell-DT,0.3777,javon kinlaw-DT,0.3654,leki fotu-DT,0.3435,tyler shelvin-DT,-0.003240446187600088,raequan williams-DT,-0.0042286029580704074,neil farrell-DT,-0.004687096839903032,javon kinlaw-DT,-0.010368894922977056,leki fotu-DT,-0.02338441445333421,1.9695,-0.008561383636627203
161,161.0,DREMONT JONES,2019,DT,"Nimble  loose hipped athlete initial and lateral quickness pop off the screen shifty feet  making him a moving target and tough to contain elite closing
speed and uncanny pursuit skills for the position quick  aggressive hands reach to swim  swipe  snatch and create spacing flashes power in his upper body to fend
off blockers first defensive lineman in school history with two defensive scores in a single season  interception return and fumble recovery in 2018  graduated with
a degree in sociology  December 2018  ","Tweener frame with a lean lower body too easily moved in the run game due to his narrow base and marginal anchor strength pads rise too quickly
at contact doesn t respond well vs  doubles inconsistent gap discipline because of his desire to make plays needs to improve his counter measures when his first
move doesn t work mediocre production with single digit sacks over 37 career starts tore the ACL in his right knee  March 2015  playing high school basketball 
missed two games after playing around in the locker room and lacerating his left leg on a nail  requiring stitches  September 2017  ",dremont jones,dremont jones-DT,28075.0,dremont jones,DT,0.010779742054032175,nimble loose hipped athlete initial lateral quickness pop screen shifty foot making moving target tough contain elite closing speed uncanny pursuit skill position quick aggressive hand reach swim swipe snatch create spacing flash power upper body fend blocker first defensive lineman school history two defensive score single season interception return fumble recovery graduated degree sociology december,tweener frame lean lower body easily moved run game due narrow base marginal anchor strength pad rise quickly contact respond well double inconsistent gap discipline desire make play need improve counter measure first move work mediocre production single digit sack career start tore acl right knee march playing high school basketball missed two game playing around locker room lacerating left leg nail requiring stitch september,nimble loose hipped athlete initial lateral quickness pop screen shifty foot making moving target tough contain elite closing speed uncanny pursuit skill position quick aggressive hand reach swim swipe snatch create spacing flash power upper body fend blocker first defensive lineman school history two defensive score single season interception return fumble recovery graduated degree sociology december tweener frame lean lower body easily moved run game due narrow base marginal anchor strength pad rise quickly contact respond well double inconsistent gap discipline desire make play need improve counter measure first move work mediocre production single digit sack career start tore acl right knee march playing high school basketball missed two game playing around locker room lacerating left leg nail requiring stitch september,"['aggressive hand', 'anchor strength', 'career start', 'closing speed', 'counter measure', 'defensive lineman', 'digit sack', 'easily moved', 'flash power', 'game due']",christian wilkins-DT,0.4674,byron murphy-DT,0.3857,dontavius russell-DT,0.3754,michael dogbe-DT,0.3267,jerrod clark-DT,0.3202,christian wilkins-DT,0.017053419626370664,byron murphy-DT,-0.0054663926997396035,dontavius russell-DT,-0.004004187993919655,michael dogbe-DT,-0.006972040887796422,jerrod clark-DT,-0.05,1.8754,-0.007426979450722217
162,162.0,RENELL WREN,2019,DT,"Looks like an NFL player with his filled out frame and long arms powerful shoulders and upper body to punch  lock out and stack blocks stays on his
feet with smooth lateral quickness improved backfield vision to track and always be in the vicinity effort and range are prevalent on film  making plays away from
the line of scrimmage added 50  pounds since arriving as a 245 pound freshman ","Long legged frame and plays upright struggles to sink and establish his base too easily moved from the hole spends too much time hand fighting
without going anywhere unimaginative pass rush moves inefficient hands and still connecting the dots after his initial movements bad habit of turning his
shoulder once engaged  getting redirected in the run game plays with hustle  but mean streak tends to come and go unimpressive starting experience and career
production ",renell wren,renell wren-DT,48953.0,renell wren,DT,-0.0031779775642520654,look like nfl player filled frame long arm powerful shoulder upper body punch lock stack block stay foot smooth lateral quickness improved backfield vision track always vicinity effort range prevalent film making play away line scrimmage added pound since arriving pound freshman,long legged frame play upright struggle sink establish base easily moved hole spends much time hand fighting without going anywhere unimaginative pas rush move inefficient hand still connecting dot initial movement bad habit turning shoulder engaged getting redirected run game play hustle mean streak tends come unimpressive starting experience career production,look like nfl player filled frame long arm powerful shoulder upper body punch lock stack block stay foot smooth lateral quickness improved backfield vision track always vicinity effort range prevalent film making play away line scrimmage added pound since arriving pound freshman long legged frame play upright struggle sink establish base easily moved hole spends much time hand fighting without going anywhere unimaginative pas rush move inefficient hand still connecting dot initial movement bad habit turning shoulder engaged getting redirected run game play hustle mean streak tends come unimpressive starting experience career production,"['added pound', 'away line', 'backfield vision', 'bad habit', 'block stay', 'career production', 'easily moved', 'fighting without', 'filled frame', 'frame long']",jaquelin roy-DT,0.509,eric johnson-DT,0.5085,jayden peevy-DT,0.4727,osa odighizuwa-DT,0.4648,jordan elliott-DT,0.3712,jaquelin roy-DT,-0.0038917234561541333,eric johnson-DT,-0.01149816893690808,jayden peevy-DT,-0.0008327812616861288,osa odighizuwa-DT,0.01623956403255134,jordan elliott-DT,-0.02491686712847222,2.3262,-0.004265477414563782
163,163.0,TRYSTEN HILL,2019,DT,"Pounces off the snap with explosive get off moves with the feet of a linebacker easy lateral movements with the lower body twitch to spring in any
direction comfortable playing tilted due to his hip action to turn himself in the hole active hands and efficient spin move violent hand swipe to create an inside
path converts his first step momentum to power  playing with violence on field effort is exceptional  routinely making plays away from the line of
scrimmage experienced playing all over the defensive line 
 140 ","Too willing to sacrifice his balance  ending up on the ground relies more on gap quickness than rush construction lacks an efficient pass rush
sequence with underdeveloped counters bends well at the knees to play low  but too often abandons his leverage average punch and hand strength bad habit of
taking on contact with his shoulder  not his hands overaggressive nature will make it difficult for him to break down in small spaces NFL scouts have questioned his
emotional maturity butted heads with the new UCF coaching staff  losing his starting spot in 2018 ",trysten hill,trysten hill-DT,44519.0,trysten hill,DT,-0.004158639874985802,pounce snap explosive get move foot linebacker easy lateral movement lower body twitch spring direction comfortable playing tilted due hip action turn hole active hand efficient spin move violent hand swipe create inside path convert first step momentum power playing violence field effort exceptional routinely making play away line scrimmage experienced playing defensive line,willing sacrifice balance ending ground relies gap quickness rush construction lack efficient pas rush sequence underdeveloped counter bend well knee play low often abandon leverage average punch hand strength bad habit taking contact shoulder hand overaggressive nature make difficult break small space nfl scout questioned emotional maturity butted head new ucf coaching staff losing starting spot,pounce snap explosive get move foot linebacker easy lateral movement lower body twitch spring direction comfortable playing tilted due hip action turn hole active hand efficient spin move violent hand swipe create inside path convert first step momentum power playing violence field effort exceptional routinely making play away line scrimmage experienced playing defensive line willing sacrifice balance ending ground relies gap quickness rush construction lack efficient pas rush sequence underdeveloped counter bend well knee play low often abandon leverage average punch hand strength bad habit taking contact shoulder hand overaggressive nature make difficult break small space nfl scout questioned emotional maturity butted head new ucf coaching staff losing starting spot,"['active hand', 'away line', 'bad habit', 'break small', 'coaching staff', 'defensive line', 'efficient pas', 'ending ground', 'experienced playing', 'explosive get']",jayden peevy-DT,0.4206,darrion daniels-DT,0.4189,armon watts-DT,0.4015,jaquelin roy-DT,0.3404,cameron young-DT,0.3346,jayden peevy-DT,-0.0008327812616861288,darrion daniels-DT,-0.004772244984991418,armon watts-DT,-0.00901081798552639,jaquelin roy-DT,-0.0038917234561541333,cameron young-DT,-0.0022546997725789676,1.916,-0.004199566728834409
164,164.0,DANIEL WISE,2019,DT,"Quick off the ball to knife through gaps and disrupt the backfield action looks comfortable on his feet when dropping and taking away screens best
pass rush move is a long arm into the blocker competes with aggressive hands stout at the point of attack to stack the run plays with consistent effort and won t
take plays off two year team captain work ethic was instilled in him at a young age four year starter and well versed up and down the line of scrimmage  lining up
both inside and outside on the defensive line ","Tweener body type good snap quickness  but doesn t play with burst lacks the contact balance or play strength to power through arm blocks at the
line of scrimmage not going to win in a phone booth doesn t generate a consistent push as a pass rusher pads get too high  allowing blockers to turn him from run
lanes needs continued development with his play recognition and gap discipline production declined from his junior to senior season ",daniel wise,daniel wise-DT,,,,-0.05,quick ball knife gap disrupt backfield action look comfortable foot dropping taking away screen best pas rush move long arm blocker competes aggressive hand stout point attack stack run play consistent effort take play two year team captain work ethic instilled young age four year starter well versed line scrimmage lining inside outside defensive line,tweener body type good snap quickness play burst lack contact balance play strength power arm block line scrimmage going win phone booth generate consistent push pas rusher pad get high allowing blocker turn run lane need continued development play recognition gap discipline production declined junior senior season,quick ball knife gap disrupt backfield action look comfortable foot dropping taking away screen best pas rush move long arm blocker competes aggressive hand stout point attack stack run play consistent effort take play two year team captain work ethic instilled young age four year starter well versed line scrimmage lining inside outside defensive line tweener body type good snap quickness play burst lack contact balance play strength power arm block line scrimmage going win phone booth generate consistent push pas rusher pad get high allowing blocker turn run lane need continued development play recognition gap discipline production declined junior senior season,"['line scrimmage', 'aggressive hand', 'backfield action', 'allowing blocker', 'body type', 'consistent effort', 'contact balance', 'balance play', 'defensive line', 'four year']",michael dogbe-DT,0.5156,kobie turner-DT,0.5041,otito ogbonnia-DT,0.504,zacch pickens-DT,0.4603,josiah coatney-DT,0.4584,michael dogbe-DT,-0.006972040887796422,kobie turner-DT,0.03379016556354643,otito ogbonnia-DT,-0.016280523984210402,zacch pickens-DT,-0.009443631879273148,josiah coatney-DT,-0.0025465777927019782,2.4423999999999997,-0.00011496926114073835
165,165.0,ISAIAH BUGGS,2019,DT,"Athletic big man with compact build balanced feet to loop and work around bodies fluid hips and body control to squirt through gaps stays low out of
his stance with high knees to create force active hands and powers his way through the shoulder of blockers keeps his upper and lower body mechanics on the
same page natural contact balance to work down the line of scrimmage teammates call him the  energy starter  and not shy speaking up and being a leader when
necessary graduated with his bachelor s degree  December 2018  experienced playing inside and outside the offensive tackle ","T rex arms and can be neutralized when strong armed blockers attack his frame struggles to anchor vs  multiple blockers needs to set a harder
edge only average outside range vs  the run and will give up boundary plays leans into blockers longer than necessary and relies too much on his shoulder doesn t
show much deception in his pass rush sequence instincts are still a work in progress ",isaiah buggs,isaiah buggs-DT,56503.0,isaiah buggs,DT,-0.004529519865918782,athletic big man compact build balanced foot loop work around body fluid hip body control squirt gap stay low stance high knee create force active hand power way shoulder blocker keep upper lower body mechanic page natural contact balance work line scrimmage teammate call energy starter shy speaking leader necessary graduated bachelor degree december experienced playing inside outside offensive tackle,rex arm neutralized strong armed blocker attack frame struggle anchor multiple blocker need set harder edge average outside range run give boundary play lean blocker longer necessary relies much shoulder show much deception pas rush sequence instinct still work progress,athletic big man compact build balanced foot loop work around body fluid hip body control squirt gap stay low stance high knee create force active hand power way shoulder blocker keep upper lower body mechanic page natural contact balance work line scrimmage teammate call energy starter shy speaking leader necessary graduated bachelor degree december experienced playing inside outside offensive tackle rex arm neutralized strong armed blocker attack frame struggle anchor multiple blocker need set harder edge average outside range run give boundary play lean blocker longer necessary relies much shoulder show much deception pas rush sequence instinct still work progress,"['active hand', 'armed blocker', 'athletic big', 'big man', 'blocker need', 'body control', 'contact balance', 'experienced playing', 'inside outside', 'instinct still']",john ridgeway-DT,0.4234,michael dogbe-DT,0.4105,byron cowart-DT,0.3839,john penisini-DT,0.3378,daniel wise-DT,0.3338,john ridgeway-DT,-0.013570931725411987,michael dogbe-DT,-0.006972040887796422,byron cowart-DT,-0.010967297020831799,john penisini-DT,-0.013429345035099186,daniel wise-DT,-0.05,1.8894000000000002,-0.01801880668790817
