Column1,Name,Nic_year,Position,Strengths,Weaknesses,player_x,join_slug,player_id,player_y,position,WAR,strengths_processed,weaknesses_processed,combined_text,strengths_sentiment,weaknesses_sentiment,combined_sentiment,strengths_neg,strengths_neu,strengths_pos,strengths_compound,weaknesses_neg,weaknesses_neu,weaknesses_pos,weaknesses_compound,combined_neg,combined_neu,combined_pos,combined_compound,similar_1_name,similar_2_name,similar_3_name,similar_4_name,similar_5_name,similar_1_score,similar_2_score,similar_3_score,similar_4_score,similar_5_score,join_slug_1,WAR_1,join_slug_2,WAR_2,join_slug_3,WAR_3,join_slug_4,WAR_4,join_slug_5,WAR_5,max_similarity,prediction
130.0,NICK BOSA,2019,EDGE,"Launches low and balanced out of his stance gains considerable ground with first step  immediately putting blockers on their heels enough bend to
run the hoop coordinated weight transfer with his loose hips and lateral quicks diverse  well timed hand tactics aggressive rush attack  but more importantly there
is nuance to his hand sequence outstanding play violence to work his way through bodies heavy hands to stack and set the edge vs  power matured  limber body
type tough minded and has no trouble doing the dirty work close knit football bloodlines and an NFL locker room will be a natural fit for his personality productive
when on the field with 29 0 tackles for loss and 17 5 sacks in 30 career games ","Prefers to use forward lean mid rush  occasionally ending up on the ground lacks sudden redirection skills outside of his pass rush and can be a tick
late reacting to backfield misdirection doesn t have the core strength to bully in the run game and tight ends can catch him off guard  putting him on his
back troubling injury history as he tried to push through groin and abdomen issues during the first three games of 2018 before re aggravating those injuries vs  TCU
 September 2018   requiring season ending bilateral abdominal surgery  he suffered a  slight ACL tear  in his right knee  November 2015  as a senior in high school
and required surgery  which prematurely ended his high school career  the injury history of his father and older brother will be weighed differently by each club ",nick bosa,nick bosa-EDGE,42741.0,nick bosa,EDGE,0.07343600565361852,launch low balanced stance gain considerable ground first step immediately putting blocker heel enough bend run hoop coordinated weight transfer loose hip lateral quick diverse well timed hand tactic aggressive rush attack importantly nuance hand sequence outstanding play violence work way body heavy hand stack set edge power matured limber body type tough minded trouble dirty work close knit football bloodline nfl locker room natural fit personality productive field tackle loss sack career game,prefers use forward lean mid rush occasionally ending ground lack sudden redirection skill outside pas rush tick late reacting backfield misdirection core strength bully run game tight end catch guard putting back troubling injury history tried push groin abdomen issue first three game aggravating injury tcu september requiring season ending bilateral abdominal surgery suffered slight acl tear right knee november senior high school required surgery prematurely ended high school career injury history father older brother weighed differently club,launch low balanced stance gain considerable ground first step immediately putting blocker heel enough bend run hoop coordinated weight transfer loose hip lateral quick diverse well timed hand tactic aggressive rush attack importantly nuance hand sequence outstanding play violence work way body heavy hand stack set edge power matured limber body type tough minded trouble dirty work close knit football bloodline nfl locker room natural fit personality productive field tackle loss sack career game prefers use forward lean mid rush occasionally ending ground lack sudden redirection skill outside pas rush tick late reacting backfield misdirection core strength bully run game tight end catch guard putting back troubling injury history tried push groin abdomen issue first three game aggravating injury tcu september requiring season ending bilateral abdominal surgery suffered slight acl tear right knee november senior high school required surgery prematurely ended high school career injury history father older brother weighed differently club,"{'neg': 0.173, 'neu': 0.646, 'pos': 0.18, 'compound': 0.4659}","{'neg': 0.121, 'neu': 0.857, 'pos': 0.022, 'compound': -0.926}","{'neg': 0.224, 'neu': 0.616, 'pos': 0.159, 'compound': -0.8789}",0.173,0.646,0.18,0.4659,0.121,0.857,0.022,-0.926,0.224,0.616,0.159,-0.8789,christopher allen-EDGE,brennan jackson-EDGE,porter gustin-EDGE,daelin hayes-EDGE,habakkuk baldonado-EDGE,0.6145,0.4005,0.3962,0.3786,0.3641,christopher allen-EDGE,-0.05,brennan jackson-EDGE,-0.0009654506281731535,porter gustin-EDGE,-0.00952384106870401,daelin hayes-EDGE,-0.0005448251055830973,habakkuk baldonado-EDGE,-0.05,2.1539,-0.02474408263753082
131.0,JOSH ALLEN,2019,EDGE,"Excellent first step to win the corner with a simple speed rush expanded his pass rush repertoire each season at Kentucky long armed frame with a
large wingspan and developed muscle tone  added 50 plus pounds since arriving at Kentucky  including 20 pounds between his junior and senior seasons  forces
holding penalties with his ability to work through the shoulder of blockers plays with closing burst to close the gap in pursuit loose athlete in space stays stridefor stride with backs and tight ends in coverage intelligent  alert player to see plays develop pre snap voted a team captain in 2018 performance doesn t fall off
late in games  13 of his 17 sacks in 2018 came in the second half  holds the school records for sacks in a single season  17 0  and career  31 5    his career sack total
ranks ninth best in SEC history  just a half sack behind Reggie White  32  he is tied with Danny Trevathan for the school record in career forced fumbles  11  ","Not heavy handed at the point of attack late to disengage from offensive linemen once locked up pass rush moves tend to be predictable based on
situation plays loose  but lacks twitch when quickly changing direction needs to improve his contain responsibilities vs  the run better cover athleticism than cover
instincts  especially with his back to the ball ",josh allen,josh allen-EDGE,50235.0,josh allen,EDGE,0.031248082152395766,excellent first step win corner simple speed rush expanded pas rush repertoire season kentucky long armed frame large wingspan developed muscle tone added plus pound since arriving kentucky including pound junior senior season force holding penalty ability work shoulder blocker play closing burst close gap pursuit loose athlete space stay stridefor stride back tight end coverage intelligent alert player see play develop pre snap voted team captain performance fall late game sack came second half hold school record sack single season career career sack total rank ninth best sec history half sack behind reggie white tied danny trevathan school record career forced fumble,heavy handed point attack late disengage offensive linemen locked pas rush move tend predictable based situation play loose lack twitch quickly changing direction need improve contain responsibility run better cover athleticism cover instinct especially back ball,excellent first step win corner simple speed rush expanded pas rush repertoire season kentucky long armed frame large wingspan developed muscle tone added plus pound since arriving kentucky including pound junior senior season force holding penalty ability work shoulder blocker play closing burst close gap pursuit loose athlete space stay stridefor stride back tight end coverage intelligent alert player see play develop pre snap voted team captain performance fall late game sack came second half hold school record sack single season career career sack total rank ninth best sec history half sack behind reggie white tied danny trevathan school record career forced fumble heavy handed point attack late disengage offensive linemen locked pas rush move tend predictable based situation play loose lack twitch quickly changing direction need improve contain responsibility run better cover athleticism cover instinct especially back ball,"{'neg': 0.036, 'neu': 0.836, 'pos': 0.128, 'compound': 0.9493}","{'neg': 0.085, 'neu': 0.777, 'pos': 0.138, 'compound': 0.6705}","{'neg': 0.11, 'neu': 0.703, 'pos': 0.187, 'compound': 0.9217}",0.036,0.836,0.128,0.9493,0.085,0.777,0.138,0.6705,0.11,0.703,0.187,0.9217,andre carter-EDGE,justin hollins-EDGE,dylan horton-EDGE,will mcdonald-EDGE,chase young-EDGE,0.5448,0.4516,0.4061,0.3811,0.3769,andre carter-EDGE,0.0016612909063013982,justin hollins-EDGE,-0.05,dylan horton-EDGE,-0.007709403025382289,will mcdonald-EDGE,0.00583713002906643,chase young-EDGE,0.02834163857432863,2.1605,-0.0055076248322671025
132.0,RASHAN GARY,2019,EDGE,"Gifted athlete for his size flashes the explosive quickness and light feet of a much smaller player flexible body type with oily hips to smoothly change
directions rare range plays with low  balanced pad level wins the corner with powerful strides violent hands and effective long arm move physical edge
setter uses his length to lock out  shed and pursue accustomed to dealing with chips  double teams and extra attention improved discipline to stay home and read
the quarterback competes with urgency wants to be a leader and not shy joking around or pushing teammates ","Undeveloped pass rush plan and doesn t set up his moves hand placement lacks refinement  with too much time hand fighting streaky snap
timing duck footed gait and too easily tripped up needs to lose some baby fat NFL scouts have concerns about his emotional maturity and ability to play with
composure inconsistent finisher with below average college production suffered several minor injuries his first two seasons in Ann Arbor  injured his right shoulder
prior to the 2018 season and tried to play through it  missing three games  October 2018  ",rashan gary,rashan gary-EDGE,42905.0,rashan gary,EDGE,0.028723394346630425,gifted athlete size flash explosive quickness light foot much smaller player flexible body type oily hip smoothly change direction rare range play low balanced pad level win corner powerful stride violent hand effective long arm move physical edge setter us length lock shed pursue accustomed dealing chip double team extra attention improved discipline stay home read quarterback competes urgency want leader shy joking around pushing teammate,undeveloped pas rush plan set move hand placement lack refinement much time hand fighting streaky snap timing duck footed gait easily tripped need lose baby fat nfl scout concern emotional maturity ability play composure inconsistent finisher average college production suffered several minor injury first two season ann arbor injured right shoulder prior season tried play missing three game october,gifted athlete size flash explosive quickness light foot much smaller player flexible body type oily hip smoothly change direction rare range play low balanced pad level win corner powerful stride violent hand effective long arm move physical edge setter us length lock shed pursue accustomed dealing chip double team extra attention improved discipline stay home read quarterback competes urgency want leader shy joking around pushing teammate undeveloped pas rush plan set move hand placement lack refinement much time hand fighting streaky snap timing duck footed gait easily tripped need lose baby fat nfl scout concern emotional maturity ability play composure inconsistent finisher average college production suffered several minor injury first two season ann arbor injured right shoulder prior season tried play missing three game october,"{'neg': 0.07, 'neu': 0.761, 'pos': 0.168, 'compound': 0.8649}","{'neg': 0.123, 'neu': 0.714, 'pos': 0.162, 'compound': 0.4939}","{'neg': 0.159, 'neu': 0.595, 'pos': 0.246, 'compound': 0.9118}",0.07,0.761,0.168,0.8649,0.123,0.714,0.162,0.4939,0.159,0.595,0.246,0.9118,yetur grossmatos-EDGE,eku leota-EDGE,curtis weaver-EDGE,alex wright-EDGE,tyreke smith-EDGE,0.5884,0.5408,0.5343,0.5225,0.507,yetur grossmatos-EDGE,-0.016488287394034688,eku leota-EDGE,-0.002486685354629416,curtis weaver-EDGE,-0.0002544472129712666,alex wright-EDGE,-0.008839487278156132,tyreke smith-EDGE,-0.0010374130282796155,2.693,-0.006062777347381541
133.0,CLELIN FERRELL,2019,EDGE,"Good looking on the hoof with long arms advanced hand use  displaying strong rip  chop and swipe moves times up the snap well with quick initial
movements understands depth and how to create rush lanes for himself lower and upper body mechanics stay on the same page effective spin and sets up inside
moves uses his length to set a hard edge and stay clean holds his ground vs  power disciplined eyes to read track the football  staying away from mistakes keeps
his head on a swivel and anticipates angle blocks consistent effort and plays through the whistle  making opposite hash stops named a 2018 team captain called a
 humble worker  by his coaches productive resume and started more games  44  than any other pass rusher in Clemson history  passing Levon Kirkland  43  ","Not naturally twitchy or explosive in his get off only average bend and cornering skills  causing his rush to stall thrives on jumping the snap  which
will lead to offsides penalties can be squeezed out of gaps by power lost outside contain more times than expected on tape didn t miss time the last three
seasons  but didn t play his senior year in high school due to a torn ACL in his right knee  August 2014   which also forced him to redshirt in 2015  didn t work out at
the pro day after re aggravating a right turf toe injury  March 2019  ",clelin ferrell,clelin ferrell-EDGE,25955.0,clelin ferrell,EDGE,0.00490428521138133,good looking hoof long arm advanced hand use displaying strong rip chop swipe move time snap well quick initial movement understands depth create rush lane lower upper body mechanic stay page effective spin set inside move us length set hard edge stay clean hold ground power disciplined eye read track football staying away mistake keep head swivel anticipates angle block consistent effort play whistle making opposite hash stop named team captain called humble worker coach productive resume started game pas rusher clemson history passing levon kirkland,naturally twitchy explosive get average bend cornering skill causing rush stall thrives jumping snap lead offside penalty squeezed gap power lost outside contain time expected tape miss time last three season play senior year high school due torn acl right knee august also forced redshirt work pro day aggravating right turf toe injury march,good looking hoof long arm advanced hand use displaying strong rip chop swipe move time snap well quick initial movement understands depth create rush lane lower upper body mechanic stay page effective spin set inside move us length set hard edge stay clean hold ground power disciplined eye read track football staying away mistake keep head swivel anticipates angle block consistent effort play whistle making opposite hash stop named team captain called humble worker coach productive resume started game pas rusher clemson history passing levon kirkland naturally twitchy explosive get average bend cornering skill causing rush stall thrives jumping snap lead offside penalty squeezed gap power lost outside contain time expected tape miss time last three season play senior year high school due torn acl right knee august also forced redshirt work pro day aggravating right turf toe injury march,"{'neg': 0.065, 'neu': 0.777, 'pos': 0.158, 'compound': 0.93}","{'neg': 0.157, 'neu': 0.815, 'pos': 0.028, 'compound': -0.9052}","{'neg': 0.172, 'neu': 0.676, 'pos': 0.151, 'compound': -0.1531}",0.065,0.777,0.158,0.93,0.157,0.815,0.028,-0.9052,0.172,0.676,0.151,-0.1531,laiatu latu-EDGE,xavier thomas-EDGE,zion tupuolafetui-EDGE,mika tafua-EDGE,austin bryant-EDGE,0.6658,0.5595,0.5354,0.5031,0.4778,laiatu latu-EDGE,0.012299726520567053,xavier thomas-EDGE,-0.009215381110594917,zion tupuolafetui-EDGE,-0.05,mika tafua-EDGE,-0.05,austin bryant-EDGE,-0.014302403381030079,2.7416,-0.02032591776679329
134.0,JACHAI POLITE,2019,EDGE,"Quick first step and hits top speed immediately explosive closing burst covers a lot of ground and competes with a revving motor fluid ankle flexion
and dip to run the hoop uses his explosive upper body  length and hands  to stun and maintain spacing with blockers expanded his bag of tricks as a pass rusher 
including an efficient spin and effective long arm nice job retracing his steps and chasing from the backside matured play recognition to sniff out screens and string
out runs knack for punching the ball out  becoming the fourth player in Florida history with at least eight career forced fumbles  FBS best six forced fumbles in
2018  comfortable spot dropping and playing in space non stop hustler and makes plays away from the line of scrimmage dropped 25 30 pounds prior to the 2018
season ","Lacks ideal bulk for a down lineman with some bad weight on his frame base strength concerns and can be moved in the run game spends too much
time hung up on blocks when his momentum is slowed needs to protect his lower body and stay on his feet bad habit of finding himself wide or past the
pocket wasn t an every down defender in college weight and conditioning require monitoring to keep him at his best multiple NFL scouts have expressed concern
regarding his personal character and overall maturity   he sat out the first series of the 2018 season opener for  failing to meet expectations  ",jachai polite,jachai polite-EDGE,44383.0,jachai polite,EDGE,-0.0020756096346448098,quick first step hit top speed immediately explosive closing burst cover lot ground competes revving motor fluid ankle flexion dip run hoop us explosive upper body length hand stun maintain spacing blocker expanded bag trick pas rusher including efficient spin effective long arm nice job retracing step chasing backside matured play recognition sniff screen string run knack punching ball becoming fourth player florida history least eight career forced fumble fbs best six forced fumble comfortable spot dropping playing space non stop hustler make play away line scrimmage dropped pound prior season,lack ideal bulk lineman bad weight frame base strength concern moved run game spends much time hung block momentum slowed need protect lower body stay foot bad habit finding wide past pocket every defender college weight conditioning require monitoring keep best multiple nfl scout expressed concern regarding personal character overall maturity sat first series season opener failing meet expectation,quick first step hit top speed immediately explosive closing burst cover lot ground competes revving motor fluid ankle flexion dip run hoop us explosive upper body length hand stun maintain spacing blocker expanded bag trick pas rusher including efficient spin effective long arm nice job retracing step chasing backside matured play recognition sniff screen string run knack punching ball becoming fourth player florida history least eight career forced fumble fbs best six forced fumble comfortable spot dropping playing space non stop hustler make play away line scrimmage dropped pound prior season lack ideal bulk lineman bad weight frame base strength concern moved run game spends much time hung block momentum slowed need protect lower body stay foot bad habit finding wide past pocket every defender college weight conditioning require monitoring keep best multiple nfl scout expressed concern regarding personal character overall maturity sat first series season opener failing meet expectation,"{'neg': 0.062, 'neu': 0.784, 'pos': 0.154, 'compound': 0.926}","{'neg': 0.116, 'neu': 0.765, 'pos': 0.119, 'compound': 0.1027}","{'neg': 0.139, 'neu': 0.642, 'pos': 0.219, 'compound': 0.9382}",0.062,0.784,0.154,0.926,0.116,0.765,0.119,0.1027,0.139,0.642,0.219,0.9382,david anenih-EDGE,lavon chaisson-EDGE,kayvon thibodeaux-EDGE,shaka toney-EDGE,deangelo malone-EDGE,0.575,0.4929,0.4597,0.4496,0.4488,david anenih-EDGE,-0.05,lavon chaisson-EDGE,-0.05,kayvon thibodeaux-EDGE,0.007910384725694814,shaka toney-EDGE,-0.003592766914991974,deangelo malone-EDGE,-0.004701622083243053,2.4259999999999997,-0.022046163288350358
135.0,DANDRE WALKER,2019,EDGE,"Gains ground with his first step speed to reach and wrap the corner flexible rusher with low pad level and natural balance to work off contact flexible
ankles to skim  stunt and loop  helping open pass rush lanes determined chaser from the backside power to go through running back blocks like a bullet through
paper budding recognition skills to adjust mid rush comfortable dropping in zones to cover digs and crossers extensive experience on special teams
coverages gives unquestioned effort and football is important to him  Georgia head coach Kirby Smart   He s a very motivated kid  He plays so hard   
z","Spotty counter measures pass rush arsenal lacks variety needs to develop a power move and better use his length not a technician at the point of
attack relies on effort more than instincts in his drops doesn t show route anticipation overaggressive tendencies lead to discipline issues and flags  personal fouls 
offsides  etc   missed the bowl game  Senior Bowl and Scouting Combine due to hernia injury  December 2018   which required surgery  January 2019  only one
season of starting experience ",dandre walker,dandre walker-EDGE,39140.0,dandre walker,EDGE,-0.0004580375187377623,gain ground first step speed reach wrap corner flexible rusher low pad level natural balance work contact flexible ankle skim stunt loop helping open pas rush lane determined chaser backside power running back block like bullet paper budding recognition skill adjust mid rush comfortable dropping zone cover dig crossers extensive experience special team coverage give unquestioned effort football important georgia head coach kirby smart motivated kid play hard,spotty counter measure pas rush arsenal lack variety need develop power move better use length technician point attack relies effort instinct drop show route anticipation overaggressive tendency lead discipline issue flag personal foul offside etc missed bowl game senior bowl scouting combine due hernia injury december required surgery january one season starting experience,gain ground first step speed reach wrap corner flexible rusher low pad level natural balance work contact flexible ankle skim stunt loop helping open pas rush lane determined chaser backside power running back block like bullet paper budding recognition skill adjust mid rush comfortable dropping zone cover dig crossers extensive experience special team coverage give unquestioned effort football important georgia head coach kirby smart motivated kid play hard spotty counter measure pas rush arsenal lack variety need develop power move better use length technician point attack relies effort instinct drop show route anticipation overaggressive tendency lead discipline issue flag personal foul offside etc missed bowl game senior bowl scouting combine due hernia injury december required surgery january one season starting experience,"{'neg': 0.049, 'neu': 0.677, 'pos': 0.273, 'compound': 0.9713}","{'neg': 0.097, 'neu': 0.851, 'pos': 0.052, 'compound': -0.5859}","{'neg': 0.123, 'neu': 0.63, 'pos': 0.247, 'compound': 0.9451}",0.049,0.677,0.273,0.9713,0.097,0.851,0.052,-0.5859,0.123,0.63,0.247,0.9451,julian okwara-EDGE,nelson ceaser-EDGE,dj wonnum-EDGE,josh uche-EDGE,patrick jones-EDGE,0.5212,0.4865,0.4655,0.4596,0.4455,julian okwara-EDGE,-0.0018413397480736091,nelson ceaser-EDGE,-0.05,dj wonnum-EDGE,-0.04055932885631376,josh uche-EDGE,0.011311585935614748,patrick jones-EDGE,-0.02143284849686123,2.3783000000000003,-0.020398857574171952
136.0,CHASE WINOVICH,2019,EDGE,"Times the snap well and finishes with closing burst arc speed and flexibility to win the corner violent swipe and effort allow him to stay unattached
mid rush his tape is a clinic of chasing down plays from the backside competes with consistent play speed through the whistle matured play recognition and nose
for the ball balanced in space drops his pads and drives through his target as a tackler toughness isn t a question mark and plays through pain crazy competitive
drive and won t take a snap off  playing with a touch of insanity to him consistent production as a starter ","Doesn t have ideal size or length by NFL standards relies more on timing than natural explosiveness as a rusher inconsistent edge setter and can be
knocked off balance tunnel vision in pursuit and doesn t anticipate speed bumps lacks ideal range and redirection skills at linebacker and inexperienced dropping in
coverage will attract flags in the NFL with his propensity to arrive at the quarterback out of control  diving below the knees or hitting late wasn t voted a senior
captain and it isn t in his nature to dial things back  NFL scout   he s an attention grabber and that act wears thin on some teammates and coaches   suffered foot
injuries against Ohio State  November 2018  and Florida  December 2018  and underwent thumb surgery  March 2019  ",chase winovich,chase winovich-EDGE,48523.0,chase winovich,EDGE,0.00043172315779724637,time snap well finish closing burst arc speed flexibility win corner violent swipe effort allow stay unattached mid rush tape clinic chasing play backside competes consistent play speed whistle matured play recognition nose ball balanced space drop pad drive target tackler toughness question mark play pain crazy competitive drive take snap playing touch insanity consistent production starter,ideal size length nfl standard relies timing natural explosiveness rusher inconsistent edge setter knocked balance tunnel vision pursuit anticipate speed bump lack ideal range redirection skill linebacker inexperienced dropping coverage attract flag nfl propensity arrive quarterback control diving knee hitting late voted senior captain nature dial thing back nfl scout attention grabber act wear thin teammate coach suffered foot injury ohio state november florida december underwent thumb surgery march,time snap well finish closing burst arc speed flexibility win corner violent swipe effort allow stay unattached mid rush tape clinic chasing play backside competes consistent play speed whistle matured play recognition nose ball balanced space drop pad drive target tackler toughness question mark play pain crazy competitive drive take snap playing touch insanity consistent production starter ideal size length nfl standard relies timing natural explosiveness rusher inconsistent edge setter knocked balance tunnel vision pursuit anticipate speed bump lack ideal range redirection skill linebacker inexperienced dropping coverage attract flag nfl propensity arrive quarterback control diving knee hitting late voted senior captain nature dial thing back nfl scout attention grabber act wear thin teammate coach suffered foot injury ohio state november florida december underwent thumb surgery march,"{'neg': 0.121, 'neu': 0.66, 'pos': 0.219, 'compound': 0.8271}","{'neg': 0.024, 'neu': 0.862, 'pos': 0.114, 'compound': 0.872}","{'neg': 0.152, 'neu': 0.615, 'pos': 0.234, 'compound': 0.8591}",0.121,0.66,0.219,0.8271,0.024,0.862,0.114,0.872,0.152,0.615,0.234,0.8591,josh paschal-EDGE,kayvon thibodeaux-EDGE,nik bonitto-EDGE,josh uche-EDGE,bj ojulari-EDGE,0.5964,0.5501,0.5341,0.4919,0.479,josh paschal-EDGE,-0.026898040526291783,kayvon thibodeaux-EDGE,0.007910384725694814,nik bonitto-EDGE,0.009864786123554013,josh uche-EDGE,0.011311585935614748,bj ojulari-EDGE,-0.0018615562444123457,2.6515000000000004,-0.000659710647946492
137.0,LJ COLLIER,2019,EDGE,"Workable frame with outstanding length assignment sound in the run game stacks the point of attack with physical hands to work off blocks and find
the ballcarrier quick read react ability and keeps the mental mistakes to a minimum balanced in his move to move sequence with enough juice off the edge to tilt
tackles drops his pads  extends his reach and drives his legs to bully his way through blockers competes with relentless hustle and a mean streak ","Lacks a sudden first step to ambush blockers with burst shows a pass rush plan on some plays  but then looks aimless on others his active hands
don t always have purpose or direction rushes with high hips  preferring to forward lean at the waist instead of bending his knees has some sloppy weight on his
frame and needs to stay committed doesn t have experience dropping in space immaturity kept him off the field at times only a one year starter and lacks an
impressive collegiate resume ",lj collier,lj collier-EDGE,48822.0,lj collier,EDGE,-0.009820906371098595,workable frame outstanding length assignment sound run game stack point attack physical hand work block find ballcarrier quick read react ability keep mental mistake minimum balanced move move sequence enough juice edge tilt tackle drop pad extends reach drive leg bully way blocker competes relentless hustle mean streak,lack sudden first step ambush blocker burst show pas rush plan play look aimless others active hand always purpose direction rush high hip preferring forward lean waist instead bending knee sloppy weight frame need stay committed experience dropping space immaturity kept field time one year starter lack impressive collegiate resume,workable frame outstanding length assignment sound run game stack point attack physical hand work block find ballcarrier quick read react ability keep mental mistake minimum balanced move move sequence enough juice edge tilt tackle drop pad extends reach drive leg bully way blocker competes relentless hustle mean streak lack sudden first step ambush blocker burst show pas rush plan play look aimless others active hand always purpose direction rush high hip preferring forward lean waist instead bending knee sloppy weight frame need stay committed experience dropping space immaturity kept field time one year starter lack impressive collegiate resume,"{'neg': 0.12, 'neu': 0.766, 'pos': 0.114, 'compound': -0.3818}","{'neg': 0.0, 'neu': 0.867, 'pos': 0.133, 'compound': 0.9032}","{'neg': 0.146, 'neu': 0.638, 'pos': 0.215, 'compound': 0.7717}",0.12,0.766,0.114,-0.3818,0.0,0.867,0.133,0.9032,0.146,0.638,0.215,0.7717,wyatt hubert-EDGE,kwity paye-EDGE,dayo odeyingbo-EDGE,qaadir sheppard-EDGE,aj epenesa-EDGE,0.633,0.5755,0.4861,0.4445,0.4437,wyatt hubert-EDGE,-0.05,kwity paye-EDGE,-0.006283106307889255,dayo odeyingbo-EDGE,-0.00861606367757237,qaadir sheppard-EDGE,-0.05,aj epenesa-EDGE,0.0033800033235120985,2.5827999999999998,-0.023300096313774155
138.0,JAYLON FERGUSON,2019,EDGE,"NFL framework and length converts speed to power with his initial quickness off the snap uses his long arms and low pad level to extend into blockers
and create movement heavy handed and forces his way through bodies flashes short area quickness to skim the corner and close on the quarterback high effort
rusher grip strength to set a physical edge in the run game reliable wrap up tackler who usually finishes one on one opportunities graduated with his bachelor s
degree  December 2018   becoming the first in his family to earn a college degree elite production with an NCAA record 45 0 career sacks led the FBS with 17 5
sacks in 2018  which set a new school and conference single season record ","Doesn t have a rocked up build hip tightness shows when attempting to dip and bend his three cone at the pro day was slow and stiff and required
six tries to get the 8 08 result needs to develop better secondary and counter measures when the first move doesn t work inconsistent pass rush sequence not a
technician at the point of attack and leaves some production on the field as a run defender doesn t show the same intensity vs  the run as he does vs  the
pass disinvited from the 2019 NFL Scouting Combine after a background check revealed a misdemeanor simple battery charge  stemming from an altercation at a
Mc Donald s his freshman season 
 117 ",jaylon ferguson,jaylon ferguson-EDGE,48362.0,jaylon ferguson,EDGE,-0.0045230812735901245,nfl framework length convert speed power initial quickness snap us long arm low pad level extend blocker create movement heavy handed force way body flash short area quickness skim corner close quarterback high effort rusher grip strength set physical edge run game reliable wrap tackler usually finish one one opportunity graduated bachelor degree december becoming first family earn college degree elite production ncaa record career sack led fbs sack set new school conference single season record,rocked build hip tightness show attempting dip bend three cone pro day slow stiff required six try get result need develop better secondary counter measure first move work inconsistent pas rush sequence technician point attack leaf production field run defender show intensity run pas disinvited nfl scouting combine background check revealed misdemeanor simple battery charge stemming altercation donald freshman season,nfl framework length convert speed power initial quickness snap us long arm low pad level extend blocker create movement heavy handed force way body flash short area quickness skim corner close quarterback high effort rusher grip strength set physical edge run game reliable wrap tackler usually finish one one opportunity graduated bachelor degree december becoming first family earn college degree elite production ncaa record career sack led fbs sack set new school conference single season record rocked build hip tightness show attempting dip bend three cone pro day slow stiff required six try get result need develop better secondary counter measure first move work inconsistent pas rush sequence technician point attack leaf production field run defender show intensity run pas disinvited nfl scouting combine background check revealed misdemeanor simple battery charge stemming altercation donald freshman season,"{'neg': 0.017, 'neu': 0.906, 'pos': 0.077, 'compound': 0.7579}","{'neg': 0.027, 'neu': 0.935, 'pos': 0.038, 'compound': 0.0516}","{'neg': 0.035, 'neu': 0.869, 'pos': 0.096, 'compound': 0.7845}",0.017,0.906,0.077,0.7579,0.027,0.935,0.038,0.0516,0.035,0.869,0.096,0.7845,john cominsky-EDGE,yaya diaby-EDGE,dylan horton-EDGE,isaiah thomas-EDGE,alton robinson-EDGE,0.5746,0.5284,0.4701,0.4499,0.4367,john cominsky-EDGE,0.004815970022327282,yaya diaby-EDGE,0.012909580141059335,dylan horton-EDGE,-0.007709403025382289,isaiah thomas-EDGE,-0.003804531108299842,alton robinson-EDGE,-0.010923619766233664,2.4597,-0.00021039766573384758
139.0,ANTHONY NELSON,2019,EDGE,"Large framed body type with well distributed body mass uses his long levers to lock out  run his feet and rock tackles backwards quick out of his
stance with forceful hands to get blockers off balance relies on his long arm move to create speed to power understands hand placement to properly pushpull stout on the edges to contain the run consistently gives extra effort  raising the level of his teammates Academic All American the past two seasons and
graduated with a degree in accounting  December 2018  and 3 8 GPA production increased each of the last three seasons ","Not a loose bender  losing his balance when turning the corner struggles to dip his pads and shave blocks allows his posture to get upright and
narrow mid rush minimal deception in his pass rush plan  limiting his ability to adjust on the fly aggressive  but unrefined hands  and struggles to shed blocks once
his feet are stopped overaggressive effort backfires at times  reacting before reading ",anthony nelson,anthony nelson-EDGE,48405.0,anthony nelson,EDGE,-0.003292024666985863,large framed body type well distributed body mass us long lever lock run foot rock tackle backwards quick stance forceful hand get blocker balance relies long arm move create speed power understands hand placement properly pushpull stout edge contain run consistently give extra effort raising level teammate academic american past two season graduated degree accounting december gpa production increased last three season,loose bender losing balance turning corner struggle dip pad shave block allows posture get upright narrow mid rush minimal deception pas rush plan limiting ability adjust fly aggressive unrefined hand struggle shed block foot stopped overaggressive effort backfire time reacting reading,large framed body type well distributed body mass us long lever lock run foot rock tackle backwards quick stance forceful hand get blocker balance relies long arm move create speed power understands hand placement properly pushpull stout edge contain run consistently give extra effort raising level teammate academic american past two season graduated degree accounting december gpa production increased last three season loose bender losing balance turning corner struggle dip pad shave block allows posture get upright narrow mid rush minimal deception pas rush plan limiting ability adjust fly aggressive unrefined hand struggle shed block foot stopped overaggressive effort backfire time reacting reading,"{'neg': 0.0, 'neu': 0.89, 'pos': 0.11, 'compound': 0.8481}","{'neg': 0.194, 'neu': 0.742, 'pos': 0.064, 'compound': -0.8261}","{'neg': 0.17, 'neu': 0.674, 'pos': 0.156, 'compound': -0.2023}",0.0,0.89,0.11,0.8481,0.194,0.742,0.064,-0.8261,0.17,0.674,0.156,-0.2023,jordan smith-EDGE,john cominsky-EDGE,derrek tuszka-EDGE,elerson smith-EDGE,charles omenihu-EDGE,0.4462,0.442,0.381,0.3632,0.3387,jordan smith-EDGE,-0.0011377583935944784,john cominsky-EDGE,0.004815970022327282,derrek tuszka-EDGE,-0.005134658425500124,elerson smith-EDGE,-0.0016304095855489205,charles omenihu-EDGE,-0.05,1.9711,-0.009062187949337991
