Column1,Name,Nic_year,Position,Strengths,Weaknesses,player_x,join_slug,player_id,player_y,position,WAR,strengths_processed,weaknesses_processed,combined_text,strengths_sentiment,weaknesses_sentiment,combined_sentiment,strengths_neg,strengths_neu,strengths_pos,strengths_compound,weaknesses_neg,weaknesses_neu,weaknesses_pos,weaknesses_compound,combined_neg,combined_neu,combined_pos,combined_compound
107.0,CHRIS LINDSTROM,2019,OG,"Quick feet and eyes to handle interior penetrators works to gain body positioning in pass protection stout at the point of attack smooth mover and a
magnet to defenders as a puller always running his feet  generating movement in the run game upper body strength to turn and dump defenders flashes a mean
streak and looks to bury his target shows a keen awareness of loops and twists lunch pail worker and added 70 pounds over the last four years durable and
started 47 straight games with double digit career starts at both tackle and guard ","Tall pads off the snap and exposes his body inconsistent knee bend and sink consistently late shooting his hands  relying on his body while his punch
tries to catch up average change of direction and slow to swing his hips through the hole struggles to sustain at the linebacker level tends to get top heavy  causing
him to lunge 

 91 ",chris lindstrom,chris lindstrom-OG,46692.0,chris lindstrom,OG,0.12874862400997927,quick foot eye handle interior penetrator work gain body positioning pas protection stout point attack smooth mover magnet defender puller always running foot generating movement run game upper body strength turn dump defender flash mean streak look bury target show keen awareness loop twist lunch pail worker added pound last four year durable started straight game double digit career start tackle guard,tall pad snap expose body inconsistent knee bend sink consistently late shooting hand relying body punch try catch average change direction slow swing hip hole struggle sustain linebacker level tends get top heavy causing lunge,quick foot eye handle interior penetrator work gain body positioning pas protection stout point attack smooth mover magnet defender puller always running foot generating movement run game upper body strength turn dump defender flash mean streak look bury target show keen awareness loop twist lunch pail worker added pound last four year durable started straight game double digit career start tackle guard tall pad snap expose body inconsistent knee bend sink consistently late shooting hand relying body punch try catch average change direction slow swing hip hole struggle sustain linebacker level tends get top heavy causing lunge,"{'neg': 0.055, 'neu': 0.798, 'pos': 0.147, 'compound': 0.765}","{'neg': 0.064, 'neu': 0.908, 'pos': 0.029, 'compound': -0.296}","{'neg': 0.084, 'neu': 0.736, 'pos': 0.18, 'compound': 0.836}",0.055,0.798,0.147,0.765,0.064,0.908,0.029,-0.296,0.084,0.736,0.18,0.836
108.0,DALTON RISNER,2019,OG,"Squared  thickly built frame with a barrel chest stout and anchors well in his pass sets strong hands to control the man in front of him acute sense of
body angles and rarely gave up his edge on tape able to redirect defenders to seal run lanes cerebral player and rarely looks surprised by loops  twists or off sight
blitzers highly intelligent and understands what needs to be done  called plays for his high school s offense as a senior  competes with the same edge regardless of
score or situation durable and plays through pain started 50 games the last four seasons with experience at center and right tackle  also practicing at guard threeyear team captain and the  heartbeat of our team   according to former teammate Alex Barnes ","Flat footed in his pass sets average at best lateral quickness in his kick slide and wide speed will give him trouble wild hand placement midshuffle inefficient in the screen game or when asked to break down in space due to lower body stiffness not very proficient as a zone blocker battled injuries to
both shoulders  including surgery on his left shoulder  December 2017   which forced him to miss the bowl game ",dalton risner,dalton risner-OG,47008.0,dalton risner,OG,0.013215488831941563,squared thickly built frame barrel chest stout anchor well pas set strong hand control man front acute sense body angle rarely gave edge tape able redirect defender seal run lane cerebral player rarely look surprised loop twist sight blitzers highly intelligent understands need done called play high school offense senior competes edge regardless score situation durable play pain started game last four season experience center right tackle also practicing guard threeyear team captain heartbeat team according former teammate alex barnes,flat footed pas set average best lateral quickness kick slide wide speed give trouble wild hand placement midshuffle inefficient screen game asked break space due lower body stiffness proficient zone blocker battled injury shoulder including surgery left shoulder december forced miss bowl game,squared thickly built frame barrel chest stout anchor well pas set strong hand control man front acute sense body angle rarely gave edge tape able redirect defender seal run lane cerebral player rarely look surprised loop twist sight blitzers highly intelligent understands need done called play high school offense senior competes edge regardless score situation durable play pain started game last four season experience center right tackle also practicing guard threeyear team captain heartbeat team according former teammate alex barnes flat footed pas set average best lateral quickness kick slide wide speed give trouble wild hand placement midshuffle inefficient screen game asked break space due lower body stiffness proficient zone blocker battled injury shoulder including surgery left shoulder december forced miss bowl game,"{'neg': 0.051, 'neu': 0.835, 'pos': 0.114, 'compound': 0.7735}","{'neg': 0.141, 'neu': 0.77, 'pos': 0.089, 'compound': -0.3182}","{'neg': 0.141, 'neu': 0.681, 'pos': 0.178, 'compound': 0.7735}",0.051,0.835,0.114,0.7735,0.141,0.77,0.089,-0.3182,0.141,0.681,0.178,0.7735
109.0,DRU SAMIA,2019,OG,"Well constructed frame with broad shoulders and OK length comfortable on his feet with adequate bend strong upper body to latch and turn
defenders from lanes flashes violence in his hands inline power  hip thrust and leg drive to move bodies in the run game finds the hip of defenders on down blocks
and unloads chops down the reach of rushers and goes on the offensive in pass pro embraces the bully role and takes pride in his ability to finish graduated with a
 92 
degree in communication  Summer 2018  tied for second in school history with 48 starts on the offensive line experienced at tackle  guard and served as the
backup center ","Heavy legged when attempting to reset straight linish athleticism relies more on his upper body than his feet to slow down gap penetrators late on
combos pads rise at contact and can be caught lunging needs to better keep his hands elbows high and tight to sharpen his punch wears his emotion on his sleeve
and not shy retaliating after the play but needs to be smarter about it ",dru samia,dru samia-OG,45376.0,dru samia,OG,-0.02314593424253764,well constructed frame broad shoulder length comfortable foot adequate bend strong upper body latch turn defender lane flash violence hand inline power hip thrust leg drive move body run game find hip defender block unloads chop reach rusher go offensive pas pro embrace bully role take pride ability finish graduated degree communication summer tied second school history start offensive line experienced tackle guard served backup center,heavy legged attempting reset straight linish athleticism relies upper body foot slow gap penetrator late combo pad rise contact caught lunging need better keep hand elbow high tight sharpen punch wear emotion sleeve shy retaliating play need smarter,well constructed frame broad shoulder length comfortable foot adequate bend strong upper body latch turn defender lane flash violence hand inline power hip thrust leg drive move body run game find hip defender block unloads chop reach rusher go offensive pas pro embrace bully role take pride ability finish graduated degree communication summer tied second school history start offensive line experienced tackle guard served backup center heavy legged attempting reset straight linish athleticism relies upper body foot slow gap penetrator late combo pad rise contact caught lunging need better keep hand elbow high tight sharpen punch wear emotion sleeve shy retaliating play need smarter,"{'neg': 0.113, 'neu': 0.723, 'pos': 0.164, 'compound': 0.4084}","{'neg': 0.0, 'neu': 0.859, 'pos': 0.141, 'compound': 0.8161}","{'neg': 0.132, 'neu': 0.593, 'pos': 0.275, 'compound': 0.9313}",0.113,0.723,0.164,0.4084,0.0,0.859,0.141,0.8161,0.132,0.593,0.275,0.9313
110.0,NATE DAVIS,2019,OG,"Light footed athlete flexible lower body to maintain a wide base sits low in his stance with his butt 12 inches off the ground stays underneath blocks
to leverage defenders and create movement patient in his setup and shuffle physical hands to extend and meet defenders stout anchor to slow bull rushers at
shallow depth grinder in the run game and always looking for a warm body to block type of blocker who looks in his element as a puller  taking joy in showing off
his athleticism in space starting experience at tackle and guard ","Needs to shed some bad weight tends to overset  falling off balance when his feet widen bad habit of overextending  ending up on the ground late
replacing his hands vs  quick footed linemen not an overpowering run blocker who will create immediate knock back needs to introduce more angles to be a better
sustain blocker suspended the first four games of 2018 for an NCAA rules violation ",nate davis,nate davis-OG,46808.0,nate davis,OG,-0.023898165879174448,light footed athlete flexible lower body maintain wide base sits low stance butt inch ground stay underneath block leverage defender create movement patient setup shuffle physical hand extend meet defender stout anchor slow bull rusher shallow depth grinder run game always looking warm body block type blocker look element puller taking joy showing athleticism space starting experience tackle guard,need shed bad weight tends overset falling balance foot widen bad habit overextending ending ground late replacing hand quick footed linemen overpowering run blocker create immediate knock back need introduce angle better sustain blocker suspended first four game ncaa rule violation,light footed athlete flexible lower body maintain wide base sits low stance butt inch ground stay underneath block leverage defender create movement patient setup shuffle physical hand extend meet defender stout anchor slow bull rusher shallow depth grinder run game always looking warm body block type blocker look element puller taking joy showing athleticism space starting experience tackle guard need shed bad weight tends overset falling balance foot widen bad habit overextending ending ground late replacing hand quick footed linemen overpowering run blocker create immediate knock back need introduce angle better sustain blocker suspended first four game ncaa rule violation,"{'neg': 0.087, 'neu': 0.763, 'pos': 0.15, 'compound': 0.5574}","{'neg': 0.189, 'neu': 0.748, 'pos': 0.063, 'compound': -0.872}","{'neg': 0.19, 'neu': 0.602, 'pos': 0.208, 'compound': -0.1779}",0.087,0.763,0.15,0.5574,0.189,0.748,0.063,-0.872,0.19,0.602,0.208,-0.1779
111.0,MICHAEL JORDAN,2019,OG,"Imposing height length and body mass stays balanced on his feet excellent vision and reaction quickness flexible body control to easily redirect
 former black belt in karate  active hands to keep defenders occupied creates power through his hips to torque defenders in the run game climbs to the second
level and eliminates linebackers instinctive with a mature feel for patience started every game the past three seasons with experience at guard and center ","Bad habit of playing upright and straight legged inconsistent anchor and can be put on his heels vs  power over reliant on his feet hands and must
improve his posture  leverage and blocking angles still has some baby fat on his frame flashes a killer instinct but doesn t show the same intensity on every snap 
which affects his ability to finish his snaps from center improved throughout the 2018 season  but snap accuracy isn t a strength right now ",michael jordan,michael jordan-OG,28021.0,michael jordan,OG,-0.052675061321684626,imposing height length body mass stay balanced foot excellent vision reaction quickness flexible body control easily redirect former black belt karate active hand keep defender occupied creates power hip torque defender run game climb second level eliminates linebacker instinctive mature feel patience started every game past three season experience guard center,bad habit playing upright straight legged inconsistent anchor put heel power reliant foot hand must improve posture leverage blocking angle still baby fat frame flash killer instinct show intensity every snap affect ability finish snap center improved throughout season snap accuracy strength right,imposing height length body mass stay balanced foot excellent vision reaction quickness flexible body control easily redirect former black belt karate active hand keep defender occupied creates power hip torque defender run game climb second level eliminates linebacker instinctive mature feel patience started every game past three season experience guard center bad habit playing upright straight legged inconsistent anchor put heel power reliant foot hand must improve posture leverage blocking angle still baby fat frame flash killer instinct show intensity every snap affect ability finish snap center improved throughout season snap accuracy strength right,"{'neg': 0.017, 'neu': 0.742, 'pos': 0.242, 'compound': 0.9413}","{'neg': 0.074, 'neu': 0.732, 'pos': 0.194, 'compound': 0.8674}","{'neg': 0.093, 'neu': 0.566, 'pos': 0.342, 'compound': 0.9769}",0.017,0.742,0.242,0.9413,0.074,0.732,0.194,0.8674,0.093,0.566,0.342,0.9769
112.0,MICHAEL DEITER,2019,OG,"Road grader who takes pride in finishing buries defenders on their backs when given the chance short area power to overwhelm the point of attack
and seal lanes massive hands with the strength to latch and grip balanced feet for a large man eager in his pass sets  initiating contact before defenders can
dictate the action never runs out of competitive energy and always looking for someone to block studious and his coaches speak highly of his mental
preparation graduated with a degree in consumer behavior  December 2018  consummate teammate and senior captain started every game the last four seasons
with experience at tackle  guard and center ","Forgets his feet in pass protection  lunging and holding vs  gap quickness heavy legged and doesn t have the lateral range to hold up at tackle in the
NFL upright pass sets  allowing long armed bullies to put him in reverse lacks knee bend to drop his hips top heavy body with little definition inconsistent
kickslide depth hand technique tends to break down vs  speed ",michael deiter,michael deiter-OG,38554.0,michael deiter,OG,-0.051260365166623065,road grader take pride finishing buries defender back given chance short area power overwhelm point attack seal lane massive hand strength latch grip balanced foot large man eager pas set initiating contact defender dictate action never run competitive energy always looking someone block studious coach speak highly mental preparation graduated degree consumer behavior december consummate teammate senior captain started every game last four season experience tackle guard center,forgets foot pas protection lunging holding gap quickness heavy legged lateral range hold tackle nfl upright pas set allowing long armed bully put reverse lack knee bend drop hip top heavy body little definition inconsistent kickslide depth hand technique tends break speed,road grader take pride finishing buries defender back given chance short area power overwhelm point attack seal lane massive hand strength latch grip balanced foot large man eager pas set initiating contact defender dictate action never run competitive energy always looking someone block studious coach speak highly mental preparation graduated degree consumer behavior december consummate teammate senior captain started every game last four season experience tackle guard center forgets foot pas protection lunging holding gap quickness heavy legged lateral range hold tackle nfl upright pas set allowing long armed bully put reverse lack knee bend drop hip top heavy body little definition inconsistent kickslide depth hand technique tends break speed,"{'neg': 0.075, 'neu': 0.785, 'pos': 0.139, 'compound': 0.6808}","{'neg': 0.031, 'neu': 0.896, 'pos': 0.073, 'compound': 0.4404}","{'neg': 0.14, 'neu': 0.701, 'pos': 0.159, 'compound': 0.3544}",0.075,0.785,0.139,0.6808,0.031,0.896,0.073,0.4404,0.14,0.701,0.159,0.3544
113.0,TYLER JONES,2019,OG,"Agile feet to slide and mirror outstanding lower body bend to stay flexible in his pass sets sinks his hips to anchor at contact understands body
positioning to maintain pocket walls flexible coil with strong hands once he connects advances to the second level and handles himself well on the move finishes
assignments and competes with consistent effort versatile starting experience at guard and both tackle spots durable and started every game at left tackle the last
three seasons ","Shorter than ideal with a soft body inconsistent unleashing his power carries his hands low and wide  disrupting his timing bad habit of catching
defenders and doesn t efficiently use his reach tightness in his hips limits his ability to quickly recover inconsistent hand technique in the run game needs to clean
up the false start and holding penalties from college ",tyler jones,tyler jones-OG,,,,-0.05,agile foot slide mirror outstanding lower body bend stay flexible pas set sink hip anchor contact understands body positioning maintain pocket wall flexible coil strong hand connects advance second level handle well move finish assignment competes consistent effort versatile starting experience guard tackle spot durable started every game left tackle last three season,shorter ideal soft body inconsistent unleashing power carry hand low wide disrupting timing bad habit catching defender efficiently use reach tightness hip limit ability quickly recover inconsistent hand technique run game need clean false start holding penalty college,agile foot slide mirror outstanding lower body bend stay flexible pas set sink hip anchor contact understands body positioning maintain pocket wall flexible coil strong hand connects advance second level handle well move finish assignment competes consistent effort versatile starting experience guard tackle spot durable started every game left tackle last three season shorter ideal soft body inconsistent unleashing power carry hand low wide disrupting timing bad habit catching defender efficiently use reach tightness hip limit ability quickly recover inconsistent hand technique run game need clean false start holding penalty college,"{'neg': 0.025, 'neu': 0.826, 'pos': 0.149, 'compound': 0.875}","{'neg': 0.077, 'neu': 0.692, 'pos': 0.231, 'compound': 0.8442}","{'neg': 0.09, 'neu': 0.607, 'pos': 0.303, 'compound': 0.9705}",0.025,0.826,0.149,0.875,0.077,0.692,0.231,0.8442,0.09,0.607,0.303,0.9705
114.0,HJALTE FROHOLDT,2019,OG,"Agile feet  plus body control in his pass sets fluid out of his stance with flexible hips to pull trap comfortable on the move with the athleticism to
manipulate space sits in his stance  keeping his pads low at contact well proportioned body type composed and competitive by nature voted a senior captain and
well liked by his teammates and coaches  Arkansas assistant coach   He s much more likely to praise a teammate than talk about himself   started all 37 games the
last three seasons  primarily at left guard  but also filled in at center as a senior ","Controlled punch but doesn t create knock back or flash violence in his hands needs to develop more of a bully mentality in the run game  especially
when pulling through holes lacks the strength in his hands and upper body to displace or redirect defenders tends to overset and lean on blocks doesn t keep his
feet active needs to keep his lower body and upper body in sync to stay parallel to defenders up and down awareness and needs to recognize things quicker still
relatively new to the offensive line ",hjalte froholdt,hjalte froholdt-OG,44959.0,hjalte froholdt,OG,0.02650208962342911,agile foot plus body control pas set fluid stance flexible hip pull trap comfortable move athleticism manipulate space sits stance keeping pad low contact well proportioned body type composed competitive nature voted senior captain well liked teammate coach arkansas assistant coach much likely praise teammate talk started game last three season primarily left guard also filled center senior,controlled punch create knock back flash violence hand need develop bully mentality run game especially pulling hole lack strength hand upper body displace redirect defender tends overset lean block keep foot active need keep lower body upper body sync stay parallel defender awareness need recognize thing quicker still relatively new offensive line,agile foot plus body control pas set fluid stance flexible hip pull trap comfortable move athleticism manipulate space sits stance keeping pad low contact well proportioned body type composed competitive nature voted senior captain well liked teammate coach arkansas assistant coach much likely praise teammate talk started game last three season primarily left guard also filled center senior controlled punch create knock back flash violence hand need develop bully mentality run game especially pulling hole lack strength hand upper body displace redirect defender tends overset lean block keep foot active need keep lower body upper body sync stay parallel defender awareness need recognize thing quicker still relatively new offensive line,"{'neg': 0.032, 'neu': 0.845, 'pos': 0.123, 'compound': 0.7337}","{'neg': 0.176, 'neu': 0.703, 'pos': 0.121, 'compound': -0.8449}","{'neg': 0.154, 'neu': 0.607, 'pos': 0.239, 'compound': 0.8532}",0.032,0.845,0.123,0.7337,0.176,0.703,0.121,-0.8449,0.154,0.607,0.239,0.8532
115.0,PHIL HAYNES,2019,OG,"Broad shouldered  moldable frame stout at the point of attack  using his shock absorber arms to meet rushers sturdy  timely hands to keep rushers
from his body continuously works to stay underneath rushers  resetting his anchor on the move doesn t overextend himself and stays on his feet understands
angles to wall off and seal studious and picks things up quickly senior captain graduated with a degree in communication  May 2018  durable and his 47 career
starts rank second most for an offensive lineman in school history starting experience at right tackle  right guard and left guard ","Taller pad level and needs to use more consistent sink feet lack urgency inconsistent body control in space  struggling to pick off linebackers plays
alert  but he s still piecing together moving parts  causing him to be late adjusting to stunts and twists  Clemson took advantage of this  needs to use better thrust in
his hips to create movement in the run game plays tough minded but the desired mean streak isn t always there ",phil haynes,phil haynes-OG,29244.0,phil haynes,OG,-0.0013162570698285886,broad shouldered moldable frame stout point attack using shock absorber arm meet rusher sturdy timely hand keep rusher body continuously work stay underneath rusher resetting anchor move overextend stay foot understands angle wall seal studious pick thing quickly senior captain graduated degree communication may durable career start rank second offensive lineman school history starting experience right tackle right guard left guard,taller pad level need use consistent sink foot lack urgency inconsistent body control space struggling pick linebacker play alert still piecing together moving part causing late adjusting stunt twist clemson took advantage need use better thrust hip create movement run game play tough minded desired mean streak always,broad shouldered moldable frame stout point attack using shock absorber arm meet rusher sturdy timely hand keep rusher body continuously work stay underneath rusher resetting anchor move overextend stay foot understands angle wall seal studious pick thing quickly senior captain graduated degree communication may durable career start rank second offensive lineman school history starting experience right tackle right guard left guard taller pad level need use consistent sink foot lack urgency inconsistent body control space struggling pick linebacker play alert still piecing together moving part causing late adjusting stunt twist clemson took advantage need use better thrust hip create movement run game play tough minded desired mean streak always,"{'neg': 0.088, 'neu': 0.895, 'pos': 0.017, 'compound': -0.8055}","{'neg': 0.062, 'neu': 0.736, 'pos': 0.202, 'compound': 0.899}","{'neg': 0.117, 'neu': 0.721, 'pos': 0.161, 'compound': 0.5719}",0.088,0.895,0.017,-0.8055,0.062,0.736,0.202,0.899,0.117,0.721,0.161,0.5719
116.0,DREW FORBES,2019,OG,"Balanced  efficient movements in his setup controlled steps in his kick slide with the footwork to quickly recover vs  inside moves plays with a low
center and natural knee bend to adjust well in space drops his hips and uncoils a forceful  upward punch active hands with good power in them competes with a
nasty streak and always looking for his next victim alert to pick up twists started every game the last three seasons at left tackle two year team captain and his
coaches praise his work ethic and  bulldog  mentality ","Lacks ideal arm length for edge work not explosive in his lateral slide and will lose foot races to the corner late windup punch and needs to keep his
elbows and hands closer to his chest bad habit of overextending at the waist  losing balance didn t miss a start the last three seasons but his medical evaluations
 back  will be closely examined all of his college starts came at left tackle  lacking functional experience inside at guard or center ",drew forbes,drew forbes-OG,28671.0,drew forbes,OG,0.0016912721512663037,balanced efficient movement setup controlled step kick slide footwork quickly recover inside move play low center natural knee bend adjust well space drop hip uncoils forceful upward punch active hand good power competes nasty streak always looking next victim alert pick twist started every game last three season left tackle two year team captain coach praise work ethic bulldog mentality,lack ideal arm length edge work explosive lateral slide lose foot race corner late windup punch need keep elbow hand closer chest bad habit overextending waist losing balance miss start last three season medical evaluation back closely examined college start came left tackle lacking functional experience inside guard center,balanced efficient movement setup controlled step kick slide footwork quickly recover inside move play low center natural knee bend adjust well space drop hip uncoils forceful upward punch active hand good power competes nasty streak always looking next victim alert pick twist started every game last three season left tackle two year team captain coach praise work ethic bulldog mentality lack ideal arm length edge work explosive lateral slide lose foot race corner late windup punch need keep elbow hand closer chest bad habit overextending waist losing balance miss start last three season medical evaluation back closely examined college start came left tackle lacking functional experience inside guard center,"{'neg': 0.073, 'neu': 0.732, 'pos': 0.195, 'compound': 0.9001}","{'neg': 0.087, 'neu': 0.886, 'pos': 0.027, 'compound': -0.4588}","{'neg': 0.158, 'neu': 0.624, 'pos': 0.217, 'compound': 0.8555}",0.073,0.732,0.195,0.9001,0.087,0.886,0.027,-0.4588,0.158,0.624,0.217,0.8555
