Column1,Name,Nic_year,Position,Strengths,Weaknesses,player_x,join_slug,player_id,player_y,position,WAR,strengths_processed,weaknesses_processed,combined_text,strengths_sentiment,weaknesses_sentiment,combined_sentiment,strengths_neg,strengths_neu,strengths_pos,strengths_compound,weaknesses_neg,weaknesses_neu,weaknesses_pos,weaknesses_compound,combined_neg,combined_neu,combined_pos,combined_compound
86.0,JONAH WILLIAMS,2019,OT,"Plays low and controlled agile feet and natural knee bend in his kick slide  gaining proper depth technically sound hands and body posture drops his
lower body to anchor vs  power generates torque from his hips and runs his feet to move bodies in the run game controls and forklifts defenders at the second
level very alert player to quickly react and reset his coaches call him  The Intellectual  because of his detailed preparation and intelligence eager blocker through
the whistle  always looking for the kill shot natural born competitor with a goal oriented mindset perfectionist attitude in the weight room graduated with his
marketing degree  December 2018  in less than three years started every game the past three seasons  44 straight starts   spending time at both left and right
tackle ","Not physically imposing shorter than ideal arm length and extension long armed rushers give him trouble caught leaning into blocks and ends up
on the ground bull rushers will get him when he allows his base to narrow doesn t have starting experience inside at guard or center outplayed by Clemson edge
rusher Clelin Ferrell in his final collegiate game 

 75 ",jonah williams,jonah williams-OT,41651.0,jonah williams,OT,-0.010905712713556226,play low controlled agile foot natural knee bend kick slide gaining proper depth technically sound hand body posture drop lower body anchor power generates torque hip run foot move body run game control forklift defender second level alert player quickly react reset coach call intellectual detailed preparation intelligence eager blocker whistle always looking kill shot natural born competitor goal oriented mindset perfectionist attitude weight room graduated marketing degree december less three year started every game past three season straight start spending time left right tackle,physically imposing shorter ideal arm length extension long armed rusher give trouble caught leaning block end ground bull rusher get allows base narrow starting experience inside guard center outplayed clemson edge rusher clelin ferrell final collegiate game,play low controlled agile foot natural knee bend kick slide gaining proper depth technically sound hand body posture drop lower body anchor power generates torque hip run foot move body run game control forklift defender second level alert player quickly react reset coach call intellectual detailed preparation intelligence eager blocker whistle always looking kill shot natural born competitor goal oriented mindset perfectionist attitude weight room graduated marketing degree december less three year started every game past three season straight start spending time left right tackle physically imposing shorter ideal arm length extension long armed rusher give trouble caught leaning block end ground bull rusher get allows base narrow starting experience inside guard center outplayed clemson edge rusher clelin ferrell final collegiate game,"{'neg': 0.059, 'neu': 0.764, 'pos': 0.177, 'compound': 0.9312}","{'neg': 0.07, 'neu': 0.858, 'pos': 0.072, 'compound': 0.0248}","{'neg': 0.118, 'neu': 0.663, 'pos': 0.219, 'compound': 0.9274}",0.059,0.764,0.177,0.9312,0.07,0.858,0.072,0.0248,0.118,0.663,0.219,0.9274
87.0,ANDRE DILLARD,2019,OT,"Compact build with an adequate frame for the position balanced feet with lower body flexibility hands and feet stay in sync in his pass sets able to
bend  redirect and move smoothly as a puller aggressive with his reach to initiate contact  using a violent swipe to knock down hands plays with the core strength
to control the edge processes everything well and doesn t panic graduated with a degree in social science added 60 plus pounds since enrolling as a skinny 240pounder durable and started all 39 games the past three seasons ","Inconsistent punch timing  and long levered rushers can reach his chest his struggles with length also show in the run game  causing him to
overextend needs to better use his hips and leverage as a run blocker needs to show better finish and sustain skills scouts want to see more of a mean streak in his
game looks clean pulling but doesn t always hit his target ",andre dillard,andre dillard-OT,29250.0,andre dillard,OT,-0.01612297063208899,compact build adequate frame position balanced foot lower body flexibility hand foot stay sync pas set able bend redirect move smoothly puller aggressive reach initiate contact using violent swipe knock hand play core strength control edge process everything well panic graduated degree social science added plus pound since enrolling skinny pounder durable started game past three season,inconsistent punch timing long levered rusher reach chest struggle length also show run game causing overextend need better use hip leverage run blocker need show better finish sustain skill scout want see mean streak game look clean pulling always hit target,compact build adequate frame position balanced foot lower body flexibility hand foot stay sync pas set able bend redirect move smoothly puller aggressive reach initiate contact using violent swipe knock hand play core strength control edge process everything well panic graduated degree social science added plus pound since enrolling skinny pounder durable started game past three season inconsistent punch timing long levered rusher reach chest struggle length also show run game causing overextend need better use hip leverage run blocker need show better finish sustain skill scout want see mean streak game look clean pulling always hit target,"{'neg': 0.108, 'neu': 0.767, 'pos': 0.125, 'compound': -0.0772}","{'neg': 0.026, 'neu': 0.857, 'pos': 0.117, 'compound': 0.4939}","{'neg': 0.108, 'neu': 0.647, 'pos': 0.246, 'compound': 0.9201}",0.108,0.767,0.125,-0.0772,0.026,0.857,0.117,0.4939,0.108,0.647,0.246,0.9201
88.0,JAWAAN TAYLOR,2019,OT,"Wide framed and his 312 pounds is well distributed agile lower body and handles space well flashes the reaction quickness to adjust on the
fly aggressive extension and heavy handed to drive rushers wide of the pocket shows the movement skills to execute combinations  climb and cut off pursuing
linebackers has the play strength to dominate in a phone booth rolls his hips into contact with the upper body power to stun his target blocks with a mean streak
to overwhelm defenders works hard to stay conditioned and keep his weight under control starting experience at both tackle spots 
 76 ","Late hands and wild placement abandons his knee bend early in the block  putting his body posture in an upright alignment straight legged in pass
protection oversets outside and leaves his inside shoulder susceptible choppy steps as a drive blocker and needs to clean up his technique diagnosed with a  mild
distal hamstring strain   February 2019  and missed the scouting combine sat out the first series of the 2018 season opener for  failing to meet expectations  ",jawaan taylor,jawaan taylor-OT,41665.0,jawaan taylor,OT,-0.03256130465197946,wide framed pound well distributed agile lower body handle space well flash reaction quickness adjust fly aggressive extension heavy handed drive rusher wide pocket show movement skill execute combination climb cut pursuing linebacker play strength dominate phone booth roll hip contact upper body power stun target block mean streak overwhelm defender work hard stay conditioned keep weight control starting experience tackle spot,late hand wild placement abandon knee bend early block putting body posture upright alignment straight legged pas protection oversets outside leaf inside shoulder susceptible choppy step drive blocker need clean technique diagnosed mild distal hamstring strain february missed scouting combine sat first series season opener failing meet expectation,wide framed pound well distributed agile lower body handle space well flash reaction quickness adjust fly aggressive extension heavy handed drive rusher wide pocket show movement skill execute combination climb cut pursuing linebacker play strength dominate phone booth roll hip contact upper body power stun target block mean streak overwhelm defender work hard stay conditioned keep weight control starting experience tackle spot late hand wild placement abandon knee bend early block putting body posture upright alignment straight legged pas protection oversets outside leaf inside shoulder susceptible choppy step drive blocker need clean technique diagnosed mild distal hamstring strain february missed scouting combine sat first series season opener failing meet expectation,"{'neg': 0.113, 'neu': 0.785, 'pos': 0.101, 'compound': 0.1779}","{'neg': 0.143, 'neu': 0.802, 'pos': 0.055, 'compound': -0.743}","{'neg': 0.192, 'neu': 0.667, 'pos': 0.141, 'compound': -0.5994}",0.113,0.785,0.101,0.1779,0.143,0.802,0.055,-0.743,0.192,0.667,0.141,-0.5994
89.0,CODY FORD,2019,OT,"Broad shouldered  big boned frame with proportionate thickness wide base and large wingspan moves well for his size and didn t lose the corner on
tape balanced in his pass sets with the lateral quickness to lock down inside outside speed quick eyes and reaction skills doesn t give ground when he stays
square heavy handed to punch and steer strong grip to physically move defenders from lanes looks natural when pulling mobility to work up a level on combos 
using his length to reach linebackers and divert their course instigator with a nasty streak  blocking through the echo of the whistle graduated with a degree in
criminology  December 2018  starting experience at tackle and guard ","Disappointing testing numbers plays upright in his stance with little knee bend hands stay low and stuck in his holster too long  allowing defenders
to strike first inconsistent punch timing mid kick slide forgets his feet at times  relying on his reach inconsistent body angles and can be caught
leaning athleticism to easily detach in space  but he needs to do a better job keying second level defenders and handling moving objects missed almost all of 2016
and a few games in 2017 after breaking the fibula in his left leg  September 2016   requiring surgery ",cody ford,cody ford-OT,39805.0,cody ford,OT,-0.05317557892615643,broad shouldered big boned frame proportionate thickness wide base large wingspan move well size lose corner tape balanced pas set lateral quickness lock inside outside speed quick eye reaction skill give ground stay square heavy handed punch steer strong grip physically move defender lane look natural pulling mobility work level combo using length reach linebacker divert course instigator nasty streak blocking echo whistle graduated degree criminology december starting experience tackle guard,disappointing testing number play upright stance little knee bend hand stay low stuck holster long allowing defender strike first inconsistent punch timing mid kick slide forgets foot time relying reach inconsistent body angle caught leaning athleticism easily detach space need better job keying second level defender handling moving object missed almost game breaking fibula left leg september requiring surgery,broad shouldered big boned frame proportionate thickness wide base large wingspan move well size lose corner tape balanced pas set lateral quickness lock inside outside speed quick eye reaction skill give ground stay square heavy handed punch steer strong grip physically move defender lane look natural pulling mobility work level combo using length reach linebacker divert course instigator nasty streak blocking echo whistle graduated degree criminology december starting experience tackle guard disappointing testing number play upright stance little knee bend hand stay low stuck holster long allowing defender strike first inconsistent punch timing mid kick slide forgets foot time relying reach inconsistent body angle caught leaning athleticism easily detach space need better job keying second level defender handling moving object missed almost game breaking fibula left leg september requiring surgery,"{'neg': 0.073, 'neu': 0.843, 'pos': 0.084, 'compound': -0.1531}","{'neg': 0.09, 'neu': 0.805, 'pos': 0.105, 'compound': 0.128}","{'neg': 0.128, 'neu': 0.703, 'pos': 0.169, 'compound': 0.3262}",0.073,0.843,0.084,-0.1531,0.09,0.805,0.105,0.128,0.128,0.703,0.169,0.3262
90.0,GREG LITTLE,2019,OT,"Wide  athletic base balanced knee bender and naturally carries his 310 pounds lateral movement skills to cut off speed maintains low pad level to
anchor and stymie rushers outstanding body control from head to toe  allowing him to recover after a false step relaxed but eager to punch and get his long arms
into the frame of rushers nice job on combinations  working in unison and passing off defenders gets the job done on down blocks  creating movement with his
upper body when he unloads his power durable and finished his college career with 29 straight starts at left tackle ","Finesse blocker and needs to add more glass to his diet wild hand placement and timing mid kick slide undeveloped counter measures and late to
react to pass rush moves aggressively overextends himself and loses balance slow to work around road blocks as a puller tends to overrun second level blocks and
needs to better break down in space streaky play from tape to tape  looking like a first rounder in some games and a fifth rounder on others ",greg little,greg little-OT,46254.0,greg little,OT,-0.03615903426868124,wide athletic base balanced knee bender naturally carry pound lateral movement skill cut speed maintains low pad level anchor stymie rusher outstanding body control head toe allowing recover false step relaxed eager punch get long arm frame rusher nice job combination working unison passing defender get job done block creating movement upper body unloads power durable finished college career straight start left tackle,finesse blocker need add glass diet wild hand placement timing mid kick slide undeveloped counter measure late react pas rush move aggressively overextends loses balance slow work around road block puller tends overrun second level block need better break space streaky play tape tape looking like first rounder game fifth rounder others,wide athletic base balanced knee bender naturally carry pound lateral movement skill cut speed maintains low pad level anchor stymie rusher outstanding body control head toe allowing recover false step relaxed eager punch get long arm frame rusher nice job combination working unison passing defender get job done block creating movement upper body unloads power durable finished college career straight start left tackle finesse blocker need add glass diet wild hand placement timing mid kick slide undeveloped counter measure late react pas rush move aggressively overextends loses balance slow work around road block puller tends overrun second level block need better break space streaky play tape tape looking like first rounder game fifth rounder others,"{'neg': 0.048, 'neu': 0.79, 'pos': 0.161, 'compound': 0.9136}","{'neg': 0.096, 'neu': 0.778, 'pos': 0.126, 'compound': 0.5574}","{'neg': 0.122, 'neu': 0.676, 'pos': 0.202, 'compound': 0.8885}",0.048,0.79,0.161,0.9136,0.096,0.778,0.126,0.5574,0.122,0.676,0.202,0.8885
91.0,KALEB MCGARY,2019,OT,"NFL frame with athletic muscle tone quick out of his stance and comfortable on his feet flexible joints to stay balanced at contact aggressive
handwork and competes with a nasty attitude efficient on combination blocks and works well in tandem uses his reach to latch and displace creates surge as a run
blocker to drive defenders wide mentally and physically tough and accustomed to overcoming adversity graduated with a degree in communication  December
2018  durable and started 43 straight games at right tackle ","Top heavy and allows his base to narrow at contact sub 33 inch arms wandering punch  exposing his chest and giving up his body technique breaks
down vs  speed  overextending at the waist marginal balance in a phone booth needs to better achieve angles in the run game diagnosed with a heart arrhythmia
 atrial fibrillation  as a junior in high school  which required three surgeries  not a career threatening condition but something that requires monitoring  played only
right tackle in college ",kaleb mcgary,kaleb mcgary-OT,46912.0,kaleb mcgary,OT,0.0008135966892558119,nfl frame athletic muscle tone quick stance comfortable foot flexible joint stay balanced contact aggressive handwork competes nasty attitude efficient combination block work well tandem us reach latch displace creates surge run blocker drive defender wide mentally physically tough accustomed overcoming adversity graduated degree communication december durable started straight game right tackle,top heavy allows base narrow contact sub inch arm wandering punch exposing chest giving body technique break speed overextending waist marginal balance phone booth need better achieve angle run game diagnosed heart arrhythmia atrial fibrillation junior high school required three surgery career threatening condition something requires monitoring played right tackle college,nfl frame athletic muscle tone quick stance comfortable foot flexible joint stay balanced contact aggressive handwork competes nasty attitude efficient combination block work well tandem us reach latch displace creates surge run blocker drive defender wide mentally physically tough accustomed overcoming adversity graduated degree communication december durable started straight game right tackle top heavy allows base narrow contact sub inch arm wandering punch exposing chest giving body technique break speed overextending waist marginal balance phone booth need better achieve angle run game diagnosed heart arrhythmia atrial fibrillation junior high school required three surgery career threatening condition something requires monitoring played right tackle college,"{'neg': 0.12, 'neu': 0.706, 'pos': 0.174, 'compound': 0.4767}","{'neg': 0.019, 'neu': 0.86, 'pos': 0.122, 'compound': 0.7571}","{'neg': 0.14, 'neu': 0.656, 'pos': 0.204, 'compound': 0.6369}",0.12,0.706,0.174,0.4767,0.019,0.86,0.122,0.7571,0.14,0.656,0.204,0.6369
92.0,MAX SCHARPING,2019,OT,"Coordinated shuffle in his pass sets sinks his hips and sits in his stance to handle bull rushers resets well to stay square walks the fine line of being
patient while also staying aggressive with his punch grip strength to lock down edge rushers  see 2018 Florida State tape vs  Brian Burns  rolls his hips and runs his
feet to create movement in the run game comfortable pulling through gaps quick to set his hands  turn defenders and plant his flag  opening run lanes sees the
field well and understands what the defense is doing graduated with his undergraduate degree in kinesiology and recently completed his master s degree
 December 2018  durable and started all 53 games the past four seasons  playing all 998 offensive snaps in 2018 ","Inconsistent pass pro depth only average foot quickness and arm length when protecting the corner bad habit of bending at the waist to cut off edge
speed  falling off balance tends to be late with his hands  allowing rushers to reach his chest inefficient on combination blocks with inconsistent results picking up
second level defenders not a mauler in the run game and hands lack shock battled through a left hamstring injury during the pre draft process ",max scharping,max scharping-OT,,,,-0.05,coordinated shuffle pas set sink hip sits stance handle bull rusher reset well stay square walk fine line patient also staying aggressive punch grip strength lock edge rusher see florida state tape brian burn roll hip run foot create movement run game comfortable pulling gap quick set hand turn defender plant flag opening run lane see field well understands defense graduated undergraduate degree kinesiology recently completed master degree december durable started game past four season playing offensive snap,inconsistent pas pro depth average foot quickness arm length protecting corner bad habit bending waist cut edge speed falling balance tends late hand allowing rusher reach chest inefficient combination block inconsistent result picking second level defender mauler run game hand lack shock battled left hamstring injury pre draft process,coordinated shuffle pas set sink hip sits stance handle bull rusher reset well stay square walk fine line patient also staying aggressive punch grip strength lock edge rusher see florida state tape brian burn roll hip run foot create movement run game comfortable pulling gap quick set hand turn defender plant flag opening run lane see field well understands defense graduated undergraduate degree kinesiology recently completed master degree december durable started game past four season playing offensive snap inconsistent pas pro depth average foot quickness arm length protecting corner bad habit bending waist cut edge speed falling balance tends late hand allowing rusher reach chest inefficient combination block inconsistent result picking second level defender mauler run game hand lack shock battled left hamstring injury pre draft process,"{'neg': 0.033, 'neu': 0.83, 'pos': 0.137, 'compound': 0.891}","{'neg': 0.22, 'neu': 0.752, 'pos': 0.028, 'compound': -0.9393}","{'neg': 0.155, 'neu': 0.648, 'pos': 0.197, 'compound': 0.5859}",0.033,0.83,0.137,0.891,0.22,0.752,0.028,-0.9393,0.155,0.648,0.197,0.5859
93.0,YODNY CAJUSTE,2019,OT,"Wide based frame with long levers quick feet and lateral quickness to protect the edge coordinated body control to play inside out aggressive reach
and long arms to slow the momentum of rushers unleashes a nasty punch when looking to finish shows the mobility to block at the numbers or climb and put
linebackers on skates intense  physical mentality appears to come natural graduated with his degree in multidisciplinary studies  December 2017  worked hard to
go from 215 pounds as a high school junior to his current 312 pounds ","Light footed but lower body is more rigid than fluid NFL power will rock him unless he develops better knee bend and leverage bad habit of lunging
and losing his balance wide  erratic hands and wears a large  welcome  sign on his chest needs to cut down on the holding penalties inconsistent awareness and
needs to improve his body angles competes with an edge but needs to keep his emotions in check medicals will be paramount after pre draft surgery to repair his
left quad muscle  March 2019  also has a history of knee issues  suffered a torn ACL  September 2016  and required season ending surgery  missed six games as a
redshirt freshman due to a knee sprain  October 2015  ",yodny cajuste,yodny cajuste-OT,46297.0,yodny cajuste,OT,-0.005368133585489898,wide based frame long lever quick foot lateral quickness protect edge coordinated body control play inside aggressive reach long arm slow momentum rusher unleashes nasty punch looking finish show mobility block number climb put linebacker skate intense physical mentality appears come natural graduated degree multidisciplinary study december worked hard pound high school junior current pound,light footed lower body rigid fluid nfl power rock unless develops better knee bend leverage bad habit lunging losing balance wide erratic hand wear large welcome sign chest need cut holding penalty inconsistent awareness need improve body angle competes edge need keep emotion check medical paramount pre draft surgery repair left quad muscle march also history knee issue suffered torn acl september required season ending surgery missed six game redshirt freshman due knee sprain october,wide based frame long lever quick foot lateral quickness protect edge coordinated body control play inside aggressive reach long arm slow momentum rusher unleashes nasty punch looking finish show mobility block number climb put linebacker skate intense physical mentality appears come natural graduated degree multidisciplinary study december worked hard pound high school junior current pound light footed lower body rigid fluid nfl power rock unless develops better knee bend leverage bad habit lunging losing balance wide erratic hand wear large welcome sign chest need cut holding penalty inconsistent awareness need improve body angle competes edge need keep emotion check medical paramount pre draft surgery repair left quad muscle march also history knee issue suffered torn acl september required season ending surgery missed six game redshirt freshman due knee sprain october,"{'neg': 0.098, 'neu': 0.801, 'pos': 0.102, 'compound': -0.1531}","{'neg': 0.18, 'neu': 0.737, 'pos': 0.083, 'compound': -0.9134}","{'neg': 0.196, 'neu': 0.66, 'pos': 0.143, 'compound': -0.8225}",0.098,0.801,0.102,-0.1531,0.18,0.737,0.083,-0.9134,0.196,0.66,0.143,-0.8225
94.0,DENNIS DALEY,2019,OT,"Owns an NFL body with workable length light footed for his size smooth hips and bends well in pass protection physical swipe move in his pass sets
to knock down the reach of rushers engulfs and rolls his hips at contact in the run game heavy handed to jolt when in correct position to land his punch battletested and competes through the whistle graduated with a degree in Interdisciplinary Studies  December 2018  reserved but resilient  working through two years
of military school before landing at South Carolina ","Tends to overset with tall pads  too easily losing his balance in pass protection bad habit of stopping his feet at contact inconsistent punch timing 
allowing rushers to catch him forward lunging wide hands and irregular placement  struggling to control savvy rushers needs to add glass to his diet and match the
nastiness of defenders only has experience at left tackle missed one game as a senior due to an ankle injury  October 2018  ",dennis daley,dennis daley-OT,60063.0,dennis daley,OT,-0.052709946464546055,owns nfl body workable length light footed size smooth hip bend well pas protection physical swipe move pas set knock reach rusher engulfs roll hip contact run game heavy handed jolt correct position land punch battletested competes whistle graduated degree interdisciplinary study december reserved resilient working two year military school landing south carolina,tends overset tall pad easily losing balance pas protection bad habit stopping foot contact inconsistent punch timing allowing rusher catch forward lunging wide hand irregular placement struggling control savvy rusher need add glass diet match nastiness defender experience left tackle missed one game senior due ankle injury october,owns nfl body workable length light footed size smooth hip bend well pas protection physical swipe move pas set knock reach rusher engulfs roll hip contact run game heavy handed jolt correct position land punch battletested competes whistle graduated degree interdisciplinary study december reserved resilient working two year military school landing south carolina tends overset tall pad easily losing balance pas protection bad habit stopping foot contact inconsistent punch timing allowing rusher catch forward lunging wide hand irregular placement struggling control savvy rusher need add glass diet match nastiness defender experience left tackle missed one game senior due ankle injury october,"{'neg': 0.0, 'neu': 0.97, 'pos': 0.03, 'compound': 0.1531}","{'neg': 0.206, 'neu': 0.75, 'pos': 0.043, 'compound': -0.9169}","{'neg': 0.151, 'neu': 0.762, 'pos': 0.087, 'compound': -0.8126}",0.0,0.97,0.03,0.1531,0.206,0.75,0.043,-0.9169,0.151,0.762,0.087,-0.8126
95.0,TREY PIPKINS,2019,OT,"NFL frame with long arms efficient lower body shuffle to reach and hook the edge bends well at the knees to slow bull rushers uncoils his long arms
to meet rushers with his hands rolls his hips into contact to control the point of attack mobility to quickly gain proper positioning in the run game flashes a nasty
streak and appeared to develop more of an edge from his junior to senior tape graduated with a degree in sports management  2018  team captain and wellrespected by his teammates and coaches ","Needs to get stronger plays heavy on the front of his feet  leaning on blocks undeveloped from a fundamental standpoint  specifically with his hand
placement flashes inline power but needs to improve his body posture and pad level to consistently create movement occasionally forgets his feet  relying on his
upper half to do all the work starts strong and physical but tends to wear down mid rep played only tackle in college inexperienced against top competition and
on the big stage  never played a football game in front of more than a few thousand fans  ",trey pipkins,trey pipkins-OT,91462.0,trey pipkins,OT,-0.02005807284055461,nfl frame long arm efficient lower body shuffle reach hook edge bend well knee slow bull rusher uncoils long arm meet rusher hand roll hip contact control point attack mobility quickly gain proper positioning run game flash nasty streak appeared develop edge junior senior tape graduated degree sport management team captain wellrespected teammate coach,need get stronger play heavy front foot leaning block undeveloped fundamental standpoint specifically hand placement flash inline power need improve body posture pad level consistently create movement occasionally forgets foot relying upper half work start strong physical tends wear mid rep played tackle college inexperienced top competition big stage never played football game front thousand fan,nfl frame long arm efficient lower body shuffle reach hook edge bend well knee slow bull rusher uncoils long arm meet rusher hand roll hip contact control point attack mobility quickly gain proper positioning run game flash nasty streak appeared develop edge junior senior tape graduated degree sport management team captain wellrespected teammate coach need get stronger play heavy front foot leaning block undeveloped fundamental standpoint specifically hand placement flash inline power need improve body posture pad level consistently create movement occasionally forgets foot relying upper half work start strong physical tends wear mid rep played tackle college inexperienced top competition big stage never played football game front thousand fan,"{'neg': 0.09, 'neu': 0.816, 'pos': 0.095, 'compound': -0.128}","{'neg': 0.013, 'neu': 0.758, 'pos': 0.229, 'compound': 0.9694}","{'neg': 0.084, 'neu': 0.646, 'pos': 0.27, 'compound': 0.969}",0.09,0.816,0.095,-0.128,0.013,0.758,0.229,0.9694,0.084,0.646,0.27,0.969
