Column1,Name,Nic_year,Position,Strengths,Weaknesses,player_x,join_slug,player_id,player_y,position,WAR,strengths_processed,weaknesses_processed,combined_text,strengths_sentiment,weaknesses_sentiment,combined_sentiment,strengths_neg,strengths_neu,strengths_pos,strengths_compound,weaknesses_neg,weaknesses_neu,weaknesses_pos,weaknesses_compound,combined_neg,combined_neu,combined_pos,combined_compound,similar_1_name,similar_2_name,similar_3_name,similar_4_name,similar_5_name,similar_1_score,similar_2_score,similar_3_score,similar_4_score,similar_5_score,join_slug_1,WAR_1,join_slug_2,WAR_2,join_slug_3,WAR_3,join_slug_4,WAR_4,join_slug_5,WAR_5,max_similarity,prediction
,NASIR ADDERLY,2019,S,"ornerback athleticism with quick feet and fluid change of directionoutstanding drive quickness and closing speedflashes an extra gear to cover the
sidelineinstinctive and quick to sort and reactdisplays the ball skills of a former wide receiver  nine interceptions the past two seasons magnet to the ball in run
defensestrong hands to finish tackles in the open fieldcompetes with an edge and the required toughness for the position  bouncing back from physical
hitsadded return duties to his resume  including a highlight reel 92 yard touchdown return as a seniorextensive experience at every position in the secondary with
top intangibles ","Shredded physique  but lacks ideal bulk and growth potential for the positioninconsistent in press man due to impatient feetfluid mover  but lacks
natural explosion to easily recover from a false stepneeds to keep his vision in the right placehis aggressive playstyle tends to backfire  falling for ball fakes and eye
manipulationwill occasionally throw his shoulder instead of wrapping as a tacklerlimited experience against top tier competition ",nasir adderly,nasir adderly-S,,,,-0.05,ornerback athleticism quick foot fluid change directionoutstanding drive quickness closing speedflashes extra gear cover sidelineinstinctive quick sort reactdisplays ball skill former wide receiver nine interception past two season magnet ball run defensestrong hand finish tackle open fieldcompetes edge required toughness position bouncing back physical hitsadded return duty resume including highlight reel yard touchdown return seniorextensive experience every position secondary top intangible,shredded physique lack ideal bulk growth potential positioninconsistent press man due impatient feetfluid mover lack natural explosion easily recover false stepneeds keep vision right placehis aggressive playstyle tends backfire falling ball fake eye manipulationwill occasionally throw shoulder instead wrapping tacklerlimited experience top tier competition,ornerback athleticism quick foot fluid change directionoutstanding drive quickness closing speedflashes extra gear cover sidelineinstinctive quick sort reactdisplays ball skill former wide receiver nine interception past two season magnet ball run defensestrong hand finish tackle open fieldcompetes edge required toughness position bouncing back physical hitsadded return duty resume including highlight reel yard touchdown return seniorextensive experience every position secondary top intangible shredded physique lack ideal bulk growth potential positioninconsistent press man due impatient feetfluid mover lack natural explosion easily recover false stepneeds keep vision right placehis aggressive playstyle tends backfire falling ball fake eye manipulationwill occasionally throw shoulder instead wrapping tacklerlimited experience top tier competition,"{'neg': 0.012, 'neu': 0.945, 'pos': 0.043, 'compound': 0.4588}","{'neg': 0.124, 'neu': 0.648, 'pos': 0.229, 'compound': 0.8674}","{'neg': 0.114, 'neu': 0.71, 'pos': 0.176, 'compound': 0.8316}",0.012,0.945,0.043,0.4588,0.124,0.648,0.229,0.8674,0.114,0.71,0.176,0.8316,lukas denis-S,iman marshall-S,terrell burgess-S,ugo amadi-S,christian uphoff-S,0.4385,0.3616,0.3357,0.3227,0.3158,lukas denis-S,-0.05,iman marshall-S,-0.05,terrell burgess-S,-0.007226413927950769,ugo amadi-S,-0.05,christian uphoff-S,-0.05,1.7743000000000002,-0.04190717869335123
,TAYLOR RAPP,2019,S,"Highly intelligent and quick to diagnoseunderstands football geometry and doesnt misjudge anglesshort area quickness to cleanly redirect his
momentumexcellent closing burst vs  the runcontrolled tackler  squaring his target  staying low and finishing with strong handsaccurate strike zone to create
stopping power at contactfearless and willingly sticks his nose in the firemaneuvers through congestion without creating a 12 car pile upactive blitzerphysical
to the ball in coverageextra effort and toughing out injuries are standard for himdouble digit starts each of his three seasons in college","Below average timed speednot twitchy and lacks elite range or make up speedneeds to improve his pedal and transition techniquemore of a
battering ram downhill and needs to better use his hands to work off contactsuffered a hip injury in the Pac 12 Championship Game  December 2018  and had to sit
out the Rose Bowl against Ohio Statesuffered a hairline fracture in his left hand  March 2016 ",taylor rapp,taylor rapp-S,51172.0,taylor rapp,S,0.006947805620874482,highly intelligent quick diagnoseunderstands football geometry doesnt misjudge anglesshort area quickness cleanly redirect momentumexcellent closing burst runcontrolled tackler squaring target staying low finishing strong handsaccurate strike zone create stopping power contactfearless willingly stick nose firemaneuvers congestion without creating car pile upactive blitzerphysical ball coverageextra effort toughing injury standard himdouble digit start three season college,average timed speednot twitchy lack elite range make speedneeds improve pedal transition techniquemore battering ram downhill need better use hand work contactsuffered hip injury pac championship game december sit rose bowl ohio statesuffered hairline fracture left hand march,highly intelligent quick diagnoseunderstands football geometry doesnt misjudge anglesshort area quickness cleanly redirect momentumexcellent closing burst runcontrolled tackler squaring target staying low finishing strong handsaccurate strike zone create stopping power contactfearless willingly stick nose firemaneuvers congestion without creating car pile upactive blitzerphysical ball coverageextra effort toughing injury standard himdouble digit start three season college average timed speednot twitchy lack elite range make speedneeds improve pedal transition techniquemore battering ram downhill need better use hand work contactsuffered hip injury pac championship game december sit rose bowl ohio statesuffered hairline fracture left hand march,"{'neg': 0.093, 'neu': 0.813, 'pos': 0.094, 'compound': 0.4775}","{'neg': 0.038, 'neu': 0.801, 'pos': 0.161, 'compound': 0.8442}","{'neg': 0.142, 'neu': 0.654, 'pos': 0.205, 'compound': 0.8835}",0.093,0.813,0.094,0.4775,0.038,0.801,0.161,0.8442,0.142,0.654,0.205,0.8835,james wiggins-S,darius west-S,marquise blair-S,tariq carpenter-S,malik mustapha-S,0.315,0.2996,0.2924,0.2267,0.2184,james wiggins-S,-0.05,darius west-S,-0.05,marquise blair-S,-0.0020791084579471885,tariq carpenter-S,-0.001952534981590144,malik mustapha-S,0.0014603353650599741,1.3521,-0.023268718104948703
,JOHNATHAN ABRAM,2019,S,"Good looking athlete and fills out his uniform welldoesnt lack for play speed or physicality and looks like a missile making cross field stopsplays with
a touch of insanity and closes with thumpadequate field vision and reaction skills to identify things quicklyclean pedal and change of direction when asked to play
man coverageflies down the field with violent intentions on special teams coveragespowers through blocks as a blitzerconsidered one of the team leaders on the
field and behind the scenesgraduated with his degree in business and marketing  December 2018  ","Overaggressive pursuit leads to off balance and missed tackle attempts in spaceinconsistent strike zone  corralling high or chopping lowbad habit of
leading with his helmet  going for the blow up hit instead of the sure tackleinconsistent hand use near the line of scrimmage and can be taken out of playshas the
athleticism for man coverage  but gets grabby and shows marginal instincts  especially with his back to the balldoesnt have a feel for spacing and the quarterback
will attack him when left alone in single coveragephysical play leads to durability concerns  shoulder injury was flagged during Senior Bowl medicals",johnathan abram,johnathan abram-S,34646.0,johnathan abram,S,-0.054637354193698764,good looking athlete fill uniform welldoesnt lack play speed physicality look like missile making cross field stopsplays touch insanity close thumpadequate field vision reaction skill identify thing quicklyclean pedal change direction asked play man coverageflies field violent intention special team coveragespowers block blitzerconsidered one team leader field behind scenesgraduated degree business marketing december,overaggressive pursuit lead balance missed tackle attempt spaceinconsistent strike zone corralling high chopping lowbad habit leading helmet going blow hit instead sure tackleinconsistent hand use near line scrimmage taken playshas athleticism man coverage get grabby show marginal instinct especially back balldoesnt feel spacing quarterback attack left alone single coveragephysical play lead durability concern shoulder injury flagged senior bowl medical,good looking athlete fill uniform welldoesnt lack play speed physicality look like missile making cross field stopsplays touch insanity close thumpadequate field vision reaction skill identify thing quicklyclean pedal change direction asked play man coverageflies field violent intention special team coveragespowers block blitzerconsidered one team leader field behind scenesgraduated degree business marketing december overaggressive pursuit lead balance missed tackle attempt spaceinconsistent strike zone corralling high chopping lowbad habit leading helmet going blow hit instead sure tackleinconsistent hand use near line scrimmage taken playshas athleticism man coverage get grabby show marginal instinct especially back balldoesnt feel spacing quarterback attack left alone single coveragephysical play lead durability concern shoulder injury flagged senior bowl medical,"{'neg': 0.115, 'neu': 0.74, 'pos': 0.145, 'compound': 0.2732}","{'neg': 0.12, 'neu': 0.818, 'pos': 0.062, 'compound': -0.7469}","{'neg': 0.173, 'neu': 0.666, 'pos': 0.161, 'compound': -0.3818}",0.115,0.74,0.145,0.2732,0.12,0.818,0.062,-0.7469,0.173,0.666,0.161,-0.3818,percy butler-S,jalen pitre-S,christopher smith-S,jacoby stevens-S,andrew wingard-S,0.4334,0.4115,0.4101,0.3393,0.3155,percy butler-S,-0.038553102938229056,jalen pitre-S,0.018658398775710027,christopher smith-S,-0.05,jacoby stevens-S,-0.05,andrew wingard-S,0.016808726642763158,1.9097999999999997,-0.021571803571804393
234.0,CHAUNCEY GARDNERJOHNSON,2019,S,"Fluid snap and step action and immediately finds his balance flies out of his stance to reach the defensive tackle and cut off gap penetrators agile
footed and easily advances to the second level to remove linebackers from the play quick to turn and seal run lanes nice job replacing his large hands to tie up
interior rushers three time Academic All ACC honoree and that intelligence translates to the field  displaying excellent field vision and anticipation called a  student
of the game  by his coaches added 50 plus pounds since high school and known as a relentless worker in the weight room voted a senior captain graduated with a
degree in operations management  December 2017  starting experience at guard and notched 900 plus snaps each of the last two seasons at center ","Doesn t have ideal length and will be caught grabbing lacks ideal sand in his pants and power momentum will bully him backward on his heels not a
road grader in the run game and might not fit every scheme missed 2015 spring due to shoulder surgery ",chauncey gardnerjohnson,chauncey gardnerjohnson-S,49371.0,chauncey gardnerjohnson,S,0.004659957846085883,fluid snap step action immediately find balance fly stance reach defensive tackle cut gap penetrator agile footed easily advance second level remove linebacker play quick turn seal run lane nice job replacing large hand tie interior rusher three time academic acc honoree intelligence translates field displaying excellent field vision anticipation called student game coach added plus pound since high school known relentless worker weight room voted senior captain graduated degree operation management december starting experience guard notched plus snap last two season center,ideal length caught grabbing lack ideal sand pant power momentum bully backward heel road grader run game might fit every scheme missed spring due shoulder surgery,fluid snap step action immediately find balance fly stance reach defensive tackle cut gap penetrator agile footed easily advance second level remove linebacker play quick turn seal run lane nice job replacing large hand tie interior rusher three time academic acc honoree intelligence translates field displaying excellent field vision anticipation called student game coach added plus pound since high school known relentless worker weight room voted senior captain graduated degree operation management december starting experience guard notched plus snap last two season center ideal length caught grabbing lack ideal sand pant power momentum bully backward heel road grader run game might fit every scheme missed spring due shoulder surgery,"{'neg': 0.015, 'neu': 0.816, 'pos': 0.169, 'compound': 0.9531}","{'neg': 0.138, 'neu': 0.737, 'pos': 0.125, 'compound': 0.0747}","{'neg': 0.072, 'neu': 0.659, 'pos': 0.269, 'compound': 0.9719}",0.015,0.816,0.169,0.9531,0.138,0.737,0.125,0.0747,0.072,0.659,0.269,0.9719,darrick forrest-S,khaleke hudson-S,james wiggins-S,brandon jones-S,jalen pitre-S,0.3515,0.3326,0.2938,0.2102,0.2026,darrick forrest-S,0.0046755453648089805,khaleke hudson-S,-0.05,james wiggins-S,-0.05,brandon jones-S,-0.00898124750156319,jalen pitre-S,0.018658398775710027,1.3906999999999998,-0.019978580885265964
235.0,JUAN THORNHILL,2019,S,"Long  rangy size smooth shuffle and clean redirection in space comfortable in man to man  using physicality and contact balance to attach and ride
patterns recognizes route concepts and has the diagnosis abilities of a former quarterback flashes the reaction quickness to drive and undercut routes aboveaverage tracking  judgement and ball skills  his 13 career interceptions rank sixth best in school history  averaged 13 6 yards per interception return
 13 177 0  doesn t lack for toughness as a tackler and takes proper pursuit angles graduated with his bachelor s degree  December 2018  versatile experience
with 36 starts spread between cornerback  22  and safety  14  ","Lanky and lacks a prototypical build for an NFL safety lacks twitchy turn and run skills not a burner inconsistent take on skills downhill doesn t
back down as a tackler  but arrives hot and needs to improve his strike zone overly patient with his reads and would like to see him take more chances grabby
downfield  attracting holding calls ",juan thornhill,juan thornhill-S,50426.0,juan thornhill,S,0.05364736574949155,long rangy size smooth shuffle clean redirection space comfortable man man using physicality contact balance attach ride pattern recognizes route concept diagnosis ability former quarterback flash reaction quickness drive undercut route aboveaverage tracking judgement ball skill career interception rank sixth best school history averaged yard per interception return lack toughness tackler take proper pursuit angle graduated bachelor degree december versatile experience start spread cornerback safety,lanky lack prototypical build nfl safety lack twitchy turn run skill burner inconsistent take skill downhill back tackler arrives hot need improve strike zone overly patient read would like see take chance grabby downfield attracting holding call,long rangy size smooth shuffle clean redirection space comfortable man man using physicality contact balance attach ride pattern recognizes route concept diagnosis ability former quarterback flash reaction quickness drive undercut route aboveaverage tracking judgement ball skill career interception rank sixth best school history averaged yard per interception return lack toughness tackler take proper pursuit angle graduated bachelor degree december versatile experience start spread cornerback safety lanky lack prototypical build nfl safety lack twitchy turn run skill burner inconsistent take skill downhill back tackler arrives hot need improve strike zone overly patient read would like see take chance grabby downfield attracting holding call,"{'neg': 0.032, 'neu': 0.833, 'pos': 0.136, 'compound': 0.91}","{'neg': 0.026, 'neu': 0.74, 'pos': 0.234, 'compound': 0.933}","{'neg': 0.077, 'neu': 0.695, 'pos': 0.228, 'compound': 0.9638}",0.032,0.833,0.136,0.91,0.026,0.74,0.234,0.933,0.077,0.695,0.228,0.9638,lukas denis-S,darnell savage-S,terrell burgess-S,marquise blair-S,ardarius washington-S,0.5399,0.3469,0.329,0.2805,0.2798,lukas denis-S,-0.05,darnell savage-S,0.0011838043834481587,terrell burgess-S,-0.007226413927950769,marquise blair-S,-0.0020791084579471885,ardarius washington-S,-0.05,1.7761,-0.02451158063404753
236.0,DEIONTE THOMPSON,2019,S,"Tall  long frame rangy and covers a lot of real estate excellent drive quickness  closing on routes clean footwork and hip action in his pedal makes
athletic adjustments on the football natural ball skills and timing reads the quarterback and trusts what he sees aggressive hands to get physical at the top of
routes or fight off blocks physical in run defense  looking to wrap and drive fearless running the alley and plants ballcarriers in the hole studious player coaches
have to kick him out of the film room graduated with a degree in environmental science  August 2018  ","Lean limbed and lacks ideal body armor inconsistent eye discipline and can be caught out of position guilty of false steps late to diagnose route
combinations at the snap inconsistent habits as a run defender leads to missed tackles struggles to calm his feet and come to balance on the move limited
experience as a blitzer character isn t considered an issue  but he was arrested  April 2017  and indicted on one count of felony aggravated assault for his role in a
spring break fight  but the charges were later dropped  February 2019  suffered a torn wrist ligament and required surgery  February 2019   sidelining him for the
NFL combine ",deionte thompson,deionte thompson-S,25444.0,deionte thompson,S,-0.011072951312647742,tall long frame rangy cover lot real estate excellent drive quickness closing route clean footwork hip action pedal make athletic adjustment football natural ball skill timing read quarterback trust see aggressive hand get physical top route fight block physical run defense looking wrap drive fearless running alley plant ballcarriers hole studious player coach kick film room graduated degree environmental science august,lean limbed lack ideal body armor inconsistent eye discipline caught position guilty false step late diagnose route combination snap inconsistent habit run defender lead missed tackle struggle calm foot come balance move limited experience blitzer character considered issue arrested april indicted one count felony aggravated assault role spring break fight charge later dropped february suffered torn wrist ligament required surgery february sidelining nfl combine,tall long frame rangy cover lot real estate excellent drive quickness closing route clean footwork hip action pedal make athletic adjustment football natural ball skill timing read quarterback trust see aggressive hand get physical top route fight block physical run defense looking wrap drive fearless running alley plant ballcarriers hole studious player coach kick film room graduated degree environmental science august lean limbed lack ideal body armor inconsistent eye discipline caught position guilty false step late diagnose route combination snap inconsistent habit run defender lead missed tackle struggle calm foot come balance move limited experience blitzer character considered issue arrested april indicted one count felony aggravated assault role spring break fight charge later dropped february suffered torn wrist ligament required surgery february sidelining nfl combine,"{'neg': 0.055, 'neu': 0.78, 'pos': 0.165, 'compound': 0.9022}","{'neg': 0.285, 'neu': 0.677, 'pos': 0.038, 'compound': -0.9866}","{'neg': 0.237, 'neu': 0.591, 'pos': 0.171, 'compound': -0.875}",0.055,0.78,0.165,0.9022,0.285,0.677,0.038,-0.9866,0.237,0.591,0.171,-0.875,marte mapu-S,jared mayden-S,richie grant-S,demarcco hellams-S,grant delpit-S,0.4472,0.3783,0.3565,0.3157,0.3128,marte mapu-S,-0.007870250149360674,jared mayden-S,-0.004093555830889885,richie grant-S,-0.05,demarcco hellams-S,0.002081625178187123,grant delpit-S,0.01775710973452959,1.8105,-0.009213794556147587
237.0,DARNELL SAVAGE,2019,S,"Sudden athlete with twitchy reflexes exceptional click and close burst to drive on throws understands combination routes with heightened awareness
to developing plays excellent range as a run defender throws his body around as a tackler  with strong hands to make ankle tackles knack for avoiding road blocks
mid pursuit adequate ball skills and set a career best with four interceptions  one returned for a touchdown  as a senior competes through the whistle and rarely
leaves the field  started the final 29 games of his career   also playing on special teams team captain and coaches speak highly of his workmanship attitude ","Undersized frame and length with limited growth potential marginal point of attack strength can get boxed out by large framed receivers often
plays too aggressive in the run game  not breaking down or slowing his momentum to finish too much of a hugger with inconsistent tacking technique and strike
zone bites on misdirection and fakes  abandoning his post better feel for inside routes than outside breaking patterns didn t have great ball production ",darnell savage,darnell savage-S,34247.0,darnell savage,S,0.0011838043834481587,sudden athlete twitchy reflex exceptional click close burst drive throw understands combination route heightened awareness developing play excellent range run defender throw body around tackler strong hand make ankle tackle knack avoiding road block mid pursuit adequate ball skill set career best four interception one returned touchdown senior competes whistle rarely leaf field started final game career also playing special team team captain coach speak highly workmanship attitude,undersized frame length limited growth potential marginal point attack strength get boxed large framed receiver often play aggressive run game breaking slowing momentum finish much hugger inconsistent tacking technique strike zone bite misdirection fake abandoning post better feel inside route outside breaking pattern great ball production,sudden athlete twitchy reflex exceptional click close burst drive throw understands combination route heightened awareness developing play excellent range run defender throw body around tackler strong hand make ankle tackle knack avoiding road block mid pursuit adequate ball skill set career best four interception one returned touchdown senior competes whistle rarely leaf field started final game career also playing special team team captain coach speak highly workmanship attitude undersized frame length limited growth potential marginal point attack strength get boxed large framed receiver often play aggressive run game breaking slowing momentum finish much hugger inconsistent tacking technique strike zone bite misdirection fake abandoning post better feel inside route outside breaking pattern great ball production,"{'neg': 0.039, 'neu': 0.773, 'pos': 0.189, 'compound': 0.9403}","{'neg': 0.15, 'neu': 0.656, 'pos': 0.194, 'compound': 0.7096}","{'neg': 0.125, 'neu': 0.597, 'pos': 0.278, 'compound': 0.9729}",0.039,0.773,0.189,0.9403,0.15,0.656,0.194,0.7096,0.125,0.597,0.278,0.9729,ardarius washington-S,terrell burgess-S,brian branch-S,lukas denis-S,lewis cine-S,0.5204,0.4538,0.4528,0.3797,0.3592,ardarius washington-S,-0.05,terrell burgess-S,-0.007226413927950769,brian branch-S,-0.05,lukas denis-S,-0.05,lewis cine-S,-0.0009933804672834891,2.1659,-0.03291064633840541
238.0,AMANI HOOKER,2019,S,"Thick  well put together frame  especially in his legs and thighs controlled mover and rarely false steps quick to sort things out with above average
instincts takes calculated angles vs  the pass and the run  finding the quickest route from A to B reliable open field tackler and strikes through his target finds an
extra gear when he looks to close excellent read react skills to identify  leverage or undercut routes finds the ball in flight and has knack for timing always ball
searching  before and after the catch versatile experience with starts at free safety  strong safety and hybrid SAM linebacker ","Ordinary athleticism and long speed movements lack any semblance of burst struggles to close the gap once receivers gain a step limited man
coverage abilities vs  vertical slot doesn t have the play range to properly cover both sidelines from single high alignment not scheme diverse missed three games
as a sophomore with a leg injury  November 2017  ",amani hooker,amani hooker-S,51378.0,amani hooker,S,0.04502726591803088,thick well put together frame especially leg thigh controlled mover rarely false step quick sort thing average instinct take calculated angle pas run finding quickest route reliable open field tackler strike target find extra gear look close excellent read react skill identify leverage undercut route find ball flight knack timing always ball searching catch versatile experience start free safety strong safety hybrid sam linebacker,ordinary athleticism long speed movement lack semblance burst struggle close gap receiver gain step limited man coverage ability vertical slot play range properly cover sideline single high alignment scheme diverse missed three game sophomore leg injury november,thick well put together frame especially leg thigh controlled mover rarely false step quick sort thing average instinct take calculated angle pas run finding quickest route reliable open field tackler strike target find extra gear look close excellent read react skill identify leverage undercut route find ball flight knack timing always ball searching catch versatile experience start free safety strong safety hybrid sam linebacker ordinary athleticism long speed movement lack semblance burst struggle close gap receiver gain step limited man coverage ability vertical slot play range properly cover sideline single high alignment scheme diverse missed three game sophomore leg injury november,"{'neg': 0.022, 'neu': 0.819, 'pos': 0.159, 'compound': 0.9382}","{'neg': 0.146, 'neu': 0.706, 'pos': 0.149, 'compound': 0.0485}","{'neg': 0.104, 'neu': 0.687, 'pos': 0.209, 'compound': 0.9337}",0.022,0.819,0.159,0.9382,0.146,0.706,0.149,0.0485,0.104,0.687,0.209,0.9337,mark webb-S,kitan oladapo-S,tariq carpenter-S,terrell burgess-S,anthony johnson-S,0.5609,0.5355,0.4371,0.4285,0.3998,mark webb-S,-0.0023816993334090228,kitan oladapo-S,-6.263809369647967e-05,tariq carpenter-S,-0.001952534981590144,terrell burgess-S,-0.007226413927950769,anthony johnson-S,-0.009665836928713908,2.3618,-0.0038884794935910585
239.0,MIKE EDWARDS,2019,S,"Fluid athlete to flip his hips and stay balanced mid transition adequate range for the position rarely allows himself to be beaten over the top trusts
his vision and has a feel for route combinations posted 10 career interceptions  with 146 return yards and two touchdowns  takes accurate angles to the football in
run support active blitzer  skimming blocks to make backfield stops excellent tackle production  318   ranking second best in Kentucky history among defensive
backs durable and his coaches speak highly of his toughness two year team captain and graduated with a bachelor s degree  December 2018  ","Average size and build for the position lacks the recovery burst or finishing speed to cut off vertical routes choppy pedal in reverse resorts to
grabbing when he panics often plays too deep and allows excess spacing in front of him needs to widen his vision doesn t explode as a hitter needs to shore up
his tackling mechanics in motion to avoid misses downhill suffered a broken right thumb  January 2019  at the Senior Bowl ",mike edwards,mike edwards-S,51282.0,mike edwards,S,-0.014149108732796851,fluid athlete flip hip stay balanced mid transition adequate range position rarely allows beaten top trust vision feel route combination posted career interception return yard two touchdown take accurate angle football run support active blitzer skimming block make backfield stop excellent tackle production ranking second best kentucky history among defensive back durable coach speak highly toughness two year team captain graduated bachelor degree december,average size build position lack recovery burst finishing speed cut vertical route choppy pedal reverse resort grabbing panic often play deep allows excess spacing front need widen vision explode hitter need shore tackling mechanic motion avoid miss downhill suffered broken right thumb january senior bowl,fluid athlete flip hip stay balanced mid transition adequate range position rarely allows beaten top trust vision feel route combination posted career interception return yard two touchdown take accurate angle football run support active blitzer skimming block make backfield stop excellent tackle production ranking second best kentucky history among defensive back durable coach speak highly toughness two year team captain graduated bachelor degree december average size build position lack recovery burst finishing speed cut vertical route choppy pedal reverse resort grabbing panic often play deep allows excess spacing front need widen vision explode hitter need shore tackling mechanic motion avoid miss downhill suffered broken right thumb january senior bowl,"{'neg': 0.079, 'neu': 0.716, 'pos': 0.205, 'compound': 0.9353}","{'neg': 0.182, 'neu': 0.77, 'pos': 0.047, 'compound': -0.886}","{'neg': 0.184, 'neu': 0.616, 'pos': 0.2, 'compound': 0.5183}",0.079,0.716,0.205,0.9353,0.182,0.77,0.047,-0.886,0.184,0.616,0.2,0.5183,damar hamlin-S,ashtyn davis-S,tykee smith-S,kvon wallace-S,quan martin-S,0.4462,0.3302,0.3215,0.3201,0.2526,damar hamlin-S,-0.022271495682515147,ashtyn davis-S,-0.002919087924688226,tykee smith-S,-0.05,kvon wallace-S,0.0064897431976758384,quan martin-S,-0.05,1.6706,-0.02246441841775067
240.0,MALIK GANT,2019,S,"Above average play speed and covers ground balanced athlete with adequate redirection skills in man coverage looks comfortable running with
receivers vertically excellent drive reflexes  reading the eyes of the quarterback and attacking looks to tune up his target  exploding into contact with apt
timing low  controlled hits  putting his helmet into the midsection of the receiver and cutting him in half speedy angles and ankle flexion to avoid blocks on
screens gets physical at the top of routes highly productive the past two seasons and was voted the team s MVP in 2018 ","Lean  slender frame  lacking ideal body armor instincts run hot cold overaggressive in his movements  attacking before reading transition looks stiff
when flipping his hips marginal ball skills and not a proven playmaker when the ball is in the air only average play strength and sticks to blocks mid pursuit more of
a hitter than technically sound wrap up tackler  leading to misses in 1 on 1 opportunities ",malik gant,malik gant-S,,,,-0.05,average play speed cover ground balanced athlete adequate redirection skill man coverage look comfortable running receiver vertically excellent drive reflex reading eye quarterback attacking look tune target exploding contact apt timing low controlled hit putting helmet midsection receiver cutting half speedy angle ankle flexion avoid block screen get physical top route highly productive past two season voted team mvp,lean slender frame lacking ideal body armor instinct run hot cold overaggressive movement attacking reading transition look stiff flipping hip marginal ball skill proven playmaker ball air average play strength stick block mid pursuit hitter technically sound wrap tackler leading miss opportunity,average play speed cover ground balanced athlete adequate redirection skill man coverage look comfortable running receiver vertically excellent drive reflex reading eye quarterback attacking look tune target exploding contact apt timing low controlled hit putting helmet midsection receiver cutting half speedy angle ankle flexion avoid block screen get physical top route highly productive past two season voted team mvp lean slender frame lacking ideal body armor instinct run hot cold overaggressive movement attacking reading transition look stiff flipping hip marginal ball skill proven playmaker ball air average play strength stick block mid pursuit hitter technically sound wrap tackler leading miss opportunity,"{'neg': 0.1, 'neu': 0.777, 'pos': 0.123, 'compound': 0.5267}","{'neg': 0.09, 'neu': 0.756, 'pos': 0.154, 'compound': 0.7003}","{'neg': 0.15, 'neu': 0.656, 'pos': 0.194, 'compound': 0.7717}",0.1,0.777,0.123,0.5267,0.09,0.756,0.154,0.7003,0.15,0.656,0.194,0.7717,grant delpit-S,jalen elliott-S,andrew wingard-S,verone mckinley-S,jaylon carlies-S,0.4576,0.3853,0.3817,0.3594,0.3498,grant delpit-S,0.01775710973452959,jalen elliott-S,-0.0026430045174491625,andrew wingard-S,0.016808726642763158,verone mckinley-S,0.0070802652843794875,jaylon carlies-S,-0.05,1.9337999999999997,-0.0007354214103339213
