Column1,Name,Nic_year,Position,Strengths,Weaknesses,player_x,join_slug,player_id,player_y,position,WAR,strengths_processed,weaknesses_processed,combined_text,strengths_sentiment,weaknesses_sentiment,combined_sentiment,strengths_neg,strengths_neu,strengths_pos,strengths_compound,weaknesses_neg,weaknesses_neu,weaknesses_pos,weaknesses_compound,combined_neg,combined_neu,combined_pos,combined_compound,similar_1_name,similar_2_name,similar_3_name,similar_4_name,similar_5_name,similar_1_score,similar_2_score,similar_3_score,similar_4_score,similar_5_score,join_slug_1,WAR_1,join_slug_2,WAR_2,join_slug_3,WAR_3,join_slug_4,WAR_4,join_slug_5,WAR_5,max_similarity,prediction
71.0,TJ HOCKENSON,2019,TE,"Above average athleticism natural pass catching abilities with his body control  reflexes and hand eye coordination reliable hands clean releases off
the line of scrimmage sticks his foot in the ground and accelerates off his plant to press defenders off the route finds the sticks and achieves proper depth in his
patterns legitimate downfield threat  averaged 11 5 yards per target in 2018  ambitious after the catch  flashing tackle breaking skills  seven catches of 30 plus
yards in 2018  outstanding finisher as a blocker latches  runs his feet and drives his target off the screen competitive appetite and wired right for the pro
game productive and durable career in Iowa City ","Doesn t have ideal size and bulk for the position overeager at times as a blocker and can get tossed when he arrives off balance bad habit of ducking
his head into initial contact tends to rush his routes at times and needs to better set up sitting defenders ",tj hockenson,tj hockenson-TE,40912.0,tj hockenson,TE,0.09946494672347866,average athleticism natural pas catching ability body control reflex hand eye coordination reliable hand clean release line scrimmage stick foot ground accelerates plant press defender route find stick achieves proper depth pattern legitimate downfield threat averaged yard per target ambitious catch flashing tackle breaking skill seven catch plus yard outstanding finisher blocker latch run foot drive target screen competitive appetite wired right pro game productive durable career iowa city,ideal size bulk position overeager time blocker get tossed arrives balance bad habit ducking head initial contact tends rush route time need better set sitting defender,average athleticism natural pas catching ability body control reflex hand eye coordination reliable hand clean release line scrimmage stick foot ground accelerates plant press defender route find stick achieves proper depth pattern legitimate downfield threat averaged yard per target ambitious catch flashing tackle breaking skill seven catch plus yard outstanding finisher blocker latch run foot drive target screen competitive appetite wired right pro game productive durable career iowa city ideal size bulk position overeager time blocker get tossed arrives balance bad habit ducking head initial contact tends rush route time need better set sitting defender,"{'neg': 0.027, 'neu': 0.807, 'pos': 0.165, 'compound': 0.9337}","{'neg': 0.065, 'neu': 0.795, 'pos': 0.14, 'compound': 0.4767}","{'neg': 0.058, 'neu': 0.677, 'pos': 0.266, 'compound': 0.9678}",0.027,0.807,0.165,0.9337,0.065,0.795,0.14,0.4767,0.058,0.677,0.266,0.9678,harrison bryant-TE,isaac nauta-TE,colby parkinson-TE,tommy tremble-TE,chigoziem okonkwo-TE,0.254,0.235,0.2296,0.2053,0.1964,harrison bryant-TE,-0.08314284157510285,isaac nauta-TE,-0.005813828056908144,colby parkinson-TE,-0.022838801233925815,tommy tremble-TE,-0.13359585202496682,chigoziem okonkwo-TE,0.06698486976907521,1.1203,-0.037489708216404724
72.0,NOAH FANT,2019,TE,"Gifted athlete with twitchy muscles and springs in his calves owns the speed to stack defenders and stretch out the seam vertically fluid body control
at the top of routes  using a secondary burst to snap out of breaks or create late separation sells double moves and corner routes quickly enters his route to win off
the snap tracks the ball well and makes athletic adjustments on erratic throws makes plays on vertical patterns  responsible for a 68 yard catch in 2018  which was
Iowa s longest play of the season  balanced blocker and runs his feet at contact to move edge defenders outstanding end zone production  scoring a touchdown
every 4 1 catches in college  scored 10 touchdowns on 16 red zone targets the past two seasons  ","Added 30 pounds since high school but still needs time to add bulk consistently late at the snap routes require polish lowers his pads as a ball
carrier  but he s not a tackle breaker focus can be disrupted by impending contact  61 percent catch rate in 2018  average play strength as both a receiver and
blocker doesn t have the limb or hand strength to sustain  leading to grabbing needs to better utilize angles in the run game head coach Kirk Ferentz calls Fant a
 high character guy   but scouts say he has some  diva  qualities to him ",noah fant,noah fant-TE,42388.0,noah fant,TE,0.15913458565792182,gifted athlete twitchy muscle spring calf owns speed stack defender stretch seam vertically fluid body control top route using secondary burst snap break create late separation sell double move corner route quickly enters route win snap track ball well make athletic adjustment erratic throw make play vertical pattern responsible yard catch iowa longest play season balanced blocker run foot contact move edge defender outstanding end zone production scoring touchdown every catch college scored touchdown red zone target past two season,added pound since high school still need time add bulk consistently late snap route require polish lower pad ball carrier tackle breaker focus disrupted impending contact percent catch rate average play strength receiver blocker limb hand strength sustain leading grabbing need better utilize angle run game head coach kirk ferentz call fant high character guy scout say diva quality,gifted athlete twitchy muscle spring calf owns speed stack defender stretch seam vertically fluid body control top route using secondary burst snap break create late separation sell double move corner route quickly enters route win snap track ball well make athletic adjustment erratic throw make play vertical pattern responsible yard catch iowa longest play season balanced blocker run foot contact move edge defender outstanding end zone production scoring touchdown every catch college scored touchdown red zone target past two season added pound since high school still need time add bulk consistently late snap route require polish lower pad ball carrier tackle breaker focus disrupted impending contact percent catch rate average play strength receiver blocker limb hand strength sustain leading grabbing need better utilize angle run game head coach kirk ferentz call fant high character guy scout say diva quality,"{'neg': 0.0, 'neu': 0.829, 'pos': 0.171, 'compound': 0.959}","{'neg': 0.016, 'neu': 0.801, 'pos': 0.183, 'compound': 0.9643}","{'neg': 0.013, 'neu': 0.751, 'pos': 0.236, 'compound': 0.9854}",0.0,0.829,0.171,0.959,0.016,0.801,0.183,0.9643,0.013,0.751,0.236,0.9854,brevyn spannford-TE,greg dulcich-TE,kahale warring-TE,jalen wydermyer-TE,quintin morris-TE,0.5322,0.3848,0.3427,0.3077,0.3006,brevyn spannford-TE,-0.029871166682179633,greg dulcich-TE,-0.013626014179753232,kahale warring-TE,-0.007153821726864129,jalen wydermyer-TE,-0.05,quintin morris-TE,-0.06292331607702271,1.868,-0.030991482164440257
73.0,KAHALE WARRING,2019,TE,"Large  toned frame clean releases and quickly accelerates off the line of scrimmage sinks at the top of routes  efficiently transferring his weight in out
of breaks soft hands and athletic hand eye coordination to finish throws outside his framework averaged one touchdown every 6 4 catches at SDST strong pointof attack blocker to control the edge and spring outside runs rolls into blocks with a strong punch quiets his feet and breaks down well as an on the move blocker 
staying balanced in space added 50 pounds to his frame since high school innately motivated with a coachable personality ","Inexperienced and still learning the game unpolished routes and needs to better set up defenders at the break point only average separation
quickness defenders are too easily able to slow his routes minimal YAC threat on film with minimal broken tackles occasionally late to find fastballs eager blocker 
but doesn t consistently sustain and needs to improve his hand placement only five career starts with mediocre production ",kahale warring,kahale warring-TE,37213.0,kahale warring,TE,-0.007153821726864129,large toned frame clean release quickly accelerates line scrimmage sink top route efficiently transferring weight break soft hand athletic hand eye coordination finish throw outside framework averaged one touchdown every catch sdst strong pointof attack blocker control edge spring outside run roll block strong punch quiet foot break well move blocker staying balanced space added pound frame since high school innately motivated coachable personality,inexperienced still learning game unpolished route need better set defender break point average separation quickness defender easily able slow route minimal yac threat film minimal broken tackle occasionally late find fastball eager blocker consistently sustain need improve hand placement five career start mediocre production,large toned frame clean release quickly accelerates line scrimmage sink top route efficiently transferring weight break soft hand athletic hand eye coordination finish throw outside framework averaged one touchdown every catch sdst strong pointof attack blocker control edge spring outside run roll block strong punch quiet foot break well move blocker staying balanced space added pound frame since high school innately motivated coachable personality inexperienced still learning game unpolished route need better set defender break point average separation quickness defender easily able slow route minimal yac threat film minimal broken tackle occasionally late find fastball eager blocker consistently sustain need improve hand placement five career start mediocre production,"{'neg': 0.044, 'neu': 0.76, 'pos': 0.195, 'compound': 0.9442}","{'neg': 0.055, 'neu': 0.739, 'pos': 0.206, 'compound': 0.8625}","{'neg': 0.088, 'neu': 0.618, 'pos': 0.295, 'compound': 0.9764}",0.044,0.76,0.195,0.9442,0.055,0.739,0.206,0.8625,0.088,0.618,0.295,0.9764,kaden smith-TE,noah fant-TE,zach gentry-TE,dax raymond-TE,greg dulcich-TE,0.4369,0.3427,0.3029,0.2798,0.2718,kaden smith-TE,-0.06915247851711187,noah fant-TE,0.15913458565792182,zach gentry-TE,-0.04607418264895505,dax raymond-TE,-0.05,greg dulcich-TE,-0.013626014179753232,1.6341,-0.004483639885919947
74.0,JOSH OLIVER,2019,TE,"Good looking athlete with a defined frame massive hands and accepts the ball well adjusts and makes full extension grabs look routine smooth
change of direction athlete and runs well for the position shifts his gears well as a route runner his coaches call him an  enthusiastic  blocker  staying balanced to
be reliable inline cleaned up his nutrition  dedicated himself in the weight room and transformed his body  San Jose State head coach Brent Brennan   He s one of
the best players I ve ever been around regarding how they go about their business  Totally committed    senior captain productive senior season  finishing second
in the FBS in receptions  56  among tight ends  despite San Jose State having three quarterbacks start multiple games  ","Smooth athlete  but not sudden in out of breaks  limiting his separation skills routes can be too easily disrupted by physical defenders added new
patterns each season  but his route tree is still blooming needs to cut down on the drops  54 percent catch rate  inconsistent results on contested throws only one
red zone touchdown to his name only average finishing strength as a blocker lacks the burst out of his stance to slow edge rushers in pass pro caught leaning and
will get tossed ",josh oliver,josh oliver-TE,47083.0,josh oliver,TE,0.008833502149270086,good looking athlete defined frame massive hand accepts ball well adjusts make full extension grab look routine smooth change direction athlete run well position shift gear well route runner coach call enthusiastic blocker staying balanced reliable inline cleaned nutrition dedicated weight room transformed body san jose state head coach brent brennan one best player ever around regarding business totally committed senior captain productive senior season finishing second fbs reception among tight end despite san jose state three quarterback start multiple game,smooth athlete sudden break limiting separation skill route easily disrupted physical defender added new pattern season route tree still blooming need cut drop percent catch rate inconsistent result contested throw one red zone touchdown name average finishing strength blocker lack burst stance slow edge rusher pas pro caught leaning get tossed,good looking athlete defined frame massive hand accepts ball well adjusts make full extension grab look routine smooth change direction athlete run well position shift gear well route runner coach call enthusiastic blocker staying balanced reliable inline cleaned nutrition dedicated weight room transformed body san jose state head coach brent brennan one best player ever around regarding business totally committed senior captain productive senior season finishing second fbs reception among tight end despite san jose state three quarterback start multiple game smooth athlete sudden break limiting separation skill route easily disrupted physical defender added new pattern season route tree still blooming need cut drop percent catch rate inconsistent result contested throw one red zone touchdown name average finishing strength blocker lack burst stance slow edge rusher pas pro caught leaning get tossed,"{'neg': 0.0, 'neu': 0.818, 'pos': 0.182, 'compound': 0.9694}","{'neg': 0.029, 'neu': 0.874, 'pos': 0.097, 'compound': 0.7351}","{'neg': 0.041, 'neu': 0.739, 'pos': 0.22, 'compound': 0.9776}",0.0,0.818,0.182,0.9694,0.029,0.874,0.097,0.7351,0.041,0.739,0.22,0.9776,quintin morris-TE,jared wiley-TE,luke musgrave-TE,stephen sullivan-TE,chigoziem okonkwo-TE,0.464,0.4111,0.3707,0.2913,0.2812,quintin morris-TE,-0.06292331607702271,jared wiley-TE,-0.005951266392203848,luke musgrave-TE,-0.002609745766778148,stephen sullivan-TE,-0.05,chigoziem okonkwo-TE,0.06698486976907521,1.8183000000000002,-0.015585586344527442
75.0,KADEN SMITH,2019,TE,"Ready made size and bulk for the next level large hands and strong to the football  attacking high and away from defenders above average hand eye
coordination and tracking skills  also an impressive juggler  efficient quickness at the top of routes to maintain speed out of his cuts always in attack mode  working
back to the ball finds soft spots in the defense comfortable in a crowd clean acceleration off the snap to threaten the vertical seam high effort blocker shields
well in pass protection and as a run blocker with the balanced feet to hold up in space ","Not an explosive mover or leaper physical finisher but not a tackle breaker or consistent YAC threat only two touchdowns in 2018 and not a proven
red zone threat  two catches  zero scores in the red zone in 2018  needs to load more ammo into his punch to decisively extend and drive defenders needs to
improve his blocking technique to better sustain missed the final three games with a foot injury  November 2018   tore his ACL and MCL playing basketball his senior
year in high school  requiring surgery  January 2016  ",kaden smith,kaden smith-TE,40973.0,kaden smith,TE,-0.06915247851711187,ready made size bulk next level large hand strong football attacking high away defender average hand eye coordination tracking skill also impressive juggler efficient quickness top route maintain speed cut always attack mode working back ball find soft spot defense comfortable crowd clean acceleration snap threaten vertical seam high effort blocker shield well pas protection run blocker balanced foot hold space,explosive mover leaper physical finisher tackle breaker consistent yac threat two touchdown proven red zone threat two catch zero score red zone need load ammo punch decisively extend drive defender need improve blocking technique better sustain missed final three game foot injury november tore acl mcl playing basketball senior year high school requiring surgery january,ready made size bulk next level large hand strong football attacking high away defender average hand eye coordination tracking skill also impressive juggler efficient quickness top route maintain speed cut always attack mode working back ball find soft spot defense comfortable crowd clean acceleration snap threaten vertical seam high effort blocker shield well pas protection run blocker balanced foot hold space explosive mover leaper physical finisher tackle breaker consistent yac threat two touchdown proven red zone threat two catch zero score red zone need load ammo punch decisively extend drive defender need improve blocking technique better sustain missed final three game foot injury november tore acl mcl playing basketball senior year high school requiring surgery january,"{'neg': 0.09, 'neu': 0.679, 'pos': 0.23, 'compound': 0.9313}","{'neg': 0.174, 'neu': 0.703, 'pos': 0.122, 'compound': -0.8271}","{'neg': 0.161, 'neu': 0.573, 'pos': 0.266, 'compound': 0.9118}",0.09,0.679,0.23,0.9313,0.174,0.703,0.122,-0.8271,0.161,0.573,0.266,0.9118,james mitchell-TE,kahale warring-TE,zach gentry-TE,john bates-TE,isaiah likely-TE,0.5245,0.4369,0.418,0.3439,0.3398,james mitchell-TE,-0.008918750376472396,kahale warring-TE,-0.007153821726864129,zach gentry-TE,-0.04607418264895505,john bates-TE,-0.10219628085781701,isaiah likely-TE,0.15305912448710932,2.0631,-0.004943147747793829
76.0,DREW SAMPLE,2019,TE,"Prototypical size for the position rolls into blocks and stays balanced at contact stays square in pass pro and keeps his punch alive to knock down
hands and run rushers wide of the pocket able to stun and seal defensive ends  opening outside run lanes soft hands with very few drops on film tracks the ball
well over his shoulder and makes proper adjustments improvises well with his scrambling quarterback married and considered a mature player  Huskies tight ends
coach Jordan Paopao   Every single day he is the model of what it should look like    ","Below average production and usage as a pass catcher  35 targets in 2018  dull at the top of routes restricted route tree on film  running mostly
crossers and simple sit down patterns can get pinballed in his release off the line limited after the catch and a beat late transitioning to a ball carrier doesn t offer
any explosive or elusive moves as a runner controlled but not overpowering as a blocker missed three games as a junior with a leg injury  September 2017  ",drew sample,drew sample-TE,47259.0,drew sample,TE,-0.09926724427306849,prototypical size position roll block stay balanced contact stay square pas pro keep punch alive knock hand run rusher wide pocket able stun seal defensive end opening outside run lane soft hand drop film track ball well shoulder make proper adjustment improvises well scrambling quarterback married considered mature player husky tight end coach jordan paopao every single day model look like,average production usage pas catcher target dull top route restricted route tree film running mostly crossers simple sit pattern get pinballed release line limited catch beat late transitioning ball carrier offer explosive elusive move runner controlled overpowering blocker missed three game junior leg injury september,prototypical size position roll block stay balanced contact stay square pas pro keep punch alive knock hand run rusher wide pocket able stun seal defensive end opening outside run lane soft hand drop film track ball well shoulder make proper adjustment improvises well scrambling quarterback married considered mature player husky tight end coach jordan paopao every single day model look like average production usage pas catcher target dull top route restricted route tree film running mostly crossers simple sit pattern get pinballed release line limited catch beat late transitioning ball carrier offer explosive elusive move runner controlled overpowering blocker missed three game junior leg injury september,"{'neg': 0.019, 'neu': 0.852, 'pos': 0.129, 'compound': 0.8519}","{'neg': 0.14, 'neu': 0.843, 'pos': 0.017, 'compound': -0.8481}","{'neg': 0.134, 'neu': 0.7, 'pos': 0.166, 'compound': 0.4939}",0.019,0.852,0.129,0.8519,0.14,0.843,0.017,-0.8481,0.134,0.7,0.166,0.4939,quintin morris-TE,josiah deguara-TE,hunter long-TE,pro wells-TE,ben mason-TE,0.3489,0.3146,0.245,0.2156,0.2119,quintin morris-TE,-0.06292331607702271,josiah deguara-TE,-0.062114933020224194,hunter long-TE,-0.0012442130560612157,pro wells-TE,-0.05,ben mason-TE,-0.05,1.3359999999999999,-0.047286777774079906
77.0,TREVON WESCO,2019,TE,"Angular  brawny frame with long arms battering ram as a blocker shocks the chest of defenders with his hands and drives his legs aggressive appetite
required for a lead blocking role quickly accelerates into his routes competes with a  my ball  mentality to overpower defenders mid air steady hands and focus 
finishing away from his body physical after the catch with eight of his 26 catches in 2018 going for 20 plus yards graduated with his degree in multidisciplinary
studies  August 2018  proven position flexibility at fullback and tight end ","Thrives on adrenaline  getting out of control with his blocking angles at times hand placement requires added consistency landmark route runner
and doesn t show much tempo or nuance in his patterns one year starter doesn t have a large sample size as a pass catcher with only 42 combined targets the last
five seasons at JUCO and WVU the ball routinely beats his hands to catch point  forcing him to spear instead of accepting it history of knee issues  missing the
second half of his senior year  2013  and his sophomore season  2015  at Lackawanna ",trevon wesco,trevon wesco-TE,42018.0,trevon wesco,TE,-0.020555838443949075,angular brawny frame long arm battering ram blocker shock chest defender hand drive leg aggressive appetite required lead blocking role quickly accelerates route competes ball mentality overpower defender mid air steady hand focus finishing away body physical catch eight catch going plus yard graduated degree multidisciplinary study august proven position flexibility fullback tight end,thrives adrenaline getting control blocking angle time hand placement requires added consistency landmark route runner show much tempo nuance pattern one year starter large sample size pas catcher combined target last five season juco wvu ball routinely beat hand catch point forcing spear instead accepting history knee issue missing second half senior year sophomore season lackawanna,angular brawny frame long arm battering ram blocker shock chest defender hand drive leg aggressive appetite required lead blocking role quickly accelerates route competes ball mentality overpower defender mid air steady hand focus finishing away body physical catch eight catch going plus yard graduated degree multidisciplinary study august proven position flexibility fullback tight end thrives adrenaline getting control blocking angle time hand placement requires added consistency landmark route runner show much tempo nuance pattern one year starter large sample size pas catcher combined target last five season juco wvu ball routinely beat hand catch point forcing spear instead accepting history knee issue missing second half senior year sophomore season lackawanna,"{'neg': 0.073, 'neu': 0.873, 'pos': 0.054, 'compound': -0.4215}","{'neg': 0.049, 'neu': 0.88, 'pos': 0.072, 'compound': 0.3182}","{'neg': 0.09, 'neu': 0.741, 'pos': 0.169, 'compound': 0.8519}",0.073,0.873,0.054,-0.4215,0.049,0.88,0.072,0.3182,0.09,0.741,0.169,0.8519,armani rogers-TE,jeremy ruckert-TE,luke musgrave-TE,kenny yeboah-TE,ben mason-TE,0.2979,0.237,0.23,0.2298,0.2224,armani rogers-TE,0.004637806833536241,jeremy ruckert-TE,-0.05366608117474401,luke musgrave-TE,-0.002609745766778148,kenny yeboah-TE,-0.014726473309310678,ben mason-TE,-0.05,1.2170999999999998,-0.02172512010150559
78.0,FOSTER MOREAU,2019,TE,"Accelerates smoothly off the line to enter his routes flashes natural hands maintains focus with bodies around him doesn t play sudden out of his
breaks but there is little wasted motion in his plant and go competitive blocker and works hard to finish uses his hands to sustain in pass protection graduated
with a degree in sports administration  December 2018  team captain with off the charts football character durable  starting all 26 games the last two seasons ","Doesn t play as fast as he tested not a deceptive route runner and his patterns lack complexity limited creator after the catch his film doesn t show
a sizable catch radius to consistently extend highpoint can be blown backward or pinballed off the snap needs to develop his base technique in pass pro to avoid
getting rag dolled mediocre career catch production ",foster moreau,foster moreau-TE,47043.0,foster moreau,TE,-0.015476216272168556,accelerates smoothly line enter route flash natural hand maintains focus body around play sudden break little wasted motion plant competitive blocker work hard finish us hand sustain pas protection graduated degree sport administration december team captain chart football character durable starting game last two season,play fast tested deceptive route runner pattern lack complexity limited creator catch film show sizable catch radius consistently extend highpoint blown backward pinballed snap need develop base technique pas pro avoid getting rag dolled mediocre career catch production,accelerates smoothly line enter route flash natural hand maintains focus body around play sudden break little wasted motion plant competitive blocker work hard finish us hand sustain pas protection graduated degree sport administration december team captain chart football character durable starting game last two season play fast tested deceptive route runner pattern lack complexity limited creator catch film show sizable catch radius consistently extend highpoint blown backward pinballed snap need develop base technique pas pro avoid getting rag dolled mediocre career catch production,"{'neg': 0.067, 'neu': 0.866, 'pos': 0.067, 'compound': -0.2407}","{'neg': 0.099, 'neu': 0.837, 'pos': 0.064, 'compound': -0.3182}","{'neg': 0.108, 'neu': 0.719, 'pos': 0.173, 'compound': 0.7501}",0.067,0.866,0.067,-0.2407,0.099,0.837,0.064,-0.3182,0.108,0.719,0.173,0.7501,caleb wilson-TE,adam trautman-TE,thaddeus moss-TE,tommy sweeney-TE,hunter long-TE,0.3425,0.3408,0.3216,0.2997,0.2945,caleb wilson-TE,0.0028866069065623325,adam trautman-TE,-0.03848148728201472,thaddeus moss-TE,-0.05,tommy sweeney-TE,-0.03726849275714888,hunter long-TE,-0.0012442130560612157,1.5991000000000002,-0.024852489540704497
79.0,ISAAC NAUTA,2019,TE,"Well proportioned frame and looks like an NFL tight end accelerates well in the open field natural receiving traits to adjust and snare throws outside
his frame soft  reliable hands with a sky high 85 7 percent catch rate in 2018  30 catches on 35 targets  runs routes to proper depth and finds the sticks not a
strong sustain blocker but jolts and slows his man competes with the grit necessary to hold up in the trenches enough size to seal edge defenders his coaches
trusted him in pass protection ","Average route athleticism stiffness in his hips and core show when attempting to uncover vs  man tips his route path and needs to better sink into
his breaks needs to introduce more diversity in his patterns to force defenders off balance tends to overextend as a blocker and savvy defenders will capitalize on
his over aggressive nature pedestrian production  especially in the red zone  only three red zone targets in 2018  ",isaac nauta,isaac nauta-TE,47119.0,isaac nauta,TE,-0.005813828056908144,well proportioned frame look like nfl tight end accelerates well open field natural receiving trait adjust snare throw outside frame soft reliable hand sky high percent catch rate catch target run route proper depth find stick strong sustain blocker jolt slows man competes grit necessary hold trench enough size seal edge defender coach trusted pas protection,average route athleticism stiffness hip core show attempting uncover man tip route path need better sink break need introduce diversity pattern force defender balance tends overextend blocker savvy defender capitalize aggressive nature pedestrian production especially red zone three red zone target,well proportioned frame look like nfl tight end accelerates well open field natural receiving trait adjust snare throw outside frame soft reliable hand sky high percent catch rate catch target run route proper depth find stick strong sustain blocker jolt slows man competes grit necessary hold trench enough size seal edge defender coach trusted pas protection average route athleticism stiffness hip core show attempting uncover man tip route path need better sink break need introduce diversity pattern force defender balance tends overextend blocker savvy defender capitalize aggressive nature pedestrian production especially red zone three red zone target,"{'neg': 0.02, 'neu': 0.851, 'pos': 0.13, 'compound': 0.81}","{'neg': 0.022, 'neu': 0.903, 'pos': 0.075, 'compound': 0.4404}","{'neg': 0.014, 'neu': 0.756, 'pos': 0.23, 'compound': 0.9652}",0.02,0.851,0.13,0.81,0.022,0.903,0.075,0.4404,0.014,0.756,0.23,0.9652,tommy tremble-TE,tj hockenson-TE,kaden smith-TE,hunter bryant-TE,zach gentry-TE,0.2507,0.235,0.183,0.1806,0.1738,tommy tremble-TE,-0.13359585202496682,tj hockenson-TE,0.09946494672347866,kaden smith-TE,-0.06915247851711187,hunter bryant-TE,0.006840307449175739,zach gentry-TE,-0.04607418264895505,1.0231,-0.028878364392865237
80.0,ALIZE MACK,2019,TE,"Athletically skilled quickly enters routes with easy acceleration to threaten every level linebackers struggle to match his speed agile footed and
balanced to open up at the top of routes catches well in stride to be a YAC threat flashes the ability to extend and make contested grabs hand eye coordination to
track and highpoint on the move set career bests in 2018 ","Inconsistent hands with a high volume of drops on his tape primitive route runner with little deception or tempo able to snap out of breaks but
doesn t do it consistently  drifting and appearing dull marginal blocking skills and can be exposed in space on the edge grabby hands will draw holding
penalties struggles with tough coaching multiple immature moments over his collegiate career  including a 2016 season long suspension after his GPA fell below
2 0  also suspended for the 2017 Citrus Bowl for an  internal team matter  below average career production with only four touchdowns missed one game due to a
concussion  October 2018  ",alize mack,alize mack-TE,,,,-0.05,athletically skilled quickly enters route easy acceleration threaten every level linebacker struggle match speed agile footed balanced open top route catch well stride yac threat flash ability extend make contested grab hand eye coordination track highpoint move set career best,inconsistent hand high volume drop tape primitive route runner little deception tempo able snap break consistently drifting appearing dull marginal blocking skill exposed space edge grabby hand draw holding penalty struggle tough coaching multiple immature moment collegiate career including season long suspension gpa fell also suspended citrus bowl internal team matter average career production four touchdown missed one game due concussion october,athletically skilled quickly enters route easy acceleration threaten every level linebacker struggle match speed agile footed balanced open top route catch well stride yac threat flash ability extend make contested grab hand eye coordination track highpoint move set career best inconsistent hand high volume drop tape primitive route runner little deception tempo able snap break consistently drifting appearing dull marginal blocking skill exposed space edge grabby hand draw holding penalty struggle tough coaching multiple immature moment collegiate career including season long suspension gpa fell also suspended citrus bowl internal team matter average career production four touchdown missed one game due concussion october,"{'neg': 0.11, 'neu': 0.704, 'pos': 0.186, 'compound': 0.5719}","{'neg': 0.194, 'neu': 0.796, 'pos': 0.01, 'compound': -0.9638}","{'neg': 0.232, 'neu': 0.579, 'pos': 0.188, 'compound': -0.6133}",0.11,0.704,0.186,0.5719,0.194,0.796,0.01,-0.9638,0.232,0.579,0.188,-0.6133,blake whiteheart-TE,john bates-TE,daniel bellinger-TE,jared pinkney-TE,grant calcaterra-TE,0.2757,0.2728,0.2716,0.2411,0.2372,blake whiteheart-TE,-0.0009604056720109134,john bates-TE,-0.10219628085781701,daniel bellinger-TE,-0.16946723803958852,jared pinkney-TE,0.0006378560165110907,grant calcaterra-TE,-0.10136820163210301,1.2984000000000002,-0.07552524757770497
