ID,Last_Season,predicted_value,min_value,mean_value,max_value,Seasons,Attempts,ForcedMissedTackleRate,ExplosiveRate,TDP,YardsAfterContact,YPRR,WAR,RushWAR,RecWAR,best_Attempts,best_ForcedMissedTackleRate,best_ExplosiveRate,best_TDP,best_YardsAfterContact,best_YPRR,best_WAR,best_RushWAR,best_RecWAR,worst_Attempts,worst_ForcedMissedTackleRate,worst_ExplosiveRate,worst_TDP,worst_YardsAfterContact,worst_YPRR,worst_WAR,worst_RushWAR,worst_RecWAR,Strength_Power 5,ht_in,wt,arm_in,wing_in,c_reps,c_10y,c_40y,c_vj_in,c_bj_in,c_3c,c_ss20,est_40y
Ashton Jeanty - 157196,2024,69.33,59.72,67.44,76.71,3,0.988651838,0.9845665,0.801180209,0.814798003,0.980481162,0.915416098,0.982923154,0.875462392,0.975339088,0.999546074,0.979119383,0.661370858,0.791647753,0.983658647,0.9717797,0.993390951,0.984007526,0.989651929,0.936904222,0.959146618,0.826146164,0.748524739,0.94734453,0.498862085,0.938993391,0.984007526,0.989651929,0,68.5,211,29.25,72.75,19.6,1.536,4.488,35.3,119.8,7.09,4.32,4.42
RJ Harvey - 99622,2024,55.03,50.45,55.12,58.59,3,0.943713118,0.951429868,0.943259192,0.882433046,0.869269178,0.854934061,0.953792064,0.84217016,0.934032059,0.922378575,0.901951884,0.931457104,0.909214707,0.791647753,0.826126536,0.924758516,0.787394167,0.896519285,0.868361325,0.956876986,0.93962778,0.729459828,0.904675443,0.871187984,0.970513472,0.787394167,0.896519285,1,68,205,29,71.25,16,1.57,4.4,38,127,7.034,4.34,4.49
Omarion Hampton - 162750,2024,54.99,52.84,55.61,59.42,3,0.963231956,0.791647753,0.674534725,0.828869723,0.86518384,0.62937699,0.965344048,0.824907522,0.953144266,0.975941897,0.81389015,0.583295506,0.803449841,0.904675443,0.702321347,0.970005084,0.829727187,0.953904045,0.777576033,0.611438947,0.741715842,0.820699047,0.321833863,0.552571689,0.479918658,0.829727187,0.953904045,1,71.75,221,30.5,74.75,18,1.54,4.46,38,130,7.03,4.4,4.44
CJ Campbell - 143876,2024,52.46,50.35,55.24,63.15,1,0.901044031,0.987290059,0.65592374,0.853835679,0.938719927,0.956343793,0.987945756,0.98458693,0.985203453,0.781661371,0.947798457,0.472083522,0.656377667,0.834770767,0.907601274,0.946110829,0.943555974,0.93508937,0.949614163,0.990921471,0.788016341,0.900136178,0.958692692,0.969959035,0.994407728,0.943555974,0.93508937,0,69.751,208.8,30.45,74.076,12.8,1.55,4.492,34.8,119.4,7.116,4.34,4.466
Daylan Smothers - 173719,2024,52.44,45.55,51.32,54.65,1,0.586926918,0.954607354,0.969133,0.861098502,0.975941897,0.962710323,0.952787544,0.946979038,0.94081381,0.467998184,0.888788016,0.91012256,0.671811167,0.928279619,0.921256259,0.868327402,0.872060207,0.833490122,0.777576033,0.971856559,0.975034044,0.906945075,0.983204721,0.974965863,0.981189629,0.872060207,0.833490122,1,70.4,214.8,30.975,75.025,17.4,1.53,4.442,38.3,125,6.978,4.208,4.492
Cameron Skattebo - 147787,2024,49.63,45.98,51.74,57.82,2,0.977303677,0.976395824,0.616886064,0.823876532,0.841125738,0.884038199,0.977900552,0.710234279,0.966091245,0.9845665,0.93191103,0.531547889,0.713572401,0.852927826,0.868456987,0.995424504,0.964252117,0.99247413,0.949160236,0.981842941,0.683159328,0.833408988,0.726736269,0.861174329,0.118962888,0.964252117,0.99247413,1,69.5,219,29.875,73.875,21,1.55,4.556,39.5,123,7.056,4.24,4.59
Seth McGowan - 122936,2024,47.36,43.25,50.1,58.5,2,0.69314571,0.931457104,0.881525193,0.391284612,0.814344076,0.980445657,0.94123556,0.944512947,0.917385943,0.750340445,0.851566046,0.85882887,0.475714934,0.752610077,0.981338188,0.92323335,0.928504233,0.898400753,0.556513845,0.957330912,0.839763958,0.339990921,0.807989106,0.946745562,0.927300458,0.928504233,0.898400753,0,69.775,197.8,30.55,73.175,15.2,1.566,4.54,35.5,121.4,7.094,4.314,4.454
Jonah Coleman - 158717,2024,47.27,40.81,46.32,50.01,3,0.8061734,0.977757603,0.856559237,0.625056741,0.954607354,0.573897226,0.938221999,0.702836005,0.906905055,0.847026782,0.943259192,0.822968679,0.494325919,0.97821153,0.724624488,0.944585663,0.87770461,0.917215428,0.689514299,0.979573309,0.795733091,0.683613255,0.73808443,0.269003186,0.458057956,0.87770461,0.917215428,1,71.35,215,31.825,76.7,19.8,1.548,4.458,36.4,125.6,7.09,4.246,4.444
Jeremiyah Love - 171090,2024,46.3,37.76,45,51.53,2,0.743531548,0.979573309,0.694961416,0.779391739,0.951883795,0.866757617,0.950276243,0.970406905,0.987669544,0.772128915,0.974580118,0.528370404,0.946436677,0.912846119,0.801547565,0.959328927,0.565380997,0.658513641,0.669541534,0.946890604,0.801634135,0.255560599,0.945528824,0.887573964,0.846466701,0.565380997,0.658513641,1,69.4,210.6,30.625,73.725,18,1.54,4.51,34.5,122.2,6.954,4.19,4.444
Quinshon Judkins - 157128,2024,43.82,41.55,45.42,49.33,3,0.988197912,0.803903768,0.669995461,0.812074444,0.680889696,0.524783993,0.930688096,0.573982737,0.899506782,0.971402633,0.717203813,0.527916478,0.731275533,0.586019065,0.565771507,0.919166243,0.815616181,0.883349012,0.972764412,0.824330458,0.78438493,0.836132547,0.73808443,0.571688666,0.778851042,0.815616181,0.883349012,1,71.625,221,30.25,73.5,20.2,1.51,4.48,38.5,132,7.044,4.292,4.52
