ID,Last_Season,target,predicted_value,Diff,min_value,mean_value,max_value,Seasons,Attempts,ForcedMissedTackleRate,ExplosiveRate,TDP,YardsAfterContact,YPRR,WAR,RushWAR,RecWAR,best_Attempts,best_ForcedMissedTackleRate,best_ExplosiveRate,best_TDP,best_YardsAfterContact,best_YPRR,best_WAR,best_RushWAR,best_RecWAR,worst_Attempts,worst_ForcedMissedTackleRate,worst_ExplosiveRate,worst_TDP,worst_YardsAfterContact,worst_YPRR,worst_WAR,worst_RushWAR,worst_RecWAR,Strength_Power 5,ht_in,wt,arm_in,wing_in,c_reps,c_10y,c_40y,c_vj_in,c_bj_in,c_3c,c_ss20,est_40y
Jahmyr Gibbs - 122474,2022,99.9,94.12,-5.78,83.05,91.43,94.12,3,0.789832047,0.974126192,0.726736269,0.472991375,0.860190649,0.981809914,0.992466097,0.993218249,0.990752158,0.738538357,0.9845665,0.678620064,0.403994553,0.876078075,0.976331361,0.981698017,0.980244591,0.973659454,0.777576033,0.919201089,0.713572401,0.493871993,0.828415797,0.952207556,0.98729029,0.980244591,0.973659454,1,69.125,199,30.5,74.125,16.8,1.52,4.36,33.5,120.4,7.1,4.316,4.34
Bijan Robinson - 123126,2022,75.84,74.72,-1.12,63.13,71.42,75.88,3,0.92555606,0.982296868,0.8216069,0.755333636,0.985474353,0.868121874,0.97137117,0.866831073,0.96054254,0.95506128,0.954153427,0.85882887,0.702678166,0.996368588,0.793809741,0.979156075,0.8579492,0.970837253,0.766681798,0.975034044,0.748524739,0.758057195,0.954607354,0.889849795,0.936451449,0.8579492,0.970837253,1,71,215,31.125,74.75,19.4,1.52,4.46,37,124,7.018,4.254,4.42
Derrick Henry - 10679,2015,72.55,73.18,0.63,62.41,69.23,73.66,2,0.996368588,0.553790286,0.713118475,0.860190649,0.67907399,0.564802183,0.806629834,0.419852035,0.731196054,1,0.419881979,0.561053109,0.709487063,0.586019065,0.666818389,0.781392984,0.51364064,0.732831609,0.955969133,0.684975034,0.808443032,0.890149796,0.734453019,0.390532544,0.711743772,0.51364064,0.732831609,1,74.625,247,33,80.75,22,1.56,4.54,37,130,7.2,4.38,4.534
Aaron Jones - 11937,2016,75.62,71.31,-4.31,63.93,69.28,72.5,3,0.904221516,0.743077621,0.794371312,0.658193373,0.959600545,0.976352888,0.901557007,0.895191122,0.900739827,0.937358148,0.893327281,0.804357694,0.759872901,0.980935089,0.991351843,0.908490086,0.565380997,0.658513641,0.176577394,0.675896505,0.763050386,0.540626419,0.887880163,0.883477469,0.892730046,0.565380997,0.658513641,0,69.5,208,32.5,76.25,16,1.53,4.56,37.5,127,6.82,4.2,4.48
Nick Chubb - 45783,2017,87.76,69.63,-18.13,56.82,65.65,70.5,4,0.941897413,0.689514299,0.912392192,0.797094871,0.881071266,0.557526148,0.908086389,0.654130703,0.865598027,0.910576487,0.76895143,0.920562869,0.772128915,0.755787562,0.761037779,0.954245043,0.864534337,0.934148636,0.788924194,0.54561961,0.841125738,0.619155697,0.918747163,0.432407829,0.639552618,0.864534337,0.934148636,1,70.875,227,32,73.625,29,1.56,4.52,38.5,128,7.09,4.25,4.526
Rachaad White - 131633,2021,38.8,66.88,28.08,62.91,67.65,72.83,2,0.72401271,0.862914208,0.893327281,0.97684975,0.897412619,0.994088222,0.989452536,0.996917386,0.997533909,0.817975488,0.804811621,0.937358148,0.973218339,0.876078075,0.994538006,0.990849009,0.565380997,0.658513641,0.350885157,0.884702678,0.70086246,0.959600545,0.859282796,0.975421029,0.914590747,0.565380997,0.658513641,1,72.375,214,31.25,75.375,17,1.59,4.48,38,125,6.956,4.21,4.48
Saquon Barkley - 45791,2017,53.28,66.65,13.37,56.35,64.22,69.41,3,0.973218339,0.853381752,0.791193827,0.815705856,0.840671811,0.881309686,0.992968358,0.965474723,0.989519112,0.969586927,0.883340899,0.776214253,0.837494326,0.777122106,0.874829313,0.99694967,0.99247413,0.996237065,0.961870177,0.797094871,0.714934181,0.666364049,0.824784385,0.801547565,0.499237417,0.99247413,0.996237065,1,72,233,31.375,74.25,29,1.54,4.4,41,120.6,7.152,4.24,4.53
Todd Gurley - 9443,2014,35.17,64.62,29.45,58.14,63.43,68.14,1,0.773490695,0.901044031,0.990013618,0.900590104,0.928733545,0.504774898,0.899045706,0.794081381,0.857583231,0.625510667,0.796640944,0.968679074,0.737176577,0.811166591,0.359126081,0.762582613,0.622765757,0.688617121,0.884248752,0.939173854,0.991829324,0.929641398,0.953245574,0.682749203,0.954245043,0.622765757,0.688617121,1,72.625,222,31.5,76.375,17,1.552,4.474,37.7,124.6,7.062,4.27,4.52
Alvin Kamara - 11822,2016,84.78,64.54,-20.24,57.71,62.81,64.94,2,0.684975034,0.988651838,0.900590104,0.919201089,0.895142987,0.974988631,0.984932195,0.994451295,0.976572133,0.546073536,0.97821153,0.784838856,0.877439855,0.762142533,0.950842057,0.950177936,0.981185325,0.919096896,0.82796187,0.980481162,0.929187472,0.899228325,0.93191103,0.978152025,0.991865785,0.981185325,0.919096896,1,70.25,214,32.75,78.25,15,1.54,4.56,39.5,131,7.1,4.21,4.484
MarKeise Irving - 144970,2023,71.97,63.76,-8.21,58.73,62.24,64.77,3,0.889241943,0.981842941,0.890603722,0.489332728,0.891511575,0.900864029,0.979909593,0.939580764,0.970406905,0.828415797,0.977303677,0.890603722,0.571947345,0.906945075,0.902139281,0.985256736,0.955785513,0.977422389,0.899228325,0.913753972,0.817975488,0.525646845,0.679527916,0.857988166,0.922724962,0.955785513,0.977422389,1,69,192,29.5,70.625,14.2,1.54,4.55,29.5,115,6.998,4.296,4.48
