player_name,nic_year,pro_pos,school,GM
Brandon Jones,2005,WR,Oklahoma,CHI_Ryan Poles
Mitchell Evans,2025,TE,Notre Dame,CHI_Ryan Poles
Tahj Washington,2024,WR,USC,CHI_Ryan Poles
Kayshon Boutte,2023,WR,LSU,CHI_Ryan Poles
Brant Kuithe,2025,TE,Utah,CHI_Ryan Poles
Colston Loveland,2025,TE,Michigan,CHI_Ryan Poles
Xavier Hutchinson,2023,WR,Iowa State,CHI_Ryan Poles
Malachi Moore,2025,S,Alabama,CHI_Ryan Poles
Xavier Watts,2025,S,Notre Dame,CHI_Ryan Poles
Jack Kiser,2025,LB,Notre Dame,CHI_Ryan Poles
Caedan Wallace,2024,T,Penn State,CHI_Ryan Poles
Jalen Graham,2023,LB,Purdue,CHI_Ryan Poles
Evan McPherson,2021,K,Florida,CHI_Ryan Poles
Beaux Collins,2025,WR,Notre Dame,CHI_Ryan Poles
Jaylin Noel,2025,WR,Iowa State,CHI_Ryan Poles
Tommi Hill,2025,CB,Nebraska,CHI_Ryan Poles
Dylan Horton,2023,ED,TCU,CHI_Ryan Poles
Jaylen Reed,2025,S,Penn State,CHI_Ryan Poles
Nick Emmanwori,2025,S,South Carolina,CHI_Ryan Poles
Blake Ferguson,2020,LS,LSU,CHI_Ryan Poles
Moliki Matavao,2025,TE,UCLA,CHI_Ryan Poles
Tez Johnson,2025,WR,Oregon,CHI_Ryan Poles
Sebastian Castro,2025,S,Iowa,CHI_Ryan Poles
Quinn Ewers,2025,QB,Texas,CHI_Ryan Poles
Dillon Gabriel,2025,QB,Oregon,CHI_Ryan Poles
Emeka Egbuka,2025,WR,Ohio State,CHI_Ryan Poles
Quincy Riley,2025,CB,Louisville,CHI_Ryan Poles
Max Brosmer,2025,QB,Minnesota,CHI_Ryan Poles
Jabbar Muhammad,2025,CB,Oregon,CHI_Ryan Poles
Donovan Peoples-Jones,2020,WR,Michigan,CHI_Ryan Poles
Xavier Restrepo,2025,WR,Miami (FL),CHI_Ryan Poles
Shedeur Sanders,2025,QB,Colorado,CHI_Ryan Poles
Malik Verdon,2025,S,Iowa State,CHI_Ryan Poles
Daniel Jackson,2025,WR,Minnesota,CHI_Ryan Poles
Hayden Conner,2025,G,Texas,CHI_Ryan Poles
Kyle McCord,2025,QB,Syracuse,CHI_Ryan Poles
Hollin Pierce,2025,T,Rutgers,CHI_Ryan Poles
Cameron Williams,2025,T,Texas,CHI_Ryan Poles
Myles Hinton,2025,T,Michigan,CHI_Ryan Poles
Josh Simmons,2025,T,Ohio State,CHI_Ryan Poles
Ashton Gillotte,2025,ED,Louisville,CHI_Ryan Poles
Laviska Shenault Jr.,2020,WR,Colorado,CHI_Ryan Poles
Parker Washington,2023,WR,Penn State,CHI_Ryan Poles
Brandon Crenshaw-Dickson,2025,T,Florida,CHI_Ryan Poles
Keith Ismael,2020,C,San Diego State,CHI_Ryan Poles
Garrett Dellinger,2025,G,LSU,CHI_Ryan Poles
Anton Harrison,2023,T,Oklahoma,CHI_Ryan Poles
Josh Palmer,2021,WR,Tennessee,CHI_Ryan Poles
Dez Fitzpatrick,2021,WR,Louisville,CHI_Ryan Poles
Romeo Doubs,2022,WR,Nevada,CHI_Ryan Poles
Jonah Elliss,2024,ED,Utah,CHI_Ryan Poles
John Metchie III,2022,WR,Alabama,CHI_Ryan Poles
Mike Morris,2023,ED,Michigan,CHI_Ryan Poles
Zak Zinter,2024,G,Michigan,CHI_Ryan Poles
