player_name,nic_year,pro_pos,school,top1_class,top1_prob,top2_class,top2_prob,top3_class,top3_prob,top4_class,top4_prob,top5_class,top5_prob
Armand Membou,2025,T,Missouri,PIT_Omar Khan,0.23162277,CIN_Mike Brown,0.052751385,KC_Brett Veach,0.04161945,CHI_Ryan Poles,0.021283623,SEA_John Schneider,0.018808687
Corey Kiner,2025,RB,Cincinnati,LA_Les Snead,0.22731917,SF_John Lynch,0.06724009,SEA_John Schneider,0.030457517,JAX_Trent Baalke,0.026771558,BUF_Brandon Beane,0.024567777
Marques Sigle,2025,S,Kansas State,GB_Brian Gutekunst,0.22506471,JAX_Trent Baalke,0.046804074,NYG_Joe Schoen,0.037984364,DAL_Jerry Jones,0.028486436,NO_Mickey Loomis,0.018157419
Zeek Biggers,2025,DT,Georgia Tech,JAX_Trent Baalke,0.21930774,NE_Eliot Wolf,0.091496296,PHI_Howie Roseman,0.043321025,LA_Les Snead,0.027063502,GB_Brian Gutekunst,0.02447826
Tahj Brooks,2025,RB,Texas Tech,GB_Brian Gutekunst,0.21307933,TB_Jason Licht,0.04728944,SF_John Lynch,0.043388996,BUF_Brandon Beane,0.03110326,SEA_John Schneider,0.016710019
R.J. Mickens,2025,S,Clemson,NYG_Joe Schoen,0.20848167,NO_Mickey Loomis,0.032376654,CLE_Andrew Berry,0.029925425,GB_Brian Gutekunst,0.02553236,CIN_Mike Brown,0.023481494
Jalen Royals,2025,WR,Utah State,SEA_John Schneider,0.19069566,GB_Brian Gutekunst,0.05902969,PHI_Howie Roseman,0.039107785,BAL_Eric DeCosta,0.03284335,CIN_Mike Brown,0.024391985
Myles Hinton,2025,T,Michigan,BAL_Eric DeCosta,0.1737569,LA_Les Snead,0.055771433,JAX_Trent Baalke,0.035896644,HOU_Nick Caserio,0.03458651,CLE_Andrew Berry,0.026426628
Sebastian Castro,2025,S,Iowa,LA_Les Snead,0.16226013,GB_Brian Gutekunst,0.058841903,BUF_Brandon Beane,0.03694101,TEN_Ran Carthon,0.034742806,SF_John Lynch,0.024211964
Antwaun Powell-Ryland,2025,ED,Virginia Tech,BUF_Brandon Beane,0.16022012,NE_Eliot Wolf,0.055743195,TB_Jason Licht,0.04881086,LA_Les Snead,0.040498275,GB_Brian Gutekunst,0.03212088
Devin Neal,2025,RB,Kansas,BUF_Brandon Beane,0.15666382,TB_Jason Licht,0.08910376,NE_Eliot Wolf,0.04646233,DET_Brad Holmes,0.043803122,NYG_Joe Schoen,0.042918336
Warren Brinson,2025,DT,Georgia,PHI_Howie Roseman,0.15498737,CLE_Andrew Berry,0.05143095,NO_Mickey Loomis,0.0476655,CIN_Mike Brown,0.03328877,GB_Brian Gutekunst,0.025717143
Ethan Downs,2025,ED,Oklahoma,LA_Les Snead,0.15401542,GB_Brian Gutekunst,0.036575474,NO_Mickey Loomis,0.036165398,ATL_Terry Fontenot,0.025815055,ARI_Monti Ossenfort,0.02519491
Raheim Sanders,2025,RB,South Carolina,NYG_Joe Schoen,0.15247251,TB_Jason Licht,0.07509026,NO_Mickey Loomis,0.038133245,SEA_John Schneider,0.029922567,GB_Brian Gutekunst,0.02873777
Jaylin Lane,2025,WR,Virginia Tech,NYG_Joe Schoen,0.13942719,IND_Chris Ballard,0.043661043,PHI_Howie Roseman,0.038893618,DAL_Jerry Jones,0.032848652,TB_Jason Licht,0.029780598
Beaux Collins,2025,WR,Notre Dame,LA_Les Snead,0.13551232,GB_Brian Gutekunst,0.039307676,JAX_Trent Baalke,0.03647079,NYJ_Joe Douglas,0.035548385,BAL_Eric DeCosta,0.025933368
Ozzy Trapilo,2025,T,Boston College,ARI_Monti Ossenfort,0.13498309,MIA_Chris Grier,0.044527028,BAL_Eric DeCosta,0.037228055,NO_Mickey Loomis,0.028689498,TB_Jason Licht,0.025116999
Robert Longerbeam,2025,CB,Rutgers,NYG_Joe Schoen,0.13305418,JAX_Trent Baalke,0.0825477,MIN_Kwesi Adofo-Mensah,0.047852885,ARI_Monti Ossenfort,0.024079092,BAL_Eric DeCosta,0.024029227
Will Campbell,2025,T,LSU,PIT_Omar Khan,0.12707272,CIN_Mike Brown,0.06180325,DET_Brad Holmes,0.045168664,CHI_Ryan Poles,0.02486631,GB_Brian Gutekunst,0.02329378
