player_name,nic_year,pro_pos,school,Actual_GM,Correct,top1_class,top1_prob,top2_class,top2_prob,top3_class,top3_prob,top4_class,top4_prob,top5_class,top5_prob
Mason McCormick,2024,G,South Dakota State,PIT_Omar Khan,1,PIT_Omar Khan,0.4773634,BUF_Brandon Beane,0.024551703,DAL_Jerry Jones,0.02264956,LAC_Joe Hortiz,0.01690313,GB_Brian Gutekunst,0.0141421035
Blake Corum,2024,RB,Michigan,LA_Les Snead,1,LA_Les Snead,0.4716809,GB_Brian Gutekunst,0.021612164,BAL_Eric DeCosta,0.02128347,PHI_Howie Roseman,0.01894982,TB_Jason Licht,0.017961204
Troy Fautanu,2024,T,Washington,PIT_Omar Khan,1,PIT_Omar Khan,0.46884802,CIN_Mike Brown,0.039784655,JAX_Trent Baalke,0.024721613,SEA_John Schneider,0.01763043,CHI_Ryan Poles,0.014692329
Christian Haynes,2024,G,Connecticut,SEA_John Schneider,1,SEA_John Schneider,0.44331267,PIT_Omar Khan,0.024297912,CIN_Mike Brown,0.020566119,GB_Brian Gutekunst,0.013638429,DAL_Jerry Jones,0.012031006
Christian Jones,2024,T,Texas,ARI_Monti Ossenfort,1,ARI_Monti Ossenfort,0.41986614,MIN_Kwesi Adofo-Mensah,0.035277613,HOU_Nick Caserio,0.019991504,BAL_Eric DeCosta,0.018965384,NYJ_Joe Douglas,0.018046794
Ryan Flournoy,2024,WR,Southeast Missouri State,DAL_Jerry Jones,1,DAL_Jerry Jones,0.41896015,TB_Jason Licht,0.02940604,CIN_Mike Brown,0.027963046,MIA_Chris Grier,0.026061174,CHI_Ryan Poles,0.011076055
Deantre Prince,2024,CB,Ole Miss,JAX_Trent Baalke,1,JAX_Trent Baalke,0.4187052,MIN_Kwesi Adofo-Mensah,0.041494362,SEA_John Schneider,0.018979128,BAL_Eric DeCosta,0.016822752,SF_John Lynch,0.012988446
Isaiah Davis,2024,RB,South Dakota State,NYJ_Joe Douglas,1,NYJ_Joe Douglas,0.40341988,SEA_John Schneider,0.03655011,LA_Les Snead,0.031183677,BUF_Brandon Beane,0.02351415,ATL_Terry Fontenot,0.021358272
Byron Murphy II,2024,DT,Texas,SEA_John Schneider,1,SEA_John Schneider,0.39664337,DET_Brad Holmes,0.028365495,CIN_Mike Brown,0.02415791,GB_Brian Gutekunst,0.019929688,ATL_Terry Fontenot,0.019683918
Maason Smith,2024,DT,LSU,JAX_Trent Baalke,1,JAX_Trent Baalke,0.39060876,TEN_Ran Carthon,0.0324805,BAL_Eric DeCosta,0.026524384,NYJ_Joe Douglas,0.01773707,CLE_Andrew Berry,0.016396696
Myles Cole,2024,ED,Texas Tech,JAX_Trent Baalke,1,JAX_Trent Baalke,0.38728005,BUF_Brandon Beane,0.028211238,LA_Les Snead,0.021145912,BAL_Eric DeCosta,0.019650862,CLE_Andrew Berry,0.019364776
Tyrone Tracy Jr.,2024,RB,Purdue,NYG_Joe Schoen,1,NYG_Joe Schoen,0.38352922,TB_Jason Licht,0.029010914,IND_Chris Ballard,0.023589473,CIN_Mike Brown,0.0218445,SF_John Lynch,0.019153878
Dominique Hampton,2024,S,Washington,WAS_Adam Peters,1,WAS_Adam Peters,0.3814844,GB_Brian Gutekunst,0.026894541,PHI_Howie Roseman,0.024493007,IND_Chris Ballard,0.01972557,LA_Les Snead,0.013999363
T'Vondre Sweat,2024,DT,Texas,TEN_Ran Carthon,1,TEN_Ran Carthon,0.3711556,SEA_John Schneider,0.035147645,KC_Brett Veach,0.025332032,LAC_Joe Hortiz,0.023664538,TB_Jason Licht,0.017229814
James Williams,2024,S,Miami (FL),TEN_Ran Carthon,1,TEN_Ran Carthon,0.37115377,CLE_Andrew Berry,0.023147807,BAL_Eric DeCosta,0.020506745,GB_Brian Gutekunst,0.016530327,JAX_Trent Baalke,0.014998696
Mekhi Wingo,2024,DT,LSU,DET_Brad Holmes,1,DET_Brad Holmes,0.36596137,ATL_Terry Fontenot,0.04613531,SEA_John Schneider,0.04402127,GB_Brian Gutekunst,0.024776451,CIN_Mike Brown,0.014650747
Ennis Rakestraw Jr.,2024,CB,Missouri,DET_Brad Holmes,1,DET_Brad Holmes,0.36453247,BAL_Eric DeCosta,0.025416106,CHI_Ryan Poles,0.025108736,SEA_John Schneider,0.024337232,CLE_Andrew Berry,0.01808259
Jordan Whittington,2024,WR,Texas,LA_Les Snead,1,LA_Les Snead,0.36330283,JAX_Trent Baalke,0.026340785,SF_John Lynch,0.02614829,NYJ_Joe Douglas,0.017409721,BAL_Eric DeCosta,0.016730774
Ruke Orhorhoro,2024,DT,Clemson,ATL_Terry Fontenot,1,ATL_Terry Fontenot,0.36107245,CIN_Mike Brown,0.0274347,CHI_Ryan Poles,0.02493236,IND_Chris Ballard,0.024292195,PIT_Omar Khan,0.015908595
Keilan Robinson,2024,RB,Texas,JAX_Trent Baalke,1,JAX_Trent Baalke,0.3575168,BAL_Eric DeCosta,0.023808988,SEA_John Schneider,0.021786073,MIN_Kwesi Adofo-Mensah,0.020498728,ARI_Monti Ossenfort,0.02042855
Payton Wilson,2024,LB,NC State,PIT_Omar Khan,1,PIT_Omar Khan,0.35744235,KC_Brett Veach,0.034752965,GB_Brian Gutekunst,0.033083763,DEN_George Paton,0.029880226,DET_Brad Holmes,0.029810287
