player_name,nic_year,pro_pos,school,Actual_GM,Correct,top1_class,top1_prob,top2_class,top2_prob,top3_class,top3_prob,top4_class,top4_prob,top5_class,top5_prob
Mason McCormick,2024,G,South Dakota State,PIT_Omar Khan,1,PIT_Omar Khan,47.74,BUF_Brandon Beane,2.46,DAL_Jerry Jones,2.26,LAC_Joe Hortiz,1.69,GB_Brian Gutekunst,1.41
Blake Corum,2024,RB,Michigan,LA_Les Snead,1,LA_Les Snead,47.17,GB_Brian Gutekunst,2.16,BAL_Eric DeCosta,2.13,PHI_Howie Roseman,1.89,TB_Jason Licht,1.8
Troy Fautanu,2024,T,Washington,PIT_Omar Khan,1,PIT_Omar Khan,46.88,CIN_Mike Brown,3.98,JAX_Trent Baalke,2.47,SEA_John Schneider,1.76,CHI_Ryan Poles,1.47
Christian Haynes,2024,G,Connecticut,SEA_John Schneider,1,SEA_John Schneider,44.33,PIT_Omar Khan,2.43,CIN_Mike Brown,2.06,GB_Brian Gutekunst,1.36,DAL_Jerry Jones,1.2
Christian Jones,2024,T,Texas,ARI_Monti Ossenfort,1,ARI_Monti Ossenfort,41.99,MIN_Kwesi Adofo-Mensah,3.53,HOU_Nick Caserio,2.0,BAL_Eric DeCosta,1.9,NYJ_Joe Douglas,1.8
Ryan Flournoy,2024,WR,Southeast Missouri State,DAL_Jerry Jones,1,DAL_Jerry Jones,41.9,TB_Jason Licht,2.94,CIN_Mike Brown,2.8,MIA_Chris Grier,2.61,CHI_Ryan Poles,1.11
Deantre Prince,2024,CB,Ole Miss,JAX_Trent Baalke,1,JAX_Trent Baalke,41.87,MIN_Kwesi Adofo-Mensah,4.15,SEA_John Schneider,1.9,BAL_Eric DeCosta,1.68,SF_John Lynch,1.3
Isaiah Davis,2024,RB,South Dakota State,NYJ_Joe Douglas,1,NYJ_Joe Douglas,40.34,SEA_John Schneider,3.66,LA_Les Snead,3.12,BUF_Brandon Beane,2.35,ATL_Terry Fontenot,2.14
Byron Murphy II,2024,DT,Texas,SEA_John Schneider,1,SEA_John Schneider,39.66,DET_Brad Holmes,2.84,CIN_Mike Brown,2.42,GB_Brian Gutekunst,1.99,ATL_Terry Fontenot,1.97
Maason Smith,2024,DT,LSU,JAX_Trent Baalke,1,JAX_Trent Baalke,39.06,TEN_Ran Carthon,3.25,BAL_Eric DeCosta,2.65,NYJ_Joe Douglas,1.77,CLE_Andrew Berry,1.64
