ID,Last_Season,predicted_value,min_value,mean_value,max_value,Seasons,ContestedTile,Value,TotalNonSepSeasons,NonSepPercent,Slot_rate,best_Slot_rate,worst_Slot_rate,RR,TPRR,YPRR,TDPRR,ADOT,YAC,best_RR,best_TPRR,best_YPRR,best_TDPRR,best_ADOT,best_YAC,worst_RR,worst_TPRR,worst_YPRR,worst_TDPRR,worst_ADOT,worst_YAC,Strength_Power 5,Filter_NonSeparator,Filter_Solid,Filter_Gadget,ht_in,wt,arm_in,wing_in,c_reps,c_10y,c_40y,c_vj_in,c_bj_in,c_3c,c_ss20,est_40y,WAR,athleticism_score
Jeremiah Smith - 183710,2024,71.55,53.47,68.99,82.93,1,27.01,99.38,0,0,0.376148442,0.416680045,0.416680045,0.98180508,0.876598811,0.979823455,0.983246262,0.666546568,0.805980904,0.950313052,0.835286563,0.966848611,0.971664794,0.638625783,0.773799968,0.950313052,0.835286563,0.966848611,0.971664794,0.638625783,0.773799968,1,0,1,0,73.825,206.6,31.425,75.95,13.6,1.506,4.454,35.1,124.6,7.01,4.258,4.508,1.008346766,75.822
Tre Harris - 122676,2024,65.39,49.86,63.62,72.53,4,14.56,92.09,3,0.75,0.27508557,0.396532349,0.080671055,0.878580436,0.937488741,0.982705819,0.941271843,0.622050081,0.785263916,0.929282389,0.992855996,0.998314336,0.968293466,0.70219939,0.874698989,0.61735431,0.746106919,0.833119281,0.74056831,0.437951517,0.479932573,1,1,0,0,74.375,205,31.875,78.25,17.8,1.56,4.54,38.5,125,7.096,4.34,4.5,0.943870634,72.31
Isaiah Neyor - 98033,2024,62.38,51.62,65.27,78.98,3,8.99,63.56,3,1,0.3952441,0.537887301,0.128832878,0.802558098,0.729778418,0.87587822,0.922356332,0.946496127,0.664745091,0.874137101,0.88256542,0.948707658,0.979049607,0.98370525,0.820918285,0.40150907,0.463316744,0.462995665,0,0.735832397,0.310483224,1,1,0,0,76.25,218,34.375,82.625,19.2,1.51,4.4,38,133,6.99,4.31,4.48,0.642982021,94.89
Jayden Higgins - 150240,2024,60.57,56.55,66.29,86.17,2,25.95,97.34,1,0.5,0.444604576,0.559479852,0.109006261,0.953882183,0.848675914,0.909385696,0.820753017,0.730679157,0.510538642,0.970300209,0.929924546,0.958741371,0.848611334,0.820195858,0.794188473,0.81136619,0.45368438,0.452801413,0.586851822,0.568148981,0.295633328,1,0,1,0,76.125,214,33.125,80,15.6,1.53,4.47,39,128,7.108,4.242,4.52,0.954616656,89.66
Matthew Golden - 156165,2024,58.76,37.74,52.74,69.13,3,40.92,69.31,0,0,0.450549451,0.588938834,0.133247712,0.952801297,0.522788687,0.750495406,0.89641506,0.495946676,0.70906143,0.98089581,0.812008348,0.810964842,0.892197785,0.70219939,0.730935945,0.72411302,0.33063092,0.630036924,0.832156044,0.212393643,0.599293627,1,0,1,0,71,191,30.625,76.375,16.4,1.49,4.29,38.5,127.4,6.944,4.19,4.47,0.83083075,86.71
Chrishon McCray - 163139,2024,57.23,35.86,53.45,66.78,2,47.23,93.64,0,0,0.43397586,0.539011077,0.361454487,0.802738245,0.976040353,0.952621149,0.946135831,0.782741848,0.710502612,0.791539573,0.980173383,0.948707658,0.9507144,0.773559159,0.751003371,0.645368438,0.928319152,0.890271312,0.824048804,0.71849414,0.599293627,0,0,1,0,71.925,185.8,30.95,75.3,16.8,1.5,4.402,36,124.4,7.032,4.33,4.406,0.927958256,74.684
Elijah Sarratt - 159499,2024,56.82,50.81,65.46,89.76,2,19.29,96.57,1,0.5,0.267339218,0.33055065,0.285760154,0.965591785,0.842550892,0.968834444,0.906143037,0.606016934,0.631057467,0.945817948,0.807432975,0.953122492,0.887221063,0.725798684,0.671857441,0.874137101,0.793787125,0.939235832,0.836731418,0.427676995,0.529780061,1,0,1,0,75,210.6,32.425,78.15,16.2,1.546,4.552,35.7,122,7.052,4.354,4.502,1.001733829,72.498
Luther Burden - 157170,2024,56.44,47.26,56.93,71.39,3,44.26,85.78,0,0,0.716447487,0.779258308,0.361454487,0.934065934,0.955683661,0.941271843,0.919834264,0.264637002,0.888308413,0.900947183,0.972306951,0.972949109,0.904559319,0.330390111,0.912827099,0.787205009,0.746508268,0.413710066,0.819072082,0.242896131,0.730935945,1,0,1,0,72,206,31.25,76.5,14.4,1.54,4.41,37.3,126.4,7.034,4.278,4.38,0.958749742,79.31
Tory Horton - 128232,2024,54.98,44.64,57.87,79.46,5,53.2,93.65,1,0.2,0.442803099,0.592470702,0.035318671,0.878039993,0.898396685,0.942893172,0.859845073,0.620608899,0.741307872,0.951196019,0.995344357,0.979290416,0.944934982,0.849574571,0.912827099,0.367474715,0.443971745,0.69136298,0.607481137,0.293947664,0.377588698,0,0,1,0,74.5,196,30.625,77,13.6,1.53,4.41,37.5,123.4,7.026,4.326,4.52,0.928371564,78.91
Emeka Egbuka - 145055,2024,54.83,41.5,58.7,75.65,3,47.78,90.33,1,0.33,0.733201225,0.753652272,0.656847006,0.848495767,0.887587822,0.958746172,0.914790128,0.283912809,0.918212935,0.938834484,0.90158934,0.972949109,0.918365709,0.379434901,0.984668486,0.232380799,0.405602825,0.78150586,0,0.185503291,0.700433456,1,0,1,0,72.875,202,31.5,76.625,16,1.51,4.44,35.8,124,7.014,4.32,4.42,0.946970448,74.53
Travis Hunter - 160766,2024,53.23,45.56,57.63,72.07,2,50.65,92.33,0,0,0.56043956,0.686225718,0.16928881,0.982705819,0.80075662,0.914970276,0.935687264,0.525310755,0.404431634,0.990447905,0.799084925,0.905683095,0.946781185,0.618317547,0.548242093,0.853266977,0.693610531,0.833119281,0.744581795,0.407770108,0.27861615,1,0,1,0,72.375,188,31.375,76.875,13.4,1.52,4.41,36.5,124.4,6.94,4.276,4.34,0.613637115,77.77
Tez Johnson - 123709,2024,52.46,47.71,55.35,66.02,5,69.59,88.26,4,0.8,0.840569267,0.886177557,0.744180446,0.83876779,0.963249865,0.963249865,0.899837867,0.102323906,0.938569627,0.872772516,0.974955852,0.981457698,0.941965002,0.456895168,0.96997913,0.406164713,0.637983625,0.74594638,0,0.021271472,0.854310483,1,0,0,1,69.875,154,29.375,73.75,11.8,1.53,4.51,37,131,6.65,4.15,4.28,0.955029965,63.82
Marquis Johnson - 175906,2024,51.42,29.08,48.82,63.67,1,23.26,59.24,1,1,0.382994055,0.461550811,0.373976561,0.344622591,0.952801297,0.999279409,0.92253648,0.973518285,0.494325347,0.474474233,0.988762241,0.999759191,0.997591909,0.99173222,0.700433456,0.162867234,0.878712474,0.921175148,0.507866431,0.807432975,0.265853267,1,0,1,0,73.3,209.2,32.1,76.575,17.8,1.484,4.436,35.6,123,7.122,4.37,4.546,0.530148791,80.074
Eric McAlister - 145976,2024,48.77,40.34,50.1,64.6,3,19.05,93.59,2,0.67,0.312196001,0.476320437,0.223390592,0.695910647,0.936588002,0.983606557,0.925238696,0.931183571,0.791388939,0.779820196,0.984748756,0.988681971,0.996548403,0.990528175,0.930004816,0.270910258,0.695858083,0.950553861,0.798041419,0.496066784,0.391234548,1,1,0,0,74.05,206.6,31.875,76.55,16.2,1.548,4.538,34.6,120.8,7.052,4.354,4.496,0.899026658,67.55
Donte Thornton - 146547,2024,47.16,38.52,50.67,62.21,3,52.24,74.71,0,0,0.567465322,0.673543105,0.128832878,0.441181769,0.582057287,0.956224104,0.862367141,0.826337597,0.945235093,0.570075454,0.846765131,0.987397656,0.965644566,0.888425108,0.96997913,0.304382726,0.230052978,0.829426874,0.46171135,0.648258147,0.832396853,1,0,1,0,76.625,205,32.125,79,15.8,1.51,4.3,33,126,6.952,4.134,4.54,0.433641248,89.27
Jalen Royals - 163442,2024,46.93,28.55,42.4,55.88,2,28.14,96.19,0,0,0.260313457,0.500240809,0,0.826697892,0.794631598,0.722032066,0.952260854,0.916591605,0.508737164,0.987879274,0.928640231,0.958741371,0.950553861,0.994943009,0.886899984,0.026810082,0.416118157,0.001605394,0,0.30333922,0.0026489,0,0,1,0,72,205,30.125,73.75,13,1.49,4.42,37.8,125.2,7.08,4.258,4.43,0.912252532,83.54
Eugene Wilson - 175886,2024,46.07,27.16,42.71,52.21,2,47.27,98.8,2,1,0.598630877,0.627789372,0.616150265,0.721491623,0.895514322,0.888488561,0.887407674,0.031525851,0.957665286,0.760555466,0.875903034,0.933857762,0.869641997,0.088216407,0.976240167,0.372531707,0.851982662,0.766013806,0.600899021,0.021271472,0.886899984,1,0,0,1,72.5,191.6,31.35,76.25,16.8,1.48,4.428,36.4,124.2,7.032,4.248,4.42,0.817398223,78.87
CJ Daniels - 123874,2024,45.98,30.37,46.31,64.99,3,41.45,93.13,1,0.33,0.419924338,0.574169209,0.212473912,0.75968294,0.580075662,0.782921996,0.850117096,0.899657719,0.495406233,0.895007224,0.951035479,0.990528175,0.973350458,0.990608444,0.903194734,0.168004495,0.105795473,0.215363622,0,0.407770108,0.072001926,1,0,1,0,72.15,194.8,31.7,76,15.6,1.49,4.434,37.4,126.6,6.958,4.306,4.448,0.696298822,81.016
Eric Rivers - 144279,2024,45.73,40.02,49.69,60.53,2,54.96,77.92,0,0,0.40947577,0.498073527,0.379996789,0.878580436,0.838587642,0.930102684,0.934786525,0.651774455,0.696090794,0.844838658,0.940600417,0.98354471,0.972868839,0.820195858,0.804222187,0.729731899,0.415636539,0.467571039,0.518462032,0.379434901,0.479932573,0,0,1,0,71.9,183,30.7,74.825,16.8,1.516,4.364,36.3,126.4,6.956,4.138,4.454,0.886834057,81.092
Zakhari Franklin - 97620,2024,45.61,39.94,52.18,72.15,5,34.08,73.21,2,0.4,0.399387498,0.626986675,0.112297319,0.905602594,0.888308413,0.806881643,0.922176184,0.523689425,0.374346965,0.996227324,0.944694172,0.917482742,0.950152512,0.684620324,0.659656446,0.270910258,0.12578263,0.100337133,0.661502649,0.259190881,0.03539894,1,0,1,0,72.35,204.4,31.875,76.425,15.4,1.526,4.51,37,129.8,7.07,4.41,4.48,0.919692085,76.958
Jaden Greathouse - 171085,2024,45.16,30.87,43.86,58.8,2,39.85,97.95,1,0.5,0.7232931,0.875020067,0.610451116,0.73752477,0.455413439,0.776616826,0.890830481,0.363177806,0.782021257,0.775726441,0.49181249,0.804302456,0.952801413,0.456895168,0.773799968,0.537004335,0.368999839,0.630036924,0.718815219,0.285920694,0.712955531,1,0,1,0,72.15,194.8,31.7,76,14.2,1.49,4.434,37.4,126.6,6.958,4.228,4.448,0.735149824,81.016
