ID,Last_Season,target,predicted_value,Diff,min_value,mean_value,max_value,Seasons,ContestedTile,Value,TotalNonSepSeasons,NonSepPercent,Slot_rate,best_Slot_rate,worst_Slot_rate,RR,TPRR,YPRR,TDPRR,ADOT,YAC,best_RR,best_TPRR,best_YPRR,best_TDPRR,best_ADOT,best_YAC,worst_RR,worst_TPRR,worst_YPRR,worst_TDPRR,worst_ADOT,worst_YAC,Strength_Power 5,Filter_NonSeparator,Filter_Solid,Filter_Gadget,ht_in,wt,arm_in,wing_in,c_reps,c_10y,c_40y,c_vj_in,c_bj_in,c_3c,c_ss20,est_40y,WAR,athleticism_score
Michael Thomas - 10681,2015,96.98,99.54,2.56,75.98,95.68,112.05,2,100,68.77,0,0,0.09565844,0.190480013,0.056349334,0.887948117,0.904161412,0.951900558,0.968294001,0.37308593,0.774274905,0.814576979,0.888264569,0.936667202,0.952640873,0.456895168,0.868598491,0.787205009,0.838577621,0.910820356,0.942205812,0.30333922,0.529780061,1,0,1,0,74.75,212,32.125,78.25,18,1.53,4.57,35,126,6.8,4.13,4.466,0.96060963,73.97
Justin Jefferson - 61398,2019,100,98.56,-1.44,80.58,94.97,109,2,41.48,80.51,1,0.5,0.693568726,0.958099213,0.501525124,0.992433796,0.809403711,0.94541524,0.948477752,0.570707981,0.671050261,0.998153797,0.807432975,0.925429443,0.952881682,0.780221544,0.763926794,0.874137101,0.743538289,0.907609568,0.796596564,0.30333922,0.497832718,1,0,1,0,73.25,202,33,78,12.6,1.54,4.43,37.5,126,7.19,4.326,4.5,0.980035131,76.13
CeeDee Lamb - 61570,2019,97.28,97.62,0.34,64.12,93.04,106.75,3,41.47,97.12,0,0,0.419564043,0.565018462,0.283191524,0.954602774,0.772473428,0.978021978,0.967032967,0.676634841,0.949558638,0.930245625,0.875341146,0.991250602,0.984267138,0.675389308,0.97278857,0.851982662,0.521432012,0.860410981,0.839621127,0.627709103,0.854310483,1,0,1,0,73.625,198,32.25,76.625,11,1.46,4.5,34.5,124,7.06,4.388,4.45,0.990781153,74.07
DK Metcalf - 47864,2018,97.57,97.44,-0.13,68.09,90.01,97.55,2,23.35,59.02,2,1,0.021077283,0.032268422,0,0.733381373,0.442442803,0.650333273,0.905242299,0.775716087,0.599891911,0.965805105,0.637100658,0.945657409,0.998795954,0.787445818,0.952881682,0.050329106,0.118478086,0.088698025,0.766896773,0.684620324,0.0026489,1,1,0,0,75.375,228,34.875,82.875,27,1.45,4.33,40.5,134,7.38,4.5,4.47,0.486958049,94.23
AJ Brown - 48327,2018,97.84,94.32,-3.52,90.09,93.65,96.77,3,61.21,82.32,0,0,0.660241398,0.949028737,0.13934821,0.934606377,0.871554675,0.966132228,0.865970095,0.437758962,0.878400288,0.963236475,0.875180607,0.968694815,0.934820999,0.525846845,0.9234227,0.591989083,0.738962915,0.838577621,0.614946219,0.30333922,0.712955531,1,0,1,0,72.5,226,32.875,78,19,1.56,4.49,36.5,120,7.036,4.216,4.49,0.967222567,77.76
Garrett Wilson - 97405,2021,84.9,83.66,-1.24,39.84,68.97,90.64,3,39.11,84.58,1,0.33,0.55017114,0.718895489,0.247471504,0.836786165,0.864168618,0.954782922,0.961628535,0.633399387,0.568726356,0.884170814,0.927998074,0.961390271,0.966045914,0.694172419,0.712955531,0.655482421,0.525846845,0.766013806,0.88537486,0.515813132,0.446139027,1,0,1,0,71.75,183,32,76.5,15.2,1.49,4.38,36,123,7.056,4.36,4.42,0.945523869,80.45
Tee Higgins - 61211,2019,89.25,83.03,-6.22,64.04,77.83,90.8,3,13.89,97.06,3,1,0.340839488,0.47254776,0.231096484,0.778598451,0.95892632,0.988830841,0.985588182,0.874977482,0.791388939,0.830791459,0.985551453,0.986755498,0.982019586,0.865066624,0.868598491,0.358564778,0.898458822,0.956493819,0.867153636,0.83055065,0.659656446,1,1,0,0,75.625,216,34.125,81,16.2,1.564,4.618,34.9,123,7.178,4.44,4.47,0.966602604,62.67
DeVonta Smith - 61100,2020,90.01,82.98,-7.03,68.61,81.56,96.98,3,46.95,96.78,0,0,0.390560259,0.598731739,0.09568149,0.912448208,0.82453612,0.962889569,0.983066114,0.628715547,0.928121059,0.954808155,0.980655001,0.995344357,0.995585166,0.929844277,0.97527693,0.577299727,0.041900787,0.235270509,0.781826939,0.293947664,0.659656446,1,0,1,0,72.25,170,31.125,78.25,15.4,1.53,4.454,35.5,123.6,6.974,4.362,4.4,0.964329407,71.76
Diontae Johnson - 33441,2018,84.25,80.48,-3.77,47.62,71.74,92.15,3,76.57,70.91,0,0,0.457395064,0.567587093,0.352223471,0.813006665,0.942893172,0.965051342,0.971176365,0.758602054,0.84903621,0.874137101,0.945015251,0.986193611,0.9753572,0.860250441,0.912827099,0.375421416,0.867635254,0.864183657,0.901107722,0.578343233,0.497832718,0,0,1,0,70.5,183,30.75,74.5,15,1.53,4.53,33.5,123,7.09,4.45,4.432,0.905226286,57.78
Drake London - 86519,2021,84.62,79.02,-5.6,66.6,78.27,90.61,3,30.43,90.56,1,0.33,0.725815168,0.949028737,0.356236956,0.901639344,0.798594848,0.912448208,0.809583859,0.359394704,0.698252567,0.869481458,0.994300851,0.981457698,0.883287847,0.557071761,0.730935945,0.760555466,0.309680527,0.63669931,0.622491572,0.259190881,0.599293627,1,0,1,0,75.875,219,33,77.75,16.4,1.538,4.542,36.2,124.2,7.082,4.16,4.49,0.910392643,74.92
